Date,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,px,sbac,stz,unp,wlk
2017-03-29,149.502594,86.400002,219.474396,109.245758,325.940002,36.912899,14.57,78.510002,12.2,142.649994,831.409973,85.769997,81.410721,38.66,88.82457,93.975777,27.109589,49.819485,1785.050049,116.993362,119.779999,162.775299,104.390137,65.217049
2017-03-30,148.503708,86.32,218.21492,108.195793,328.119995,37.2005,14.34,79.440002,12.3,142.410004,831.5,86.639999,81.499855,39.189999,89.353218,94.025459,27.149324,49.415413,1789.199951,117.210777,118.919998,161.532272,105.73481,65.266762
2017-03-31,148.094162,86.470001,217.143906,107.705154,327.320007,37.279842,15.04,78.459999,12.0,142.050003,829.559998,86.400002,81.410721,38.919998,89.274902,93.568443,27.218859,49.809631,1779.969971,117.210777,120.370003,161.164352,104.726295,65.664421
2017-04-03,145.337265,85.389999,216.985229,108.666801,328.269989,37.407326,15.22,77.720001,11.75,142.279999,838.549988,87.089996,81.242378,38.540001,88.364441,92.147728,27.566545,49.2183,1773.98999,116.617813,119.550003,160.756622,104.311035,65.157394
2017-04-04,142.880005,84.949997,217.143906,108.774742,331.519989,37.636391,15.11,77.669998,11.65,141.729996,834.570007,88.449997,80.796745,39.0,88.785408,91.869553,27.636084,49.573097,1767.380005,117.872932,119.440002,160.607468,105.991875,65.724068
2017-04-05,142.580353,83.540001,215.329071,108.411674,331.98999,37.188217,14.28,77.050003,12.0,141.850006,831.409973,87.849998,80.826469,39.290001,86.543503,91.362862,27.417538,48.725525,1761.77002,116.746284,119.080002,160.498077,105.556839,64.938683
2017-04-06,142.400558,84.07,215.695999,108.421486,336.799988,37.97501,14.77,78.050003,11.95,141.169998,827.880005,88.43,81.173058,39.48,87.31691,91.174095,28.242052,49.119747,1773.52002,117.971764,120.07,170.810135,105.863342,66.17144
2017-04-07,141.891129,84.790001,216.439789,107.881783,330.649994,37.875412,14.55,77.610001,12.3,140.779999,824.669983,87.93,81.341408,39.52,86.925308,90.617729,27.924168,49.297146,1769.560059,117.457848,121.169998,169.417938,105.823792,66.797768
2017-04-10,142.680237,85.660004,216.2117,108.598114,331.369995,37.516876,15.71,77.739998,12.2,141.039993,824.72998,88.099998,81.618683,39.25,86.670769,90.468697,27.586416,49.415413,1775.969971,118.169418,121.989998,170.312927,106.407143,66.907127
2017-04-11,143.299545,85.989998,215.74559,107.979912,332.299988,37.078667,15.39,77.080002,12.15,139.919998,823.349976,87.660004,81.60878,38.970001,86.171471,90.806503,27.52681,49.701221,1768.400024,117.783989,124.040001,169.398071,106.397247,66.946884
2017-04-12,141.581482,85.620003,207.464844,108.176163,334.570007,37.138424,14.15,77.139999,12.1,139.580002,824.320007,87.690002,81.074028,38.939999,84.526756,91.154221,27.387737,49.2183,1750.01001,116.845123,123.07,169.010254,104.380241,64.769676
2017-04-13,140.732422,84.910004,209.567276,106.988815,330.0,36.989029,13.32,76.459999,11.9,139.389999,823.559998,86.550003,80.271896,39.0,83.126801,90.955521,27.010248,48.528419,1738.77002,116.094025,123.800003,168.005875,103.599144,62.343918
2017-04-17,140.682465,85.989998,212.0961,108.313545,330.359985,37.048786,12.87,76.830002,12.25,141.419998,837.169983,86.970001,81.153244,38.830002,83.489014,91.352921,26.940712,49.178883,1770.609985,116.667229,124.970001,169.169342,104.785629,62.493042
2017-04-18,140.752396,86.410004,211.332504,108.745308,328.179993,37.437202,12.44,77.43,12.3,140.960007,836.820007,86.870003,81.331497,38.5,84.037254,91.42247,27.566545,48.232754,1763.310059,116.934059,125.150002,171.247681,105.042694,61.956196
2017-04-19,142.260696,87.93,211.858109,107.891594,333.609985,37.377445,11.73,78.019997,12.35,142.270004,838.210022,87.870003,81.192856,38.450001,83.733765,90.895905,27.834763,47.493591,1763.199951,116.77594,125.07,170.979187,105.586494,63.526974
2017-04-20,146.396072,88.410004,216.400116,107.047691,335.589996,37.845535,11.98,79.57,12.4,143.800003,841.650024,88.580002,82.480225,39.18,83.714195,92.167595,28.271852,47.838531,1760.800049,118.327553,124.279999,171.983536,106.68399,64.451546
2017-04-21,146.675766,88.580002,215.854675,106.252861,338.480011,38.004887,11.95,78.809998,12.25,143.679993,843.190002,89.050003,82.658478,39.709999,83.626076,91.869553,28.222181,47.858246,1752.01001,118.179306,123.779999,171.128342,107.0597,63.924637
2017-04-24,146.935471,90.139999,219.404984,110.442924,340.359985,37.855492,12.03,79.790001,12.2,145.470001,862.76001,90.089996,83.702644,40.790001,84.70298,92.912727,28.808283,49.464687,1798.619995,121.569122,123.459999,172.06308,108.09787,64.391891
2017-04-25,145.50708,90.32,221.348724,111.78727,344.5,38.333546,12.52,80.690002,12.05,146.490005,872.299988,90.889999,84.040756,40.740002,85.182693,93.95591,29.15597,49.307003,1799.089966,123.239326,124.019997,171.575821,109.234917,64.968506
2017-04-26,145.616943,90.230003,219.841324,110.099472,345.399994,38.632324,12.66,81.730003,12.4,146.559998,871.72998,90.889999,84.75676,39.740002,85.231636,95.674675,29.593061,48.883213,1804.119995,123.644531,123.650002,169.527328,108.928398,64.183121
2017-04-27,143.029846,90.629997,221.239639,110.128914,348.799988,39.429073,11.89,83.129997,12.45,147.699997,874.25,91.610001,84.796532,38.450001,85.584076,95.118309,30.804995,50.282696,1835.869995,124.010201,125.330002,170.104095,112.250534,63.049774
2017-04-28,141.981018,90.07,218.978546,111.120003,345.160004,39.030697,11.7,82.769997,12.45,150.25,905.960022,91.160004,84.408699,38.099998,82.979942,93.806877,30.506977,50.20385,1846.819946,123.516052,126.489998,171.575821,110.698227,61.886604
2017-05-01,140.372818,91.980003,219.484329,111.400002,344.140015,39.030697,11.71,80.75,12.35,152.460007,912.570007,90.989998,83.931366,38.389999,81.707245,94.959358,30.765259,50.125008,1869.920044,123.496284,127.25,171.108459,110.342285,61.836895
2017-05-02,142.390564,93.449997,223.580063,112.269997,337.690002,39.180088,11.27,81.699997,12.5,152.779999,916.440002,89.779999,84.905922,37.490002,81.785568,96.469482,30.755323,50.67691,1880.52002,124.099136,128.979996,173.604431,109.838036,63.954468
2017-05-03,142.660263,93.349998,223.034622,113.040001,324.48999,38.383343,11.29,81.919998,12.45,151.800003,927.039978,86.269997,85.055092,37.560001,80.160423,96.360191,30.904335,50.499519,1876.790039,124.059608,127.839996,172.769135,109.630394,62.254444
2017-05-04,144.648026,93.25,221.547058,119.470001,322.600006,38.134357,10.16,81.959999,12.4,150.850006,931.659973,85.910004,84.925812,37.34,79.710091,96.250908,30.516911,48.843796,1910.410034,124.840355,128.190002,176.209778,109.086601,60.20647
2017-05-05,144.817841,93.239998,224.571762,120.580002,334.779999,38.851429,12.46,82.0,12.4,150.240005,927.130005,87.75,85.522484,37.689999,82.39254,96.419815,30.646051,49.927898,1903.650024,127.963341,129.619995,177.512451,109.472206,61.767307
2017-05-08,146.805618,93.389999,223.213135,119.110001,323.809998,39.040657,13.27,82.290001,12.45,151.059998,934.299988,85.970001,85.522484,37.290001,79.083527,95.744225,30.218897,50.598072,1903.910034,127.577904,131.419998,179.038361,108.78009,59.739212
2017-05-09,145.956558,94.739998,226.565094,119.110001,325.519989,38.921146,13.08,82.779999,12.4,150.479996,932.169983,85.989998,85.373314,37.330002,80.189804,101.834419,30.755323,50.716335,1911.130005,127.113411,129.75,177.29306,108.720772,59.997696
2017-05-10,145.996521,95.870003,229.411301,118.989998,325.579987,38.941063,13.79,83.019997,12.35,150.289993,928.780029,85.559998,85.582146,36.889999,80.728241,102.569611,31.02354,51.583618,1824.77002,127.656975,129.190002,177.093597,108.087982,61.270226
2017-05-11,145.786758,95.410004,229.173279,118.889999,324.609985,39.10041,13.48,81.489998,12.25,150.039993,930.599976,85.410004,84.229698,37.029999,80.248535,102.152344,30.775194,51.75116,1813.560059,127.577904,127.720001,177.811661,108.859184,60.484837
2017-05-12,144.857803,95.389999,234.002899,119.830002,322.0,38.821552,12.9,81.290001,12.05,150.330002,932.219971,84.879997,84.349037,36.599998,79.338066,101.784737,30.944069,51.908852,1818.180054,128.200531,127.529999,178.090912,109.234917,61.359703
2017-05-15,145.686874,96.629997,237.047424,119.620003,321.070007,38.811592,12.76,80.940002,12.3,150.190002,937.080017,84.529999,84.71698,36.630001,80.796768,103.384285,31.470566,52.583637,1813.810059,128.645264,130.410004,179.796326,110.025887,63.069656
2017-05-16,145.08754,98.029999,238.683731,120.449997,320.01001,38.662201,12.51,79.099998,12.35,149.779999,943.0,84.230003,84.88604,36.720001,81.315643,103.314743,31.987127,52.077545,1829.800049,129.495193,130.770004,181.721146,109.749046,63.338081
2017-05-17,144.398315,93.970001,229.262543,119.510002,313.109985,37.945126,12.09,78.080002,12.15,144.850006,919.619995,82.919998,83.284973,36.43,78.300331,101.769905,30.944069,51.650841,1795.689941,127.311081,134.080002,180.195236,105.359077,60.693611
2017-05-18,148.343887,95.830002,235.688797,117.0,315.880005,38.51281,12.06,79.0,12.25,147.660004,930.23999,83.709999,83.583313,37.98,78.721298,102.188507,30.755323,51.541683,1796.030029,126.866333,132.0,180.354813,105.932549,61.170807
2017-05-19,151.300583,109.910004,232.158325,118.010002,315.779999,38.692078,12.67,79.68,12.3,148.059998,934.01001,83.690002,84.120308,38.630001,79.396805,102.477539,31.043407,52.375244,1808.280029,127.716263,132.800003,182.449188,105.843567,62.512928
2017-05-22,147.20517,113.360001,236.402832,118.419998,316.420013,39.329479,12.14,80.919998,12.3,148.240005,941.859985,84.07,83.583313,38.75,78.613609,103.872879,31.361292,52.573711,1828.420044,128.299362,133.830002,183.645966,106.614777,62.870831
2017-05-23,140.50267,112.970001,234.578079,118.589996,318.790009,39.618298,12.26,78.849998,12.2,148.070007,948.820007,84.419998,81.882797,39.290001,78.877937,105.138649,31.093079,52.672947,1827.939941,128.447601,134.309998,180.374771,106.782852,62.681934
2017-05-24,132.871216,112.480003,237.612717,118.529999,329.040009,40.166065,12.2,78.080002,12.1,150.039993,954.960022,86.190002,79.406631,40.200001,79.915672,105.527351,30.983807,52.722561,1848.73999,130.720673,134.070007,178.35022,106.832298,62.47316
2017-05-25,131.822403,113.889999,238.862244,118.360001,333.76001,40.176025,11.53,78.800003,12.2,151.960007,969.539978,87.050003,80.878418,40.549999,78.97583,106.175186,31.391094,52.047775,1860.430054,130.384628,135.550003,179.656693,108.463692,62.15506
2017-05-26,134.009949,113.029999,239.209351,118.489998,337.440002,40.743706,11.85,78.279999,12.15,152.130005,971.469971,87.650002,80.460747,41.779999,79.034576,106.543953,31.60964,52.414936,1863.900024,130.424164,136.020004,180.444565,109.930161,62.364468
2017-05-30,132.841263,113.160004,237.830872,116.699997,338.920013,40.932934,11.12,78.169998,11.95,152.380005,975.880005,88.18,78.969078,41.279999,78.868141,106.384483,31.659311,52.018002,1857.449951,130.048615,137.979996,180.025696,110.16877,61.746204
2017-05-31,133.480545,111.769997,237.493683,116.949997,345.549988,41.520535,10.89,77.699997,11.85,151.460007,964.859985,89.169998,78.332626,41.669998,78.828979,107.291458,31.5103,51.640919,1877.089966,130.740417,138.179993,182.259689,109.661728,61.287498
