curr_date,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
2017-03-01,0.0139974831314,0.0133995288685,0.01398933296,-0.00745859095418,0.0152672179813,0.00272470331721,0.00675226231442,0.0267817394114,0.0246345695723,0.0138704817552,0.0142970807328,0.0059822922713,0.00913921044453,0.00516162114035,0.0135013666108,0.0257698921771,0.0015382964693,0.0150047202251,0.00953262181936
2017-03-02,-0.0062973522872,-0.00171400587659,-0.00805371928801,-0.000556637907042,-0.00918972392691,-0.00174680719268,-0.00517927928349,0.00247901490061,0.00149712017181,-0.00480281625386,-0.0236883898321,0.000713582285595,-0.00321358457493,-0.00196340434924,-0.00185696752901,-0.019607819108,-0.0118027407875,-0.0143209111697,-0.00994397108622
2017-03-03,0.000629591013457,0.00588663232769,-0.000905994024526,-0.000278418267892,-0.00126467121689,-0.00356450414327,0.00288407816338,0.00290288134818,0.00193458492847,0.00299797466357,0.00621618219804,-0.00142624197766,-0.000879220424362,0.0075665857274,0.0012942166455,0.014375025,0.0116165414204,0.00374938279177,0.00118163400114
2017-03-06,-0.00297803622614,-0.00585218267994,-0.00213171546116,-0.00919225575531,-0.010130856474,-0.00279670243902,-0.000149421117814,0.00321615569486,0.0129892572759,0.00182255597904,-0.0111598445596,-0.00119016906404,-0.00352006453505,-0.00165216276203,-0.000646271906889,0.00246452242848,-0.00113219307352,0.000311237354086,-0.00219189001369
2017-03-07,-0.00298679914583,-0.00490556781948,0.00457941849518,0.0064660950239,-0.00255872057319,0.00756580320271,0.00493055429206,0.00790765103852,-0.0988563177761,-0.000873198964826,0.000403063289058,-0.00190653007404,-0.00294383270698,-0.00767266424443,0.000970034766551,-0.00430237257043,-0.011657990892,0.00202279455529,-0.00785739263385
2017-03-08,-0.00185650952432,-0.00147897461178,0.00292544314138,-0.00502793310134,0.0123985041641,-0.0023950997513,-0.00490636320191,-0.00148430873622,-0.0246130655781,0.00305898026819,-0.0020144641824,-0.00262657586852,-0.0165337471666,-0.00242565194702,0.00218037628716,-0.00370374074074,0.00786368761691,0.00916142828691,0.00255473899344
2017-03-09,0.00126815122556,0.00148116521753,0.0049201208076,0.00561485136482,-0.00211152871622,0.000129803386349,0.00358580605265,0.00647696963262,-0.0217841209005,0.00377580595574,-0.00161489702029,0.00406988269093,0.0057039626027,0.00136772030238,0.0149073249784,0.00805453561541,0.016986313256,-0.0040005386675,-0.00152892207095
2017-03-10,0.00350422631376,0.000246536849889,0.00416155213984,0.00251256281407,0.00761743578576,0.00162200734374,-7.43970541938e-05,0.0061188099365,0.00322450631246,0.00397850101351,0.0127375861856,0.0097758466804,0.0247761791045,-0.00440129009563,0.0020643271631,0.00553171494854,-0.00903058440895,0.00308971096448,0.0259463625875
2017-03-13,0.000504807099114,0.014292705062,0.00368006419633,-0.0208855472013,0.00419995817723,0.00148980433055,0.00197274619262,0.00954174238623,-0.0225994379791,0.00583624930365,0.00798566580156,0.000472278652764,-0.00757360864704,-0.0221035982349,0.00372396009606,0.00611246921348,0.00346774193548,-0.00338827968582,0.0149254065493
2017-03-14,-0.00382662013348,-0.00996112730807,0.00153826826187,0.000568828213879,-0.0117106231702,-0.0013583015241,-0.00442067681251,-0.00488160578398,-0.00626863644576,-0.0020057234095,0.000792176637268,-0.00660842592892,-0.0187848547109,0.000779345260192,0.00292076886644,-0.012758237688,0.00200916177771,-0.00463599141765,-0.000408529405089
2017-03-15,0.00865348691795,0.009816,0.00286408758108,-0.00227407617965,0.0287769796351,0.00213731873591,0.00537314179104,0.00688866521008,0.0202689458201,0.00287104493183,0.0255294087775,0.0118793062485,0.0104696081364,0.0077881623577,0.0150334825258,0.00615384615385,0.0176451475778,0.00527862100428,0.0148753578239
2017-03-16,-0.0019670089378,0.00631829859935,0.00185398838332,0.00113962969457,0.016454134778,-0.00691522023952,-0.00556710209644,-0.0432258521486,0.00222980935618,0.00193246491603,0.000193014280201,-0.0035219769899,0.00710482555076,-0.00803704828611,-0.00387717100543,0.0116207584098,-0.00204913308754,-0.00169885714286,0.014496279528
2017-03-17,-0.00175614288931,-0.0120743781695,0.00272413218391,0.00369951632611,-0.000404613533169,0.0215410446039,0.0150780360149,0.009967475299,-0.00647248199249,-0.00107156935954,0.00655982996103,0.00400570226215,0.00764253380364,-0.00436269866002,-0.00311387963726,-0.00967345863386,-0.00671304675297,0.00355823025307,0.00404859884061
2017-03-20,-0.00109690960616,-0.00611097531166,-0.00511253484824,0.00453643322937,-0.00931182148535,-0.00668919534504,0.000183792918517,-0.0063291567654,-0.00641283604261,0.000715145901463,-0.000575023982175,-0.00445911747338,-0.00262543764952,0.00328636922421,7.81586768414e-05,-0.0158730643254,0.00588379595811,0.000924880487519,0.00300441169344
2017-03-21,-0.0128394959301,-0.000491908509592,-0.0204744254045,-0.0110075924358,-0.0241111575035,-0.0148793742288,-0.0111384737387,-0.00453414675162,-0.0343202434759,-0.0102187150176,-0.0226313774958,-0.00801499330575,0.00146250369882,-0.00311965367151,-0.00640280280456,-0.0446649887014,-0.0212631567265,-0.0110888803327,-0.0204162382121
2017-03-22,0.00235315977045,-0.00344485736823,-0.000399965880914,0.00941775087278,-0.00544384444907,0.00449210268911,0.0015613866171,0.0114954778386,0.0380861014622,0.00779727845633,0.000784948994995,-0.010218630693,-0.00730140144268,-0.00641527147551,-0.00777994499018,0.00519483116883,-0.00363428363754,0.0127705966792,0.00909314418025
