,Adj Close,Close,Date,Ticker
0,66.360001,66.360001,2017-10-06,A
1,51.299999,51.299999,2017-10-06,AAL
2,94.290001,94.290001,2017-10-06,AAP
3,155.300003,155.300003,2017-10-06,AAPL
4,111.760002,111.760002,2017-10-06,MAR
5,119.730003,119.730003,2017-10-06,MON
6,35.029999,35.029999,2017-10-06,NOV
7,65.699997,65.699997,2017-10-05,A
8,50.560001,50.560001,2017-10-05,AAL
9,94.330002,94.330002,2017-10-05,AAP
10,155.389999,155.389999,2017-10-05,AAPL
11,111.269997,111.269997,2017-10-05,MAR
12,119.860001,119.860001,2017-10-05,MON
13,36.029999,36.029999,2017-10-05,NOV
14,65.830002,65.830002,2017-10-04,A
15,50.73,50.73,2017-10-04,AAL
16,94.93,94.93,2017-10-04,AAP
17,153.479996,153.479996,2017-10-04,AAPL
18,108.82,108.82,2017-10-04,MAR
19,119.209999,119.75,2017-10-04,MON
20,35.23,35.23,2017-10-04,NOV
21,65.150002,65.150002,2017-10-03,A
22,50.509998,50.509998,2017-10-03,AAL
23,98.980003,98.980003,2017-10-03,AAP
24,154.479996,154.479996,2017-10-03,AAPL
25,109.400002,109.400002,2017-10-03,MAR
26,119.150276,119.690002,2017-10-03,MON
27,35.130001,35.130001,2017-10-03,NOV
28,64.870003,64.870003,2017-10-02,A
29,47.73,47.73,2017-10-02,AAL
30,99.360001,99.360001,2017-10-02,AAP
31,153.809998,153.809998,2017-10-02,AAPL
32,110.529999,110.529999,2017-10-02,MAR
33,119.787384,120.330002,2017-10-02,MON
34,35.349998,35.349998,2017-10-02,NOV
