,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_price,end_price,stdev,stdev_np,mean_np
0,AAL,2017-03-02,2017-09-28,0.0411609529373,0.023591655169,0.0745013248165,45.529411,48.0,0.0187703555498,0.0187703555498,0.000333648205521
1,ADM,2017-03-02,2017-09-28,-0.114334758446,-0.0677817612095,-0.0628841171455,44.790344,42.700001,0.0121236131858,0.0121236131858,-0.000402841478704
2,AES,2017-03-02,2017-09-28,-0.00552092604967,-0.00319526545203,-0.0106553872759,11.384592,11.075,0.0111552127557,0.0111552127557,3.99393406014e-05
3,AGN,2017-03-02,2017-09-28,-0.251474694403,-0.154173573692,-0.0301769633283,243.469086,206.210007,0.010655902297,0.010655902297,-0.00108181817239
4,ALKS,2017-03-02,2017-09-28,-0.231216287874,-0.141014874242,-0.314454151509,61.16,51.290001,0.0162700796544,0.0162700796544,-0.000901559088766
5,AMAT,2017-03-02,2017-09-28,0.684594926591,0.351862675396,0.513446194943,36.32436,49.59,0.0170039516136,0.0170039516136,0.00219690867116
6,AMD,2017-03-02,2017-09-28,-0.250815904666,-0.153743315508,-0.418862560792,13.9,12.66,0.0379622188024,0.0379622188024,-0.000382617679908
7,AMGN,2017-03-02,2017-09-28,0.106239888846,0.0601038805111,0.20716778325,175.607574,186.339996,0.0112167958465,0.0112167958465,0.000460174067064
8,APD,2017-03-02,2017-09-28,0.125587652311,0.0707827650229,0.198428490652,138.678101,151.789993,0.00858589318375,0.00858589318375,0.0005016815369
9,ARNC,2017-03-02,2017-09-28,-0.179853286231,-0.108292536242,-0.0611501173184,28.408855,26.219999,0.0187753010187,0.0187753010187,-0.000602294539548
10,AVT,2017-03-02,2017-09-28,-0.241939755521,-0.147961748703,-0.387103608834,45.866131,39.5,0.0132555462205,0.0132555462205,-0.000999642328735
11,AXP,2017-03-02,2017-09-28,0.185043974716,0.103124275175,0.033307915449,79.472511,89.660004,0.00869992857174,0.00869992857174,0.000705076147733
12,AXS,2017-03-02,2017-09-28,-0.313532409619,-0.195449582828,-0.228878659022,69.3797,56.400002,0.0132639139471,0.0132639139471,-0.00139019183425
13,BAC,2017-03-02,2017-09-28,0.0159806645026,0.00920719656477,0.0270073230094,25.01943,25.52,0.0138132180337,0.0138132180337,0.000157706879772
14,BC,2017-03-02,2017-09-28,-0.153972273124,-0.0921325061329,-0.044651959206,60.104507,55.0,0.01606208608,0.01606208608,-0.000527425518088
15,BEN,2017-03-02,2017-09-28,0.0574200259962,0.0328018799085,0.0631620285958,42.493355,44.450001,0.0109129342179,0.0109129342179,0.000279034205749
16,CA,2017-03-02,2017-09-28,0.0343942077637,0.0197406532948,0.0364578602295,32.115578,32.869999,0.0162394727258,0.0162394727258,0.000261676257094
17,CAH,2017-03-02,2017-09-28,-0.27857091023,-0.1720110436,-0.350999346889,80.867203,67.169998,0.0147214079359,0.0147214079359,-0.0011705821099
18,CASY,2017-03-02,2017-09-28,-0.0853768185898,-0.0502815339611,-0.075131600359,115.059944,109.699997,0.0120295465571,0.0120295465571,-0.000277507022551
19,CELG,2017-03-02,2017-09-28,0.284126814267,0.155537635138,0.545523483393,122.239998,142.940002,0.0117759885905,0.0117759885905,0.0010526370019
20,CL,2017-03-02,2017-09-28,0.00822128714893,0.0047443533482,0.000246638614468,72.937225,73.004997,0.00816641619017,0.00816641619017,6.49321059439e-05
21,CMCSA,2017-03-02,2017-09-28,0.0233218346178,0.0134162854016,0.0366152803499,37.140999,37.779999,0.0112443315056,0.0112443315056,0.000154107675311
22,COLM,2017-03-02,2017-09-28,0.176515069197,0.0985277188443,0.284189261408,55.228981,60.540001,0.0132952807361,0.0132952807361,0.000727047423354
23,CRI,2017-03-02,2017-09-28,0.217377573462,0.120424715412,0.404322286639,87.343094,97.220001,0.0122237218655,0.0122237218655,0.000848167737229
24,CSCO,2017-03-02,2017-09-28,-0.0210180883767,-0.0122045596271,-0.0275336957735,33.777428,33.4137,0.0105073571671,0.0105073571671,-2.76851728416e-05
25,CVS,2017-03-02,2017-09-28,0.0265005984472,0.0152348879306,0.0217304907267,80.307961,80.879997,0.011037042939,0.011037042939,0.000163515016839
26,CVX,2017-03-02,2017-09-28,0.0984860085374,0.0558020806111,0.0876525475983,111.102188,117.839996,0.0088320500342,0.0088320500342,0.000408209480249
27,CXO,2017-03-02,2017-09-28,-0.0283738769798,-0.0165019030439,-0.0190104975765,132.429993,132.309998,0.0164553471383,0.0164553471383,2.32592456652e-05
28,DIS,2017-03-02,2017-09-28,-0.174418710307,-0.104881557172,-0.0348837420613,109.773376,98.660004,0.00913197268106,0.00913197268106,-0.000711696157049
29,DISH,2017-03-02,2017-09-28,-0.2349211196,-0.143410287356,-0.0939684478399,60.82,53.099998,0.0148474632055,0.0148474632055,-0.000942220076538
30,EGN,2017-03-02,2017-09-28,-0.00822619521839,-0.00476368615743,-0.00493571713103,52.720001,54.32,0.0199210112389,0.0199210112389,0.000165282172782
31,ETR,2017-03-02,2017-09-28,0.0615681546457,0.0351420691412,0.0529486129953,73.839645,76.474998,0.00727390895304,0.00727390895304,0.000261288173701
32,F,2017-03-02,2017-09-28,-0.0570134630982,-0.0333658645491,-0.00570134630982,12.33326,11.95,0.010958593114,0.010958593114,-0.000170898703822
33,FCNCA,2017-03-02,2017-09-28,0.0195032444255,0.0112284774091,0.0212585364238,361.283936,371.140015,0.015202274267,0.015202274267,0.000190507389559
34,FLS,2017-03-02,2017-09-28,-0.169375275989,-0.101724541369,-0.242206644664,46.433319,42.650002,0.0164034985309,0.0164034985309,-0.000592640099806
35,FSLR,2017-03-02,2017-09-28,0.614906140398,0.319246173615,0.87931578077,35.52,46.200001,0.0259478603812,0.0259478603812,0.00221611027241
36,FTI,2017-03-02,2017-09-28,-0.253455882271,-0.155468459038,-0.471427941024,33.139999,28.030001,0.0154100569219,0.0154100569219,-0.00103003520334
37,GE,2017-03-02,2017-09-28,-0.291561826292,-0.180663106835,-0.285730589766,29.641287,24.2862,0.0105984245674,0.0105984245674,-0.00129861085389
38,GPC,2017-03-02,2017-09-28,-0.00141891828415,-0.000820494386287,-0.00280945820262,93.73307,94.339996,0.011990758487,0.011990758487,6.57921127479e-05
39,GPS,2017-03-02,2017-09-28,0.429281567583,0.229335827001,0.10302757622,24.634504,29.32,0.0199225199777,0.0199225199777,0.00160166719356
40,GRMN,2017-03-02,2017-09-28,0.12283909766,0.0692704630662,0.232165894578,49.727917,53.810001,0.0101216960918,0.0101216960918,0.000506460642904
41,GWR,2017-03-02,2017-09-28,-0.0490106950481,-0.0286320644583,-0.0147032085144,73.730003,73.279999,0.013371280498,0.013371280498,-0.000108257231952
42,GWW,2017-03-02,2017-09-28,-0.428649728307,-0.276447428745,-0.780142505518,244.655441,179.802505,0.016848335702,0.016848335702,-0.00205352555001
43,HAIN,2017-03-02,2017-09-28,0.225526380312,0.124754116325,0.227781644115,35.279999,40.029999,0.0170652731227,0.0170652731227,0.00094257428236
44,HAS,2017-03-02,2017-09-28,-0.00797073659583,-0.00461550304527,-0.0028694651745,96.461433,96.410004,0.0131180241198,0.0131180241198,5.55636736168e-05
45,HD,2017-03-02,2017-09-28,0.224084250432,0.123988809965,0.138932235268,145.350571,161.970001,0.00869753057692,0.00869753057692,0.000833211044699
46,HHC,2017-03-02,2017-09-28,-0.0094969221489,-0.00550103231208,-0.00531827640338,117.169998,117.510002,0.00949386315521,0.00949386315521,7.22495931158e-06
47,HOG,2017-03-02,2017-09-28,-0.234848287182,-0.143363149393,-0.389848156723,57.787151,49.299999,0.0137095959314,0.0137095959314,-0.000958225184958
48,HPE,2017-03-02,2017-09-28,0.187144244725,0.104254047667,0.310659446244,13.184548,14.705,0.0129602472403,0.0129602472403,0.000759005146866
49,HRL,2017-03-02,2017-09-28,-0.166653027089,-0.100023868559,-0.249979540634,34.842747,31.42,0.0113847887833,0.0113847887833,-0.000651333474752
50,INTC,2017-03-02,2017-09-28,0.113308940111,0.0640146689101,0.11217585071,35.379242,37.665001,0.00887359746403,0.00887359746403,0.000461387891535
51,JLL,2017-03-02,2017-09-28,0.112204763756,0.0634045009158,0.0134645716507,116.389824,124.617699,0.0146397241214,0.0146397241214,0.000524286776412
52,JNJ,2017-03-02,2017-09-28,0.114299315126,0.0645617330914,0.0788665274371,122.03923,130.160004,0.00706731326434,0.00706731326434,0.000450507654381
53,JWN,2017-03-02,2017-09-28,0.0952754323593,0.054017125948,0.0342991556494,45.851025,47.240002,0.0226778675814,0.0226778675814,0.000614870943512
54,KHC,2017-03-02,2017-09-28,-0.220022416951,-0.133806737552,-0.257426227833,90.012108,78.096001,0.00730325513475,0.00730325513475,-0.000950106956689
55,KMB,2017-03-02,2017-09-28,-0.16980413875,-0.101992679447,-0.1765963043,131.46434,116.949997,0.00770595690431,0.00770595690431,-0.000701969239686
56,KMI,2017-03-02,2017-09-28,-0.178216936961,-0.107264490689,-0.290493607247,21.585966,19.200001,0.0113867034818,0.0113867034818,-0.000707202203416
57,KSS,2017-03-02,2017-09-28,0.26384613356,0.144952355606,0.393130739004,40.416321,46.110001,0.0209606663685,0.0209606663685,0.00114015870903
58,LAZ,2017-03-02,2017-09-28,0.0284828855063,0.0163677713845,0.00712072137658,42.28989,44.0,0.0128841662424,0.0128841662424,0.000193085886321
59,LEG,2017-03-02,2017-09-28,-0.049961285351,-0.0291934759342,-0.0944268293134,48.425236,47.419998,0.0118959749768,0.0118959749768,-0.00013036616758
60,LLY,2017-03-02,2017-09-28,0.0414362726579,0.0237481176171,0.0306628417668,81.855995,84.75,0.00995234969971,0.00995234969971,0.000209136745416
61,LMT,2017-03-02,2017-09-28,0.303416765511,0.165540553999,0.342860945028,263.710052,308.964996,0.00671276997062,0.00671276997062,0.00106497965764
62,LNG,2017-03-02,2017-09-28,-0.122074750182,-0.0725,-0.111088022666,46.669998,44.52,0.0162944019205,0.0162944019205,-0.00037973650573
63,LOW,2017-03-02,2017-09-28,-0.0257046952465,-0.0149409522504,-0.0313597282008,79.618324,79.453003,0.0119187256683,0.0119187256683,-3.11379863007e-05
64,LPX,2017-03-02,2017-09-28,0.370960738182,0.20008349206,0.4488624932,23.719999,28.73,0.0136889479772,0.0136889479772,0.00133461868989
65,LUK,2017-03-02,2017-09-28,-0.123215916851,-0.0731971283837,-0.172502283592,26.308672,24.9799,0.0120244954495,0.0120244954495,-0.000444905687289
66,LVLT,2017-03-02,2017-09-28,-0.120380644895,-0.0714657911027,-0.0938969030179,56.98,53.529999,0.0113060860405,0.0113060860405,-0.000440493334781
67,LYB,2017-03-02,2017-09-28,0.171423493052,0.0957769692334,0.137138794441,90.351807,99.809998,0.0123532581285,0.0123532581285,0.000698257584727
68,M,2017-03-02,2017-09-28,-0.459473626496,-0.299276455848,-0.845431472753,31.738277,22.059,0.0256986613866,0.0256986613866,-0.00207228748037
69,MAS,2017-03-02,2017-09-28,0.226779765726,0.125418951607,0.308420481388,34.140694,38.68,0.0102684594178,0.0102684594178,0.000856178384707
70,MD,2017-03-02,2017-09-28,-0.581981792602,-0.396022985799,-0.896251960607,71.089996,43.130001,0.0201849058442,0.0201849058442,-0.0032104523822
71,MDLZ,2017-03-02,2017-09-28,-0.122321021722,-0.0726504126865,-0.141892385197,43.401299,40.487202,0.00866909738917,0.00866909738917,-0.000475594191461
72,MDT,2017-03-02,2017-09-28,-0.0638695912626,-0.0374349015952,-0.127100486613,80.653503,77.709999,0.00778899652595,0.00778899652595,-0.000229314770605
73,MLM,2017-03-02,2017-09-28,-0.122769377769,-0.0729242961374,-0.146095559545,218.166214,204.869995,0.016741597606,0.016741597606,-0.000376243124428
74,MMM,2017-03-02,2017-09-28,0.206066051758,0.114394666952,0.00206066051758,187.683105,209.119995,0.00717219280754,0.00717219280754,0.000762914896841
75,MO,2017-03-02,2017-09-28,-0.210917504986,-0.127975890207,-0.00632752514959,73.721436,64.184998,0.0111704002802,0.0111704002802,-0.00086712025923
76,MS,2017-03-02,2017-09-28,0.0622896389484,0.0355487042503,0.106515282602,45.827415,48.0,0.0133430175839,0.0133430175839,0.000326402228883
77,MUR,2017-03-02,2017-09-28,-0.0956828810967,-0.0564826562107,-0.0554960710361,27.636101,27.139999,0.021435266548,0.021435266548,-0.000167444897015
78,NFX,2017-03-02,2017-09-28,-0.307865467667,-0.191616783254,-0.160090043187,36.77,29.700001,0.0228717143267,0.0228717143267,-0.00118443767972
79,NKE,2017-03-02,2017-09-28,-0.141553661198,-0.0844525019304,-0.0962564896149,57.406387,52.530998,0.0152457465589,0.0152457465589,-0.000486240322823
80,NUAN,2017-03-02,2017-09-28,-0.15921794282,-0.0953908457054,-0.0620949976996,17.09,15.505,0.0145421959157,0.0145421959157,-0.00057740265459
81,NWL,2017-03-02,2017-09-28,-0.252797229107,-0.155037808956,-0.159262254337,48.882584,41.529999,0.0147945573182,0.0147945573182,-0.00103968133789
82,NWS,2017-03-02,2017-09-28,0.0399253067265,0.0228892301887,0.0451155966009,13.050173,13.5,0.0120345545284,0.0120345545284,0.000226003261221
83,OTEX,2017-03-02,2017-09-28,-0.0585089732195,-0.0342523661805,-0.0321799352707,32.946388,31.77,0.0111148320745,0.0111148320745,-0.000175449647893
84,PAG,2017-03-02,2017-09-28,-0.106576453451,-0.0630697857925,-0.0383675232423,49.716354,46.830002,0.0167240840931,0.0167240840931,-0.000303599856671
85,PCLN,2017-03-02,2017-09-28,0.0819909908075,0.0466079140558,0.0606733331976,1734.369995,1813.959961,0.0112178219645,0.0112178219645,0.000373409848289
86,PDCO,2017-03-02,2017-09-28,-0.234055227894,-0.142849994952,-0.0210649705104,45.130554,38.869999,0.0141148778395,0.0141148778395,-0.000948977398066
87,PEP,2017-03-02,2017-09-28,0.0675195318268,0.0384928431497,0.0769722662825,108.598923,112.389999,0.00562869897661,0.00562869897661,0.000272695930513
88,PM,2017-03-02,2017-09-28,0.0770365798047,0.043834844313,0.107080845929,106.852592,111.963097,0.00828952790046,0.00828952790046,0.000326081071301
89,QCOM,2017-03-02,2017-09-28,-0.123174040653,-0.0731715398292,-0.237725898459,55.208759,51.75,0.0110017387399,0.0110017387399,-0.000456265983723
90,RPM,2017-03-02,2017-09-28,-0.075155000232,-0.044160155089,-0.0571178001763,52.646828,51.389999,0.0115156865255,0.0115156865255,-0.000240472511359
91,RTN,2017-03-02,2017-09-28,0.37727924845,0.203277733668,0.320687361182,152.731506,184.100006,0.00738060344632,0.00738060344632,0.00128661149949
92,S,2017-03-02,2017-09-28,-0.197356816126,-0.119343891403,-0.102625544385,8.73,7.785,0.0263005769951,0.0263005769951,-0.000515277133137
