,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_adjprice,end_adjprice
0,AOS,2017-03-01,2017-09-15,0.317363279899,0.16215457466,0.276106053512,50.812843,58.220001
1,BP,2017-03-01,2017-09-15,0.221697858767,0.115354648762,0.059858421867,33.096481,36.580002
2,CELG,2017-03-01,2017-09-15,0.292260812359,0.150028262488,0.236731258011,123.699997,142.039993
3,EVR,2017-03-01,2017-09-15,-0.114450267055,-0.0641196796901,-0.0972827269965,80.833542,73.75
4,FB,2017-03-01,2017-09-15,0.542044097124,0.266342097273,0.504101010325,137.419998,171.639999
5,GOOGL,2017-03-01,2017-09-15,0.204853066651,0.106943753623,0.362589927972,856.75,935.289978
6,HSBC,2017-03-01,2017-09-15,0.443197474925,0.22141985207,0.651500288139,39.982754,48.189999
7,INTC,2017-03-01,2017-09-15,0.0697284570205,0.0374329646568,0.103895400961,35.398949,37.0
8,JNJ,2017-03-01,2017-09-15,0.219973009814,0.1144958361,0.109986504907,122.266281,134.449997
9,LMT,2017-03-01,2017-09-15,0.288284872099,0.148097801256,0.559272651873,265.083008,302.299988
10,LPX,2017-03-01,2017-09-15,0.269828716763,0.139100975403,0.161897230058,23.940001,26.860001
11,LRCX,2017-03-01,2017-09-15,1.0346616414,0.472960326782,0.269012026764,118.563316,172.990005
12,MASI,2017-03-01,2017-09-15,-0.0948799200852,-0.0528995014066,-0.0540815544486,92.779999,85.580002
13,MRK,2017-03-01,2017-09-15,0.0490680876098,0.026460492925,0.0436705979728,64.787201,66.160004
14,MSFT,2017-03-01,2017-09-15,0.376134301436,0.190140885914,0.304668784163,64.227699,75.309998
15,RTN,2017-03-01,2017-09-15,0.388735335146,0.196070155197,0.380960628443,152.998764,182.5
16,SPY,2017-03-01,2017-09-15,0.129828118141,0.0688149960863,0.0532295284379,236.409515,249.190002
17,T,2017-03-01,2017-09-15,-0.158720252339,-0.0899248493752,-0.247603593649,41.009735,37.099998
18,THO,2017-03-01,2017-09-15,0.0512507657031,0.0276243017146,0.0984014701499,112.810837,113.139999
