Date,a,b,c,d,f,g,l,m,p,s,w
2017-05-04,56.45768,54.283737,59.67585,75.163734,10.727321,24.914816,46.565903,27.553976,10.72,7.94,48.450001
2017-05-05,56.397938,54.879501,59.705589,76.068031,10.863851,24.875065,46.824879,27.601614,10.68,8.04,48.52
2017-05-08,56.079304,55.207169,59.963276,76.359741,10.854098,25.381907,46.575859,27.315786,10.4,7.76,51.130001
2017-05-09,56.626953,55.58448,59.695675,75.33876,10.883355,25.371969,46.14756,27.916027,9.94,7.9,61.73
2017-05-10,56.029518,55.475258,59.834431,75.581856,10.766329,25.362032,46.267086,27.954142,9.95,7.88,64.160004
2017-05-11,55.989685,55.316391,60.161507,75.465157,10.737073,25.411722,45.729214,23.199841,9.5,7.87,64.540001
2017-05-12,55.919987,54.690842,60.528225,75.776321,10.649303,25.401783,45.579803,22.494793,9.82,7.95,60.68
2017-05-15,56.45768,55.078087,60.875114,75.815224,10.668808,25.848997,45.88858,22.113686,9.72,7.88,61.09
2017-05-16,56.587128,55.296532,61.935627,75.076218,10.668808,25.958317,46.197361,21.742109,9.35,7.94,61.279999
2017-05-17,55.531654,54.253948,59.447891,75.33876,10.493271,26.09745,45.649529,21.923136,8.93,7.34,61.740002
2017-05-18,55.611313,53.558895,59.547009,76.15554,10.522527,26.216707,45.868656,21.684942,9.42,7.89,63.610001
2017-05-19,55.890118,54.095085,60.557953,76.418076,10.600543,26.345903,45.73917,21.923136,9.24,8.07,61.919998
2017-05-22,55.840332,54.293667,60.518314,77.497406,10.824841,26.634106,46.187397,22.304239,9.12,8.17,63.860001
2017-05-23,58.409302,55.199558,61.162544,77.507126,10.776081,26.653982,46.595783,21.961245,9.14,8.18,63.709999
2017-05-24,58.976868,55.547977,61.717579,78.071098,10.688313,26.872623,46.306927,22.085102,9.25,8.17,64.75
2017-05-25,59.046566,55.976036,61.400414,78.732307,10.590791,26.902435,46.565903,22.256603,9.16,8.33,63.490002
2017-05-26,59.255669,56.02581,61.519348,78.790649,10.659056,26.962063,46.758404,22.332825,9.22,8.4,65.0
2017-05-30,60.111996,56.085541,61.093166,78.780922,10.805337,27.091261,46.758404,22.485268,8.96,8.44,64.089996
2017-05-31,60.082123,56.334412,60.002926,79.276588,10.844345,27.150887,47.037674,22.38999,8.9,8.49,62.950001
2017-06-01,60.470455,57.081024,60.538132,79.904762,11.127157,27.518597,47.546352,22.942595,9.14,8.55,66.480003
2017-06-02,60.550114,58.106369,60.567867,79.698639,11.068645,27.419216,47.177315,22.685347,9.3,8.87,68.18
2017-06-05,60.141869,57.588722,60.706623,79.188255,10.971124,27.349651,47.017727,22.732986,9.48,8.96,68.589996
2017-06-06,59.843147,57.200481,60.468754,78.815285,10.844345,27.091261,46.638714,20.865562,8.75,8.78,69.529999
2017-06-07,60.370884,57.718132,61.331039,78.972328,10.795585,27.280085,46.538971,20.779816,8.48,8.64,68.93
2017-06-08,59.892937,59.330818,62.649239,78.19693,10.824841,27.130686,46.578869,20.741707,8.42,8.6,73.160004
2017-06-09,58.956951,59.639416,63.878235,77.81414,10.854098,26.981287,47.346874,21.627777,8.52,8.12,70.07
2017-06-12,58.737896,59.0919,63.74939,77.990814,11.00038,27.021128,47.526405,21.599194,7.87,8.21,70.550003
2017-06-13,59.026653,58.803211,64.116112,77.902481,10.990628,27.339846,47.646095,21.568188,7.96,8.26,70.559998
2017-06-14,59.126225,58.504566,64.145836,78.511009,10.941868,27.230286,47.536381,22.052649,7.58,8.14,71.779999
2017-06-15,58.956951,58.872894,63.531338,78.697502,10.961371,27.389645,47.925369,22.023582,7.3,8.06,74.110001
2017-06-16,59.255669,58.614071,63.323204,79.217697,10.941868,26.941448,48.015137,22.217367,6.99,7.8,76.169998
2017-06-19,60.291225,59.271088,63.90797,78.883995,10.961371,27.140646,47.865528,22.004202,6.91,7.93,73.459999
2017-06-20,60.072166,58.444836,63.343029,78.717125,10.844345,27.140646,47.386768,21.413162,7.02,8.14,74.5
2017-06-21,59.534477,57.180573,63.263737,77.696365,10.766329,27.180487,46.698559,20.928701,7.51,8.21,75.410004
2017-06-22,60.350971,57.678314,63.055599,77.470612,10.854098,27.359762,46.279652,21.403473,7.8,8.07,76.32
2017-06-23,59.514557,58.405014,62.847462,76.94059,10.766329,27.608759,46.159958,21.577879,8.28,8.05,76.980003
2017-06-26,58.986828,58.026733,63.21418,77.195793,10.90286,27.897598,46.489105,21.771662,8.46,8.01,75.849998
2017-06-27,58.628365,57.538944,63.660191,76.459656,10.805337,27.728279,46.499077,22.372395,8.49,8.18,75.269997
2017-06-28,59.146141,58.902756,64.601761,75.625374,10.815089,28.046993,46.848171,22.459599,8.92,8.28,76.029999
2017-06-29,58.679104,57.937141,66.385796,75.635185,10.893107,27.778076,46.708534,22.236746,9.15,8.15,74.029999
2017-06-30,59.188057,58.265648,66.286674,75.213135,10.912611,27.718319,46.688583,22.517733,8.92,8.21,76.879997
2017-07-03,59.008427,58.743481,67.654442,74.69294,11.273439,27.768116,47.277054,23.099085,8.77,8.15,74.459999
2017-07-05,59.64711,58.494606,67.842751,74.398491,11.019884,27.65856,46.888065,22.78903,8.89,8.23,75.480003
2017-07-06,59.09824,58.076508,67.030022,74.319962,10.90286,27.389645,46.658661,22.139853,8.64,8.04,74.239998
2017-07-07,59.507397,59.071991,67.307541,74.388672,10.980876,27.469322,47.087547,21.975136,8.51,8.13,74.059998
2017-07-10,59.736923,59.101856,67.04985,74.202179,11.058892,27.280085,47.027702,20.424862,8.75,8.23,73.720001
2017-07-11,59.677048,59.380592,66.227211,74.624229,11.0979,27.499203,46.778355,20.512064,9.09,8.14,75.220001
2017-07-12,60.605133,59.818604,66.326317,75.164063,11.18567,27.67848,46.668636,20.570198,9.16,8.23,75.589996
2017-07-13,61.06419,59.400497,66.425438,74.702751,11.312448,27.65856,46.808273,21.413162,9.17,8.2,78.169998
2017-07-14,61.393513,59.42041,66.128098,75.134621,11.390465,27.788038,46.82822,21.665081,9.25,8.55,76.739998
2017-07-17,61.42345,59.987835,66.237129,75.203323,11.448977,27.897598,47.027702,22.333635,9.44,8.39,75.050003
2017-07-18,61.084148,59.928104,66.296585,75.438881,11.458729,27.927477,47.117474,21.975136,9.56,8.45,75.720001
