,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
0,0.55,0.0194365431505,0.00185828992723,0.39,0.06,10.4593706642
1,0.16,0.0306165269049,0.00226362220041,0.49,0.35,13.5254579582
2,0.62,0.0227426871073,0.00153172255781,0.29,0.09,14.8477849277
3,0.14,0.0198669379783,0.00313190639828,0.67,0.19,6.343400936
4,0.41,0.0419616850083,0.000995010180526,0.14,0.45,42.1721162552
5,0.57,0.0185311601685,0.00186537835565,0.39,0.04,9.93426353016
6,0.36,0.0513476252962,0.000912354933953,0.03,0.61,56.280317435
7,0.32,0.0473309053058,0.00088113880298,0.12,0.56,53.7156066057
8,0.29,0.0538689672937,0.000821261401159,0.04,0.67,65.5929612882
9,0.08,0.0303530681966,0.00256431652513,0.55,0.37,11.8367088848
10,0.94,0.0257390172589,0.00165536959451,0.02,0.04,15.5488039313
11,0.23,0.044930144331,0.00108724645653,0.22,0.55,41.324709831
12,0.04,0.0107963856614,0.00418657500497,0.88,0.08,2.57881099672
13,0.02,0.0414866968542,0.00195290055097,0.42,0.56,21.2436300628
14,0.77,0.0243697944544,0.00139124727488,0.16,0.07,17.516508312
15,0.04,0.0664812514469,0.000577739687491,0.02,0.94,115.071290559
16,0.39,0.0344495882785,0.00133652284895,0.27,0.34,25.775532611
17,0.51,0.0367872716592,0.00110628393885,0.15,0.34,33.2530107031
18,0.74,0.0270228658061,0.00134217091724,0.14,0.12,20.1336994112
19,0.08,0.0439505354233,0.0015701747003,0.34,0.58,27.9908569504
20,0.59,0.0351082350495,0.00116067973666,0.12,0.29,30.2479951536
21,0.35,0.0524478152266,0.000913125454548,0.02,0.63,57.4376882885
22,0.92,0.023406908044,0.0015704789736,0.07,0.01,14.9043116383
23,0.41,0.0451991772051,0.00094641695838,0.09,0.5,47.7582072097
24,0.26,0.0403345776612,0.00128720097267,0.27,0.47,31.3351050207
25,0.37,0.0379449650179,0.0011891354312,0.23,0.4,31.9097085347
26,0.28,0.0122342602259,0.00320200539499,0.69,0.03,3.82081187154
