,agg,spy,shy
agg,3.14027267973e-06,-2.34753059e-06,8.27413133481e-07
spy,-2.34753059e-06,2.30456741291e-05,-6.68722892549e-07
shy,8.27413133481e-07,-6.68722892549e-07,3.25224044307e-07
