curr_date,AAL,AES,ADM,ALKS,AGN
2017-03-01,0.0157462529751,-0.0147568172439,-0.00979350054259,0.0568141415929,0.00191974143774
2017-03-02,-0.0290931775805,0.0246694947791,-0.0221458340541,0.0242840566787,-0.00134532676536
2017-03-03,0.0240594203747,-0.00687877030111,-0.00615656537579,-0.00310658927404,0.00273511798322
2017-03-06,-0.032251088425,-0.00259741700166,-0.0097346052038,-0.0126291616758,-0.0133126580335
2017-03-07,-0.0103729818359,-0.0164930874725,-0.00670235100503,-0.0232558467898,-0.0113879998977
2017-03-08,0.00111499083963,-0.0229479326208,-0.010571267814,-0.023809473194,-0.000667855867039
2017-03-09,-0.0347515296534,-0.000903285208828,0.00977488407376,-0.00557491269774,0.00309051108847
2017-03-10,0.0131548634316,0.00813738387909,0.0139578209231,0.00245268036256,0.00403867411162
2017-03-13,-0.0348521360585,-0.0116591035775,-0.00754888206419,-0.0291856338835,-0.00207334557907
2017-03-14,-0.0273777092022,-0.0018149545127,-0.000671267473582,0.00198021605725,-0.00498653744621
2017-03-15,0.0213540400978,0.0281818186941,0.00761143334202,0.0352137800934,0.00509502340384
2017-03-16,0.000950315147409,-0.000884117328645,-0.00355477651646,0.023602933419,-0.00519383181315
2017-03-17,-0.00973169130247,0.0141593091876,-0.00289848119594,0.00559513394371,-0.00852057826493
2017-03-20,-0.000479407732441,-0.0226877037858,0.00290690681067,0.00623839139709,-0.00181152634353
2017-03-21,-0.0306954837988,0.00892865213945,0.00222970977004,-0.038873977882,-0.0101286061579
2017-03-22,-0.0017318433626,-0.0132744095039,0.0146829714136,0.0360878480459,-0.00238760139414
2017-03-23,0.0262701611807,0.00269069065508,0.0,-0.012619888945,0.00555580962991
2017-03-24,0.0077275091949,0.00447217322651,-0.000657694978507,0.00340833333333,0.00867013826151
2017-03-27,0.000239742928826,-0.00890461587431,-0.00504612576622,0.00798228586987,0.00863776159019
2017-03-28,0.0206036915227,0.0161724096642,0.00815874616176,0.000505526554525,0.00480409758529
2017-03-29,-0.0150235067641,-0.00530497800348,0.0113735738171,0.00623103728139,0.00336758639412
2017-03-30,0.0138227059713,-0.0151110719299,-0.00281141758879,-0.0135565020921,-0.00638114141695
2017-03-31,-0.00564181153913,0.00902525796708,-0.00151815096822,-0.0074652020269,-0.00366973759431
2017-04-03,0.0035461864423,0.000894397682901,-0.0052127744724,-0.0184615726496,-0.00518993522275
2017-04-04,-0.0365135149661,0.0071493415447,-0.00851534720356,0.0231626967315,0.0031554228506
2017-04-05,0.0100244293146,-0.00976054010821,-0.00330325155837,-0.0175318978723,-0.00276806794577
2017-04-06,0.00992503492747,0.0,-0.000220851622856,-0.00311850306447,0.00239727423352
2017-04-07,0.0021572141842,-0.0107526553241,-0.00795594370385,0.0199860615227,0.00213982777525
2017-04-10,0.0121980286027,0.00996369835639,0.00222781429499,-0.00886012964492,0.00531711354653
2017-04-11,0.0380434614595,0.0143497942326,-0.0100022654546,-0.0204572467065,-0.00420620878988
2017-04-12,0.000682866338788,0.00530506934735,0.00246967324679,-0.000526482976483,-0.00535316666827
2017-04-13,-0.0138764124157,-0.000879633499671,-0.00828663209068,0.00368742750329,0.0
2017-04-17,0.0203001437076,0.00616221895903,0.00903332372274,-0.00559832050385,-0.00714801617321
2017-04-18,-0.0094958988513,-0.00174994140801,0.0163384415086,-0.0165376143561,-0.00741104770718
2017-04-19,0.0134672714164,-0.0035056559691,-0.017837486281,0.00983897996998,0.00836239856281
2017-04-20,0.0184684305585,0.00439753146546,0.00672657853689,0.00496012391568,0.00676992018277
2017-04-21,-0.0015479231584,-0.00350258609506,-0.00200451299829,-0.00282037722545,-0.00668228819671
2017-04-24,0.0285713196698,0.0184534379142,0.0127203747787,0.00282835425137,0.00266544967893
2017-04-25,0.00366064918283,0.00258845253698,0.00440726935867,0.00475938656795,0.00523255366602
2017-04-26,-0.0045054777803,-0.0146299989393,-0.00680132045078,0.00228071929825,0.00537322973181
2017-04-27,-0.0521551157504,-0.00353049225956,0.011265715554,-0.0145283036141,0.0148224537921
2017-04-28,-0.0309231301625,0.00177154567156,-0.00065525272542,0.0346358975957,0.00333267058347
2017-05-01,-0.0126700588431,0.0,-0.000437240905621,0.0187124463519,0.00561798713981
2017-05-02,0.0425379559876,-0.000884161230443,-0.0887820092758,-0.0139872261544,0.00110101477391
2017-05-03,0.00113964420959,-0.00973456122961,-0.00863917027177,0.00666559585252,-0.007087633193
2017-05-04,-0.000227628134544,-0.00893652020284,0.0263858572887,0.0256366374996,0.00611265343767
2017-05-05,0.0136642813825,0.020739398469,0.000707487440619,-0.0119185730839,-0.0012640908481
2017-05-08,0.00966084264283,-0.000883380179936,0.0124910571118,-0.041715497432,-0.0122070605391
2017-05-09,0.0476189527113,0.00265239330478,-0.013966328297,0.00244753492225,-0.0142178573282
2017-05-10,0.00467299898226,0.0202822732805,-0.00165257230575,0.00662715381932,-0.0368537175216
2017-05-11,-0.0160676882912,-0.00864301310275,-0.00614799919233,-0.00589050578845,0.00561546488458
2017-05-12,-0.0131352031072,-0.0122057659521,-0.00166545018799,0.0179504876621,-0.000562710737473
2017-05-15,0.0185467800003,0.00617820355698,0.00428985250706,0.0116418421503,-0.0115210758015
2017-05-16,0.00556975562652,-0.00701744883775,0.00191292914926,0.0233542223727,-0.0130538317648
2017-05-17,-0.0430336290448,0.000883380179936,-0.00906922257132,-0.0537456581157,-0.0187931390895
2017-05-18,-0.00601066930465,-0.0132391880761,-0.00505772741644,0.0124082311708,-0.007261889199
