Date,AMZN,PCLN
2016-05-13,709.919983,1278.640015
2016-05-16,710.659973,1283.469971
2016-05-17,695.27002,1278.02002
2016-05-18,697.450012,1267.27002
2016-05-19,698.52002,1250.310059
2016-05-20,702.799988,1249.290039
2016-05-23,696.75,1237.48999
2016-05-24,704.200012,1256.630005
2016-05-25,708.349976,1270.180054
2016-05-26,714.909973,1269.02002
2016-05-27,712.23999,1273.0
2016-05-31,722.789978,1264.329956
2016-06-01,719.440002,1278.0
2016-06-02,728.23999,1290.0
2016-06-03,725.539978,1301.709961
2016-06-06,726.72998,1349.099976
2016-06-07,723.73999,1360.0
2016-06-08,726.640015,1354.829956
2016-06-09,727.650024,1340.069946
2016-06-10,717.909973,1318.900024
2016-06-13,715.23999,1315.469971
2016-06-14,719.299988,1304.099976
2016-06-15,714.26001,1305.420044
2016-06-16,717.51001,1323.890015
2016-06-17,706.390015,1309.23999
2016-06-20,714.01001,1341.959961
2016-06-21,715.820007,1343.050049
2016-06-22,710.599976,1360.099976
2016-06-23,722.080017,1390.199951
2016-06-24,698.960022,1232.140015
2016-06-27,691.359985,1186.050049
2016-06-28,707.950012,1204.25
2016-06-29,715.599976,1239.410034
2016-06-30,715.619995,1248.410034
2016-07-01,725.679993,1267.369995
2016-07-05,728.099976,1275.030029
2016-07-06,737.609985,1292.040039
2016-07-07,736.570007,1297.26001
2016-07-08,745.809998,1329.459961
2016-07-11,753.780029,1351.030029
2016-07-12,748.210022,1345.430054
2016-07-13,742.630005,1338.650024
2016-07-14,741.200012,1346.180054
2016-07-15,735.440002,1330.569946
2016-07-18,736.070007,1341.359985
2016-07-19,739.950012,1327.0
2016-07-20,745.719971,1352.829956
2016-07-21,744.429993,1332.5
2016-07-22,744.859985,1327.400024
2016-07-25,739.609985,1321.670044
2016-07-26,735.590027,1324.530029
2016-07-27,736.669983,1324.47998
2016-07-28,752.609985,1326.099976
2016-07-29,758.809998,1350.810059
2016-08-01,767.73999,1356.079956
2016-08-02,760.580017,1345.380005
2016-08-03,754.640015,1371.140015
2016-08-04,760.77002,1359.98999
2016-08-05,765.97998,1414.219971
2016-08-08,766.559998,1405.0
2016-08-09,768.309998,1407.01001
2016-08-10,768.559998,1406.280029
2016-08-11,771.23999,1406.920044
2016-08-12,772.559998,1407.97998
2016-08-15,768.48999,1399.160034
2016-08-16,764.039978,1408.660034
2016-08-17,764.630005,1427.199951
2016-08-18,764.460022,1443.069946
2016-08-19,757.309998,1432.0
2016-08-22,759.47998,1423.98999
2016-08-23,762.450012,1422.469971
2016-08-24,757.25,1410.180054
2016-08-25,759.219971,1415.550049
2016-08-26,769.0,1419.790039
2016-08-29,771.289978,1425.189941
