,spy,iwm,mdy
spy,2.23524323952e-05,3.12466663474e-05,2.77623314509e-05
iwm,3.12466663474e-05,6.09265629006e-05,4.95612159654e-05
mdy,2.77623314509e-05,4.95612159654e-05,4.39706843065e-05
