Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2016-04-11,105.908234,595.929993,12.673099,28.674246,45.512993,23.33486,52.337795,249.919998
2016-04-12,107.287712,603.169983,12.966232,28.588453,45.654224,23.789751,52.665443,247.820007
2016-04-13,108.842041,614.820007,13.474329,28.864901,45.527607,25.047955,53.340027,254.529999
2016-04-14,108.900322,620.75,13.816317,28.645647,45.308441,25.32863,53.349663,251.860001
2016-04-15,106.714546,625.890015,13.679521,28.731443,45.737034,24.93181,53.629135,254.509995
2016-04-18,104.412193,635.349976,13.845629,28.979292,45.430199,24.902777,54.409718,253.880005
2016-04-19,103.858475,627.900024,14.11922,28.883965,45.90749,25.609306,54.342258,247.369995
2016-04-20,104.072182,632.98999,14.588232,28.79817,45.42046,26.528765,53.571312,249.970001
2016-04-21,102.945305,631.0,14.558918,29.084152,44.465881,26.383587,53.754406,248.289993
2016-04-22,102.663574,620.5,14.764112,28.769571,44.821407,26.809443,49.899666,253.75
2016-04-25,102.080704,626.200012,14.617545,28.807703,45.040577,26.644911,50.217686,251.820007
2016-04-26,101.371529,616.880005,14.744571,29.169947,44.836021,26.664265,49.572006,253.740005
2016-04-27,95.027931,606.570007,14.676172,29.351065,44.94804,26.790773,49.090164,251.470001
2016-04-28,92.123268,602.0,14.451435,28.702845,45.18668,26.498829,48.087933,247.710007
2016-04-29,91.064392,659.590027,14.226703,28.273874,45.147724,26.333391,48.059025,240.759995
2016-05-02,90.967239,683.849976,14.431894,28.226213,45.532475,26.528025,48.772156,241.800003
2016-05-03,92.46328,671.320007,14.031281,28.283407,45.610405,26.167957,47.972294,232.320007
2016-05-04,91.501541,670.900024,13.806546,28.035559,45.727287,25.574339,48.059025,222.559998
2016-05-05,91.130135,659.090027,13.728377,27.987896,46.326336,25.467291,48.12648,211.529999
2016-05-06,90.621895,673.950012,13.787003,28.321539,47.164024,25.545143,48.560143,214.929993
2016-05-09,90.690315,679.75,13.669749,28.416864,47.280918,25.399172,48.251762,208.919998
2016-05-10,91.306053,703.070007,13.972654,28.740974,47.694889,25.91494,49.167263,208.690002
2016-05-11,90.416656,713.22998,13.874943,28.559855,47.110455,25.652191,49.196171,208.960007
2016-05-12,88.295753,717.929993,13.816317,30.00882,47.596832,25.525681,49.639469,207.279999
2016-05-13,88.47168,709.919983,13.562267,30.056484,47.196003,25.194809,49.22509,207.610001
2016-05-16,91.755653,710.659973,13.611124,30.018353,47.152004,25.506216,49.947849,208.289993
2016-05-17,91.374474,695.27002,13.689291,29.732374,46.72673,25.45756,49.016239,204.660004
2016-05-18,92.420265,697.450012,14.353725,29.894428,47.406197,26.50856,49.307365,211.169998
2016-05-19,92.068405,698.52002,14.197389,29.732374,48.437607,25.895479,48.83186,215.210007
2016-05-20,93.065338,702.799988,14.187617,29.846764,47.161785,26.051182,49.122993,220.279999
2016-05-23,94.24794,696.75,14.138763,29.598917,47.787476,26.109568,48.550438,216.220001
2016-05-24,95.684692,704.200012,14.343955,30.238085,47.851025,26.673996,50.064304,217.910004
