,USD,GOOGL,AAPL,ACN,XLV,EWO,ICLR,MSFT,PPA,SONVY,PCLN,AMT,GRMN,SAFM,IAI,INTC,LPX,PYPL,IXG,AMGN,ANTM,FXI,EWT,RHHBY,EZU,EBAY,UL,SH
USD,1.0,0.578492584943,0.60298463186,0.341537993688,0.339361907709,0.331323226657,0.222916586513,0.686751765209,0.548629493121,0.119880303497,0.468009426838,0.0977002855022,0.346149961758,0.092830909266,0.378877073367,0.605933318898,0.170687145032,0.489274372139,0.461216610234,0.249713902293,0.165283859219,0.45566174426,0.425712648549,0.10406227357,0.432396068538,0.516600576946,0.251828390145,-0.654930486711
GOOGL,0.578492584943,1.0,0.523767430976,0.259583496733,0.41952040342,0.261367993453,0.144221166143,0.632296589285,0.444347305569,0.0633388153216,0.505335755605,0.102423710554,0.173966399589,-0.0425076083296,0.325710382359,0.24588250826,0.0999427808091,0.48552215944,0.338517916397,0.300780456699,0.268272005931,0.377375165588,0.41297946846,0.14560591989,0.357965252441,0.534413868202,0.256572472185,-0.567230847766
AAPL,0.60298463186,0.523767430976,1.0,0.208510589186,0.285321155186,0.289097746372,0.228269098337,0.562855308287,0.408102657436,0.0307742292971,0.407622192712,0.155541880254,0.372913007794,0.0517448821807,0.299953177156,0.373761142904,0.0342795560258,0.344427924262,0.380007766721,0.298430396248,0.238002407102,0.488970005027,0.512819809707,0.107622855214,0.347580010606,0.462900372688,0.324806367193,-0.592033894814
ACN,0.341537993688,0.259583496733,0.208510589186,1.0,0.310202423847,0.233585585886,0.179488063905,0.43652460402,0.455009797545,0.0677006382089,0.260838174692,0.207043841662,0.219001479384,0.0736582282586,0.233816436178,0.254682226434,0.235613480734,0.342468643857,0.285717953412,0.143549819445,0.101137233498,0.21758031299,0.159017079024,0.128989211287,0.254788614952,0.20250218007,0.179079083968,-0.442391036255
XLV,0.339361907709,0.41952040342,0.285321155186,0.310202423847,1.0,0.300722710438,0.220292458374,0.424759349924,0.483298719784,0.217270519306,0.373497173853,0.163302641029,0.295249867415,0.118327325612,0.361320807234,0.216757573679,0.340018607243,0.330843513739,0.396637557889,0.692684317446,0.453853321459,0.341084961474,0.390880682601,0.181578077431,0.41597807959,0.37452401167,0.234481891189,-0.656443801134
EWO,0.331323226657,0.261367993453,0.289097746372,0.233585585886,0.300722710438,1.0,0.0932692374953,0.331179691872,0.353020012593,0.30231189324,0.350529256395,0.129940205058,0.222653312519,0.0938556990759,0.405701278107,0.224196170347,0.108548276379,0.231276024918,0.646086036541,0.199700765708,0.102867511812,0.4000131744,0.395708669348,0.220013542817,0.816271896513,0.278932710132,0.411855221167,-0.497701111048
ICLR,0.222916586513,0.144221166143,0.228269098337,0.179488063905,0.220292458374,0.0932692374953,1.0,0.132939380084,0.212619328041,0.141515326864,0.216249265841,0.00573391259784,0.147955124231,0.113782885204,0.102835938151,0.14012109542,0.0782110528684,0.3813722381,0.116197553941,0.0268457070111,0.0559715680876,0.199280237838,0.260614272504,0.0534648353895,0.0803651464198,0.125626012383,0.0962712396359,-0.268663215871
MSFT,0.686751765209,0.632296589285,0.562855308287,0.43652460402,0.424759349924,0.331179691872,0.132939380084,1.0,0.543015451938,0.133038810512,0.500754279844,0.219745123264,0.338263612782,0.0643596039129,0.308407831839,0.420901958008,0.172865473231,0.501111035898,0.426731998616,0.256446139184,0.20023973524,0.437621107283,0.451548091399,0.0584402049389,0.4417245676,0.557619662479,0.262758726606,-0.669203298742
PPA,0.548629493121,0.444347305569,0.408102657436,0.455009797545,0.483298719784,0.353020012593,0.212619328041,0.543015451938,1.0,0.0718694520737,0.439999979166,0.143642741614,0.439553745843,0.142589655423,0.587914302662,0.461237310486,0.318947905163,0.442541641182,0.622082236875,0.257735012371,0.351899432211,0.438678955617,0.353980075093,0.126440699191,0.449882696909,0.385838415961,0.181656613841,-0.767549192371
SONVY,0.119880303497,0.0633388153216,0.0307742292971,0.0677006382089,0.217270519306,0.30231189324,0.141515326864,0.133038810512,0.0718694520737,1.0,0.0681565746265,0.109585903081,0.0869469511113,0.0252949258731,0.0288880181069,0.0676416010354,0.0918870331805,0.0112594739012,0.0955839267755,0.0789291766997,0.0677222408329,0.134119021763,0.124640021695,0.306124241638,0.397237727371,0.156419804966,0.293820005594,-0.143717331797
PCLN,0.468009426838,0.505335755605,0.407622192712,0.260838174692,0.373497173853,0.350529256395,0.216249265841,0.500754279844,0.439999979166,0.0681565746265,1.0,0.146308118446,0.109248442688,0.0213190115348,0.264757519761,0.355309465379,0.115113994671,0.387577401228,0.391728324161,0.282340344816,0.129265501664,0.319317364533,0.364303060903,0.15521948587,0.387285808621,0.414749287989,0.187728353009,-0.478987167275
