,HSBC,GOOGL,INTC,LPX,BP,RTN,LMT,MASI,THO,FB,AOS,T,GOLD,MRK,JNJ,EVR,CELG,MSFT,LRCX
HSBC,1.0,0.253887231672,0.052502867272,0.199840911872,-0.0371768870278,0.0286913303071,0.0838909659587,0.0663798570886,0.243358349578,0.291315545896,0.268545854056,0.0950704756612,-0.0229666893416,0.0915459406333,-0.0196020884861,0.467634934436,0.229687771922,0.32042897274,0.142739347451
GOOGL,0.253887231672,1.0,0.319873317141,0.291324372535,0.0242056041374,0.217015927163,0.323684070907,0.248986593075,0.144055486418,0.580907539708,0.375543231662,0.0760930701386,0.0782842634712,0.13861625682,0.218450361494,0.301623807793,0.311024972106,0.527330141885,0.456691475511
INTC,0.052502867272,0.319873317141,1.0,-0.0121563023031,0.0844870389862,0.192099295409,0.0783535265337,0.101292318484,0.158967023076,0.218483090967,0.245040945792,0.00694186807156,-0.105550331791,0.313165115764,0.154110631843,0.0451466003268,0.145455317603,0.40975766622,0.351466872662
LPX,0.199840911872,0.291324372535,-0.0121563023031,1.0,0.276152201531,0.129397773906,0.132739725955,0.201507233699,0.461433819254,0.212010077944,0.433263270941,-0.0863882588883,-0.0136229119821,0.0184466623468,0.020436765697,0.258062331503,0.28436392817,0.21088050335,0.133008172372
BP,-0.0371768870278,0.0242056041374,0.0844870389862,0.276152201531,1.0,-0.00550129587581,-0.142675560598,-0.180451642113,0.198898494494,0.0558143095934,0.285724202106,0.00405176127856,-0.11879111171,0.215733532701,0.0906419362605,0.247987327789,0.0815666415899,0.103258777174,0.09372925442
RTN,0.0286913303071,0.217015927163,0.192099295409,0.129397773906,-0.00550129587581,1.0,0.370054981059,0.126847042281,0.0160128792669,0.127557977347,0.295440595071,-0.10851121284,0.171687263097,0.0776781460447,0.273076841344,-0.0122725490702,0.334469850242,0.285700271731,0.438672600736
LMT,0.0838909659587,0.323684070907,0.0783535265337,0.132739725955,-0.142675560598,0.370054981059,1.0,0.153009642678,0.0524351536501,0.319967375032,0.214262549368,0.0918651440969,0.0243699043544,0.125649263255,0.314050927426,0.0953166085709,0.148245273619,0.29194827598,0.115942482187
MASI,0.0663798570886,0.248986593075,0.101292318484,0.201507233699,-0.180451642113,0.126847042281,0.153009642678,1.0,0.145124673978,0.231208290909,0.241659966997,0.130786516811,0.106116758339,0.090031614419,0.308476531345,0.192269321763,0.341558508676,0.102090224543,0.170541412737
THO,0.243358349578,0.144055486418,0.158967023076,0.461433819254,0.198898494494,0.0160128792669,0.0524351536501,0.145124673978,1.0,0.35879032916,0.373080404061,0.119111875524,-0.0440217981327,0.0167357735028,-0.076923728026,0.322232192544,0.196483035937,0.163753768816,0.203407570978
FB,0.291315545896,0.580907539708,0.218483090967,0.212010077944,0.0558143095934,0.127557977347,0.319967375032,0.231208290909,0.35879032916,1.0,0.334891687322,0.0312904898717,0.0623452887115,0.0666898074758,0.142582232073,0.322788198179,0.309304944713,0.328179302008,0.440153859149
AOS,0.268545854056,0.375543231662,0.245040945792,0.433263270941,0.285724202106,0.295440595071,0.214262549368,0.241659966997,0.373080404061,0.334891687322,1.0,0.154914423364,-0.0450624784377,0.0559168662724,0.0981497165636,0.490470731386,0.319396412579,0.502772155253,0.452246383184
T,0.0950704756612,0.0760930701386,0.00694186807156,-0.0863882588883,0.00405176127856,-0.10851121284,0.0918651440969,0.130786516811,0.119111875524,0.0312904898717,0.154914423364,1.0,0.146620734846,0.0363253307474,0.234790094012,0.233434853826,-0.00281338317345,0.135344661464,0.0377300862131
GOLD,-0.0229666893416,0.0782842634712,-0.105550331791,-0.0136229119821,-0.11879111171,0.171687263097,0.0243699043544,0.106116758339,-0.0440217981327,0.0623452887115,-0.0450624784377,0.146620734846,1.0,0.0595167817825,0.120004779363,-0.0462337828892,0.125050353619,0.0512982636152,0.0168955931096
MRK,0.0915459406333,0.13861625682,0.313165115764,0.0184466623468,0.215733532701,0.0776781460447,0.125649263255,0.090031614419,0.0167357735028,0.0666898074758,0.0559168662724,0.0363253307474,0.0595167817825,1.0,0.2653703136,0.198998331955,0.11007698415,0.270864566156,0.15488523334
JNJ,-0.0196020884861,0.218450361494,0.154110631843,0.020436765697,0.0906419362605,0.273076841344,0.314050927426,0.308476531345,-0.076923728026,0.142582232073,0.0981497165636,0.234790094012,0.120004779363,0.2653703136,1.0,0.0812465347564,0.294942923824,0.357088411651,0.316777032005
EVR,0.467634934436,0.301623807793,0.0451466003268,0.258062331503,0.247987327789,-0.0122725490702,0.0953166085709,0.192269321763,0.322232192544,0.322788198179,0.490470731386,0.233434853826,-0.0462337828892,0.198998331955,0.0812465347564,1.0,0.227093023461,0.332088336136,0.3006649835
CELG,0.229687771922,0.311024972106,0.145455317603,0.28436392817,0.0815666415899,0.334469850242,0.148245273619,0.341558508676,0.196483035937,0.309304944713,0.319396412579,-0.00281338317345,0.125050353619,0.11007698415,0.294942923824,0.227093023461,1.0,0.348641704431,0.460318454107
MSFT,0.32042897274,0.527330141885,0.40975766622,0.21088050335,0.103258777174,0.285700271731,0.29194827598,0.102090224543,0.163753768816,0.328179302008,0.502772155253,0.135344661464,0.0512982636152,0.270864566156,0.357088411651,0.332088336136,0.348641704431,1.0,0.51066095061
LRCX,0.142739347451,0.456691475511,0.351466872662,0.133008172372,0.09372925442,0.438672600736,0.115942482187,0.170541412737,0.203407570978,0.440153859149,0.452246383184,0.0377300862131,0.0168955931096,0.15488523334,0.316777032005,0.3006649835,0.460318454107,0.51066095061,1.0
