Date,AAL,AAPL,AMZN,MSFT,PCLN
2016-07-01,29.33,95.889999,725.679993,51.16,1267.369995
2016-07-05,28.93,94.989998,728.099976,51.169998,1275.030029
2016-07-06,28.35,95.529999,737.609985,51.380001,1292.040039
2016-07-07,29.4,95.940002,736.570007,51.380001,1297.26001
2016-07-08,30.040001,96.68,745.809998,52.299999,1329.459961
2016-07-11,31.16,96.980003,753.780029,52.59,1351.030029
2016-07-12,34.66,97.419998,748.210022,53.209999,1345.430054
2016-07-13,34.450001,96.870003,742.630005,53.509998,1338.650024
2016-07-14,35.880001,98.790001,741.200012,53.740002,1346.180054
2016-07-15,35.889999,98.779999,735.440002,53.700001,1330.569946
2016-07-18,36.029999,99.830002,736.070007,53.959999,1341.359985
2016-07-19,36.009998,99.870003,739.950012,53.09,1327.0
2016-07-20,35.919998,99.959999,745.719971,55.91,1352.829956
2016-07-21,34.959999,99.43,744.429993,55.799999,1332.5
2016-07-22,36.360001,98.660004,744.859985,56.57,1327.400024
2016-07-25,35.799999,97.339996,739.609985,56.73,1321.670044
2016-07-26,36.549999,96.669998,735.590027,56.759998,1324.530029
2016-07-27,36.200001,102.949997,736.669983,56.189999,1324.47998
2016-07-28,36.34,104.339996,752.609985,56.209999,1326.099976
2016-07-29,35.5,104.209999,758.809998,56.68,1350.810059
2016-08-01,35.599998,106.050003,767.73999,56.580002,1356.079956
2016-08-02,33.509998,104.480003,760.580017,56.580002,1345.380005
2016-08-03,33.48,105.790001,754.640015,56.970001,1371.140015
2016-08-04,33.580002,105.870003,760.77002,57.389999,1359.98999
2016-08-05,34.439999,107.480003,765.97998,57.959999,1414.219971
2016-08-08,34.349998,108.370003,766.559998,58.060001,1405.0
2016-08-09,34.59,108.809998,768.309998,58.200001,1407.01001
2016-08-10,34.18,108.0,768.559998,58.02,1406.280029
2016-08-11,34.959999,107.93,771.23999,58.299999,1406.920044
2016-08-12,34.919998,108.18,772.559998,57.939999,1407.97998
2016-08-15,35.869999,109.480003,768.48999,58.119999,1399.160034
2016-08-16,36.75,109.379997,764.039978,57.439999,1408.660034
2016-08-17,36.599998,109.220001,764.630005,57.560001,1427.199951
2016-08-18,36.669998,109.080002,764.460022,57.599998,1443.069946
2016-08-19,36.490002,109.360001,757.309998,57.619999,1432.0
2016-08-22,36.0,108.510002,759.47998,57.669998,1423.98999
2016-08-23,36.400002,108.849998,762.450012,57.889999,1422.469971
2016-08-24,36.650002,108.029999,757.25,57.950001,1410.180054
2016-08-25,36.720001,107.57,759.219971,58.169998,1415.550049
2016-08-26,36.23,106.940002,769.0,58.029999,1419.790039
2016-08-29,36.169998,106.82,771.289978,58.099998,1425.189941
2016-08-30,37.049999,106.0,767.580017,57.889999,1416.550049
2016-08-31,36.299999,106.099998,769.159973,57.459999,1416.72998
2016-09-01,36.240002,106.730003,770.619995,57.59,1418.589966
2016-09-02,36.529999,107.730003,772.440002,57.669998,1422.849976
2016-09-06,36.959999,107.699997,788.869995,57.610001,1436.959961
2016-09-07,38.75,108.360001,784.47998,57.66,1444.01001
2016-09-08,39.349998,105.519997,784.059998,57.43,1445.829956
2016-09-09,38.490002,103.129997,760.140015,56.209999,1413.900024
2016-09-12,38.34,105.440002,771.48999,57.049999,1436.209961
2016-09-13,37.369999,107.949997,761.01001,56.529999,1415.949951
2016-09-14,36.389999,111.769997,761.090027,56.259998,1429.380005
2016-09-15,36.41,115.57,769.690002,57.189999,1457.219971
2016-09-16,35.490002,114.919998,778.52002,57.25,1460.050049
2016-09-19,35.439999,113.580002,775.099976,56.93,1448.060059
2016-09-20,35.150002,113.57,780.219971,56.810001,1449.0
2016-09-21,34.669998,113.550003,789.73999,57.759998,1464.0
2016-09-22,35.25,114.620003,804.700012,57.82,1465.869995
2016-09-23,35.549999,112.709999,805.75,57.43,1456.76001
2016-09-26,34.93,112.879997,799.159973,56.900002,1447.150024
2016-09-27,36.0,113.089996,816.109985,57.950001,1453.48999
2016-09-28,35.84,113.949997,828.719971,58.029999,1458.030029
2016-09-29,35.82,112.18,829.049988,57.400002,1472.97998
2016-09-30,36.610001,113.050003,837.309998,57.599998,1471.48999
2016-10-03,37.700001,112.519997,836.73999,57.419998,1486.719971
2016-10-04,37.630001,113.0,834.030029,57.240002,1489.02002
2016-10-05,37.869999,113.050003,844.359985,57.639999,1497.579956
2016-10-06,38.169998,113.889999,841.659973,57.740002,1490.439941
2016-10-07,37.73,114.059998,839.429993,57.799999,1479.819946
2016-10-10,38.889999,116.050003,841.710022,58.040001,1475.180054
2016-10-11,38.200001,116.300003,831.0,57.189999,1459.02002
2016-10-12,37.380001,117.339996,834.090027,57.110001,1454.839966
2016-10-13,39.240002,116.980003,829.280029,56.919998,1442.52002
2016-10-14,38.650002,117.629997,822.960022,57.419998,1439.569946
2016-10-17,38.580002,117.550003,812.950012,57.220001,1437.650024
2016-10-18,39.349998,117.470001,817.650024,57.66,1454.969971
2016-10-19,40.630001,117.120003,817.690002,57.529999,1469.199951
2016-10-20,40.59,117.059998,810.320007,57.25,1468.290039
2016-10-21,39.900002,116.599998,818.98999,59.66,1467.390015
2016-10-24,39.830002,117.650002,838.090027,61.0,1471.800049
2016-10-25,39.689999,118.25,835.179993,60.990002,1479.030029
2016-10-26,39.32,115.589996,822.590027,60.630001,1469.160034
2016-10-27,39.91,114.480003,818.359985,60.099998,1463.02002
2016-10-28,40.060001,113.720001,776.320007,59.869999,1474.819946
2016-10-31,40.599998,113.540001,789.820007,59.919998,1474.22998
2016-11-01,39.799999,111.489998,785.409973,59.799999,1467.0
2016-11-02,39.709999,111.589996,765.559998,59.43,1445.329956
2016-11-03,39.380001,109.830002,767.030029,59.209999,1438.099976
2016-11-04,39.740002,108.839996,755.049988,58.709999,1424.280029
2016-11-07,41.490002,110.410004,784.929993,60.419998,1480.329956
2016-11-08,41.700001,111.059998,787.75,60.470001,1578.130005
2016-11-09,42.41,110.879997,771.880005,60.169998,1570.26001
2016-11-10,42.299999,107.790001,742.380005,58.700001,1554.319946
2016-11-11,42.93,108.43,739.01001,59.02,1540.650024
2016-11-14,43.400002,105.709999,719.070007,58.119999,1489.180054
2016-11-15,44.759998,107.110001,743.23999,58.869999,1497.449951
2016-11-16,44.450001,109.989998,746.48999,59.650002,1503.22998
2016-11-17,45.830002,109.949997,756.400024,60.639999,1512.900024
2016-11-18,46.259998,110.059998,760.159973,60.349998,1507.349976
2016-11-21,46.080002,111.730003,780.0,60.860001,1524.180054
2016-11-22,46.080002,111.800003,785.330017,61.119999,1535.420044
2016-11-23,46.34,111.230003,780.119995,60.400002,1520.98999
2016-11-25,46.82,111.790001,780.369995,60.529999,1521.680054
2016-11-28,46.5,111.57,766.77002,60.610001,1525.069946
2016-11-29,46.889999,111.459999,762.52002,61.09,1520.27002
2016-11-30,46.439999,110.519997,750.570007,60.259998,1503.680054
2016-12-01,45.75,109.489998,743.650024,59.200001,1479.660034
2016-12-02,46.099998,109.900002,740.340027,59.25,1473.0
2016-12-05,45.720001,109.110001,759.359985,60.220001,1499.76001
2016-12-06,46.43,109.949997,764.719971,59.950001,1504.819946
2016-12-07,48.650002,111.029999,770.419983,61.369999,1527.040039
2016-12-08,48.049999,112.120003,767.330017,61.009998,1548.670044
2016-12-09,49.639999,113.949997,768.659973,61.970001,1557.97998
2016-12-12,47.59,113.300003,760.119995,62.169998,1536.780029
2016-12-13,47.84,115.190002,774.340027,62.98,1540.109985
2016-12-14,47.919998,115.190002,768.820007,62.68,1528.449951
2016-12-15,48.299999,115.82,761.0,62.580002,1501.199951
2016-12-16,47.630001,115.970001,757.77002,62.299999,1484.280029
2016-12-19,48.580002,116.639999,766.0,63.619999,1488.829956
2016-12-20,49.220001,116.949997,771.219971,63.540001,1502.25
2016-12-21,49.470001,117.059998,770.599976,63.540001,1505.76001
2016-12-22,48.689999,116.290001,766.340027,63.549999,1481.339966
2016-12-23,48.48,116.519997,760.590027,63.240002,1486.199951
2016-12-27,48.610001,117.260002,771.400024,63.279999,1493.420044
2016-12-28,47.669998,116.760002,772.130005,62.990002,1480.459961
2016-12-29,47.25,116.730003,765.150024,62.900002,1480.160034
2016-12-30,46.689999,115.82,749.869995,62.139999,1466.060059
2017-01-03,46.299999,116.150002,753.669983,62.580002,1477.569946
2017-01-04,46.700001,116.019997,757.179993,62.299999,1487.290039
2017-01-05,45.889999,116.610001,780.450012,62.299999,1503.699951
2017-01-06,46.209999,117.910004,795.98999,62.84,1520.569946
2017-01-09,47.080002,118.989998,796.919983,62.639999,1529.640015
2017-01-10,48.48,119.110001,795.900024,62.619999,1535.25
2017-01-11,48.639999,119.75,799.02002,63.189999,1536.109985
2017-01-12,48.099998,119.25,813.640015,62.610001,1538.589966
2017-01-13,47.650002,119.040001,817.140015,62.700001,1545.819946
2017-01-17,46.75,120.0,809.719971,62.529999,1540.130005
2017-01-18,47.639999,119.989998,807.47998,62.5,1541.859985
2017-01-19,47.259998,119.779999,809.039978,62.299999,1539.02002
2017-01-20,48.0,120.0,808.330017,62.740002,1545.01001
2017-01-23,46.939999,120.080002,817.880005,62.959999,1554.98999
2017-01-24,47.540001,119.970001,822.440002,63.52,1563.329956
2017-01-25,47.91,121.879997,836.52002,63.68,1578.819946
2017-01-26,49.59,121.940002,839.150024,64.269997,1581.439941
2017-01-27,46.950001,121.949997,835.77002,65.779999,1602.920044
2017-01-30,44.900002,121.629997,830.380005,65.129997,1602.310059
2017-01-31,44.25,121.349998,823.47998,64.650002,1575.130005
2017-02-01,44.049999,128.75,832.349976,63.580002,1575.310059
2017-02-02,44.009998,128.529999,839.950012,63.169998,1574.089966
2017-02-03,44.200001,129.080002,810.200012,63.68,1583.380005
2017-02-06,45.299999,130.289993,807.640015,63.639999,1587.180054
2017-02-07,45.169998,131.529999,812.5,63.43,1598.699951
2017-02-08,45.060001,132.039993,819.710022,63.34,1601.189941
2017-02-09,46.299999,132.419998,821.359985,64.059998,1611.829956
2017-02-10,46.450001,132.119995,827.460022,64.0,1646.51001
2017-02-13,47.41,133.289993,836.530029,64.720001,1646.180054
2017-02-14,46.57,135.020004,836.390015,64.57,1637.290039
2017-02-15,47.540001,135.509995,842.700012,64.529999,1648.959961
2017-02-16,46.970001,135.350006,844.140015,64.519997,1648.880005
2017-02-17,46.91,135.720001,845.070007,64.620003,1637.400024
2017-02-21,46.810001,136.699997,856.440002,64.489998,1647.0
2017-02-22,46.32,137.110001,855.609985,64.360001,1651.73999
2017-02-23,46.099998,136.529999,852.190002,64.620003,1637.26001
2017-02-24,46.279999,136.660004,845.23999,64.620003,1631.619995
2017-02-27,46.32,136.929993,848.640015,64.230003,1632.01001
2017-02-28,46.360001,136.990005,845.039978,63.98,1724.130005
2017-03-01,47.09,139.789993,853.080017,64.940002,1733.180054
2017-03-02,45.720001,138.960007,848.909973,64.010002,1734.369995
2017-03-03,46.82,139.779999,849.880005,64.25,1735.099976
2017-03-06,45.310001,139.339996,846.609985,64.269997,1730.209961
2017-03-07,44.84,139.520004,846.02002,64.400002,1736.459961
2017-03-08,44.889999,139.0,850.5,64.989998,1743.48999
2017-03-09,43.330002,138.679993,853.0,64.730003,1749.420044
2017-03-10,43.900002,139.139999,852.460022,64.93,1754.23999
2017-03-13,42.369999,139.199997,854.590027,64.709999,1767.119995
2017-03-14,41.209999,138.990005,852.530029,64.410004,1769.0
2017-03-15,42.09,140.460007,852.969971,64.75,1767.97998
2017-03-16,42.130001,140.690002,853.419983,64.639999,1773.97998
2017-03-17,41.720001,139.990005,852.309998,64.870003,1772.630005
2017-03-20,41.700001,141.460007,856.969971,64.93,1765.439941
