,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
75,0.29,0.0480732107272,0.000870717641351,0.13,0.58,55.2110218562
76,0.11,0.0530483928799,0.000899155370308,0.18,0.71,58.9980270726
77,0.45,0.0466084166961,0.00100938384421,0.04,0.51,46.1751165956
78,0.38,0.0394179622373,0.00110427459847,0.2,0.42,35.6957973063
79,0.57,0.0248968608698,0.00150093290189,0.29,0.14,16.58759085
80,0.25,0.0278264489319,0.00216271369272,0.47,0.28,12.8664506197
81,0.46,0.0182349116928,0.00217428710326,0.47,0.07,8.38661631459
82,0.52,0.0154944724816,0.00218426008322,0.47,0.01,7.09369392437
83,0.43,0.0429773067601,0.000979370122254,0.11,0.46,43.8825994213
84,0.52,0.0343220582702,0.00116712688065,0.18,0.3,29.407306814
85,0.32,0.0194354530829,0.00253274085121,0.55,0.13,7.67368405403
86,0.88,0.0250209210608,0.00151934127124,0.07,0.05,16.4682691995
87,0.8,0.0241302503359,0.00141101201679,0.14,0.06,17.1013783362
88,0.77,0.0222543344607,0.00142627509482,0.19,0.04,15.6031150944
89,0.34,0.0386480133268,0.00120703854689,0.24,0.42,32.0188724928
90,0.14,0.0172691371779,0.00332591146401,0.71,0.15,5.19230212976
91,0.19,0.0409545216816,0.00143901735589,0.31,0.5,28.4600609673
92,0.07,0.00748177433448,0.00432401711287,0.91,0.02,1.73028323875
93,0.33,0.05014161383,0.00085451516497,0.07,0.6,58.6784364813
94,0.2,0.0379008734285,0.00161547777218,0.35,0.45,23.4610924899
95,0.94,0.0235789360419,0.00161511588397,0.05,0.01,14.5989128557
96,0.16,0.0403770599987,0.00156895678054,0.34,0.5,25.7349727535
97,0.27,0.0223683795217,0.00248882269131,0.54,0.19,8.98753438718
98,0.26,0.0448988406597,0.00103227600515,0.2,0.54,43.4949959467
99,0.01,0.0478773851229,0.00153050688419,0.33,0.66,31.282044934
100,0.22,0.0278982143452,0.00225761013454,0.49,0.29,12.3574101296
101,0.55,0.0193180696452,0.00185849771718,0.39,0.06,10.3944543308
102,0.54,0.0353562598216,0.00113620392651,0.15,0.31,31.1178820956
103,0.43,0.0312912190292,0.00142732549926,0.29,0.28,21.922973453
104,0.74,0.0301168250279,0.0013335113256,0.09,0.17,22.5846038573
105,0.75,0.032256993544,0.00137221771717,0.05,0.2,23.5071979763
106,0.1,0.0190960966521,0.00333578818906,0.71,0.19,5.72461306587
107,0.4,0.0462952076541,0.000932895090796,0.08,0.52,49.6253095454
108,0.19,0.0312161152393,0.00211928143826,0.46,0.35,14.7295751643
109,0.27,0.0184730169448,0.00277276577182,0.6,0.13,6.66230704827
110,0.5,0.0229002231802,0.00176159028995,0.37,0.13,12.9997442145
111,0.29,0.0136641746308,0.00305653630995,0.66,0.05,4.47047678979
112,0.13,0.00863669770025,0.00401198222221,0.85,0.02,2.15272581529
113,0.39,0.0486996288111,0.000929579615187,0.05,0.56,52.3888734386
114,0.61,0.0373528975111,0.00118225218322,0.07,0.32,31.5946953123
115,0.1,0.0470128617869,0.0013007788537,0.28,0.62,36.1420864531
116,0.15,0.0434307082519,0.00139154679934,0.3,0.55,31.2103827715
117,0.01,0.0102222135457,0.00434338830489,0.91,0.08,2.35351132068
118,0.08,0.0635077918318,0.000601223124232,0.04,0.88,105.630986687
119,0.55,0.0251611135107,0.00152288151246,0.3,0.15,16.5220427885
120,0.07,0.0133248181999,0.00388213408153,0.82,0.11,3.4323436337
121,0.05,0.0246259314755,0.00310517217784,0.66,0.29,7.93061706893
122,0.13,0.0469410963736,0.00121790260804,0.26,0.61,38.5425698769
123,0.43,0.0475218964332,0.000985259242564,0.04,0.53,48.2328857017
124,0.64,0.0268934985593,0.00133552225497,0.21,0.15,20.1370650765
125,0.38,0.0407164164296,0.0010512626617,0.18,0.44,38.7309641187
126,0.17,0.0561509975342,0.00070672189324,0.09,0.74,79.4527494779
127,0.35,0.0174160063812,0.00257828440447,0.56,0.09,6.75488179309
128,0.15,0.0616090669444,0.000686630777103,0.02,0.83,89.726631836
129,0.04,0.0263811255364,0.00301037982041,0.64,0.32,8.76338771522
130,0.3,0.0372288373201,0.00137848468366,0.29,0.41,27.0070736088
131,0.15,0.0590121585597,0.000666632667052,0.06,0.79,88.5227524488
132,0.46,0.0480993581161,0.00106120954522,0.01,0.53,45.3250334326
133,0.14,0.0555735358513,0.000735886066663,0.12,0.74,75.5192119662
134,0.91,0.0230014743591,0.00155026941372,0.08,0.01,14.8370819649
135,0.11,0.0303254445144,0.0024618522176,0.53,0.36,12.3181417217
136,0.49,0.0155662378948,0.00226670767264,0.49,0.02,6.86733365874
137,0.46,0.0435547684429,0.00100105285232,0.08,0.46,43.5089599337
138,0.2,0.0398485547169,0.00148351160989,0.32,0.48,26.8609658674
139,0.25,0.0505493972975,0.00081925999834,0.12,0.63,61.7012882356
140,0.63,0.0254025571394,0.00139661899016,0.24,0.13,18.1886092902
141,0.19,0.0286192068546,0.00230736755605,0.5,0.31,12.4034017812
142,0.53,0.0273730474401,0.0014445093757,0.28,0.19,18.9497194692
143,0.71,0.0269424549604,0.00132579787655,0.16,0.13,20.3216911392
144,0.24,0.0373723681467,0.00153185740953,0.33,0.43,24.3967669016
145,0.59,0.0408632856328,0.00119341655172,0.03,0.38,34.240588983
146,0.18,0.0602388473388,0.000718730137714,0.02,0.8,83.8128863364
147,0.66,0.0311738355915,0.00124530732848,0.13,0.21,25.0330459627
148,0.08,0.0148157596199,0.00373220348113,0.79,0.13,3.96970842955
149,0.13,0.0112336060849,0.00381624114169,0.81,0.06,2.94363109348
150,0.58,0.0387231171167,0.00114573786557,0.07,0.35,33.797536313
151,0.33,0.0533877493108,0.000889198102241,0.02,0.65,60.0403320432
152,0.68,0.0374018539122,0.00132093892258,0.02,0.3,28.3145974979
153,0.31,0.0530027748555,0.000843932053241,0.04,0.65,62.804552395
154,0.11,0.0199378109758,0.00323583498802,0.69,0.2,6.16156604082
155,0.87,0.0287237964101,0.00156439950104,0.02,0.11,18.3609087008
156,0.34,0.0535802365384,0.000916036489327,0.01,0.65,58.4913779775
157,0.05,0.0168352063216,0.00369196822543,0.78,0.17,4.55995428282
158,0.26,0.0143851671402,0.00310881879493,0.67,0.07,4.62721312791
159,0.18,0.0225836757616,0.00278557635106,0.6,0.22,8.10736196584
160,0.03,0.0209948215395,0.00345296349461,0.73,0.24,6.08023269641
161,0.13,0.0631717737776,0.000679260592409,0.01,0.86,93.0007930441
162,0.54,0.0230209449946,0.00166116129101,0.34,0.12,13.8583442314
163,0.3,0.0281396579739,0.00198000956491,0.43,0.27,14.2118798175
164,0.78,0.0308867739384,0.00141029167276,0.05,0.17,21.9009829917
165,0.54,0.0223717178984,0.00169881831429,0.35,0.11,13.1689879431
166,0.15,0.047975297925,0.00109921416417,0.23,0.62,43.6450870893
167,0.18,0.0258298112424,0.00254610568597,0.55,0.27,10.1448307447
168,0.02,0.0636513226583,0.000579732022328,0.08,0.9,109.794388108
169,0.18,0.0186883131846,0.00307474503908,0.66,0.16,6.078004175
170,0.59,0.0233341540366,0.00154566761195,0.3,0.11,15.096488958
171,0.68,0.0374018539122,0.00132093892258,0.02,0.3,28.3145974979
172,0.77,0.0248512428454,0.00138298212879,0.15,0.08,17.9693159644
173,0.8,0.0319209754899,0.00147425906772,0.02,0.18,21.6522158072
174,0.78,0.0328344552269,0.001448591464,0.02,0.2,22.6664701835
175,0.18,0.0173898589923,0.00317148559242,0.68,0.14,5.48319028592
176,0.13,0.0333073273543,0.00217252080075,0.47,0.4,15.3311891618
177,0.04,0.0620886158251,0.000609436463562,0.09,0.87,101.878734761
178,0.22,0.0447781188453,0.00112023832635,0.23,0.55,39.9719575667
179,0.38,0.0309780099872,0.0015627660555,0.33,0.29,19.8225510966
180,0.04,0.0244334442479,0.00315670808629,0.67,0.29,7.74016588799
181,0.42,0.0220095524554,0.00203668609527,0.44,0.14,10.8065511453
182,0.12,0.0116903459534,0.00381893889417,0.81,0.07,3.0611503031
183,0.42,0.0272033692246,0.0016963712354,0.36,0.22,16.036212273
184,0.03,0.0508592679628,0.00125562031814,0.27,0.7,40.5052922671
185,0.42,0.0440832737248,0.000961833686079,0.1,0.48,45.8325325499
186,0.26,0.0169820755248,0.00291709931926,0.63,0.11,5.82156233513
187,0.01,0.0413851141613,0.00200236626255,0.43,0.56,20.6681040004
188,0.51,0.0425695232926,0.00106629987966,0.06,0.43,39.922656004
189,0.74,0.0307660521241,0.00133731090235,0.08,0.18,23.0059084017
190,0.4,0.0488921160388,0.000949343313504,0.04,0.56,51.5009853056
191,0.01,0.0452804767382,0.0017176070755,0.37,0.62,26.3625350548
192,0.05,0.0603334217642,0.00065826721393,0.11,0.84,91.6549092641
193,0.18,0.053097349281,0.000785767306478,0.13,0.69,67.5738845881
194,0.39,0.0201336365802,0.00225658020675,0.49,0.12,8.92218965668
195,0.2,0.0275132398899,0.00235357335369,0.51,0.29,11.6899861425
196,0.44,0.0392744314107,0.00105702405058,0.16,0.4,37.1556648963
197,0.88,0.0289162836378,0.00159329468724,0.01,0.11,18.1487353654
198,0.39,0.031819724311,0.00148672320741,0.31,0.3,21.4025880221
199,0.64,0.0262442714632,0.00135713268017,0.22,0.14,19.3380292484
200,0.4,0.0462952076541,0.000932895090796,0.08,0.52,49.6253095454
201,0.85,0.0257419135702,0.00147459589447,0.08,0.07,17.4569274652
202,0.07,0.0581214878349,0.000721263754326,0.13,0.8,80.5828484882
203,0.27,0.0541805072335,0.000792501362749,0.05,0.68,68.3664530816
204,0.37,0.0145548453556,0.00271777376301,0.59,0.04,5.35542934211
205,0.27,0.0366513756372,0.00149425022451,0.32,0.41,24.5282717954
206,0.69,0.0194159824474,0.0015791279517,0.29,0.02,12.2953826677
207,0.46,0.0474501310199,0.00104578762377,0.02,0.52,45.3726262784
208,0.63,0.0325440551971,0.00121168608852,0.13,0.24,26.858487116
209,0.1,0.0249391405175,0.00289815218951,0.62,0.28,8.60518664541
210,0.53,0.0306191829209,0.00129359095183,0.23,0.24,23.6699111706
211,0.34,0.0503341010576,0.000867100149512,0.06,0.6,58.0487745112
212,0.24,0.0419169578198,0.0012419051235,0.26,0.5,33.7521417913
213,0.17,0.0113543278992,0.00365958551255,0.78,0.05,3.10262674839
214,0.32,0.0421584014485,0.00106584965815,0.2,0.48,39.5537974104
215,0.12,0.0577854697807,0.000681637959386,0.1,0.78,84.7744304509
216,0.09,0.00851597588589,0.00417056333256,0.88,0.03,2.0419246051
217,0.5,0.0306909483341,0.001330750991,0.25,0.25,23.0628784361
218,0.61,0.0224206742995,0.00155762833333,0.3,0.09,14.3941104689
219,0.11,0.0517499386876,0.000972689279051,0.2,0.69,53.2029495978
220,0.34,0.0379987862306,0.0012421307281,0.25,0.41,30.5916159797
221,0.66,0.0318230626877,0.00124007273982,0.12,0.22,25.6622548548
222,0.35,0.0141698709004,0.00281285565134,0.61,0.04,5.03753930409
223,0.66,0.0318230626877,0.00124007273982,0.12,0.22,25.6622548548
224,0.29,0.0435286210541,0.00104842571424,0.2,0.51,41.5180784511
225,0.08,0.0537693853894,0.0009270150647,0.19,0.73,58.0027093808
226,0.31,0.0257352368169,0.00211658272138,0.46,0.23,12.1588618091
227,0.57,0.0352844944083,0.0011457214804,0.13,0.3,30.7967468638
228,0.65,0.0309813483639,0.00124147557041,0.14,0.21,24.9552621915
229,0.02,0.00976547367713,0.00434006221181,0.91,0.07,2.25007688843
230,0.07,0.0353985394693,0.00222966426995,0.48,0.45,15.8761746988
231,0.44,0.0152530288529,0.00244109679482,0.53,0.03,6.24843262473
