,iwm,mdy,portfolioreturn,portfoliostandarddeviation,spy,returnoverrisk
0,0.05,0.58,0.0439439254157,0.00712043765332,0.37,6.17152028503
1,0.23,0.38,0.049005852315,0.00646730482242,0.39,7.57747680999
2,0.2,0.4,0.0487323625191,0.00655768832667,0.4,7.43133252016
3,0.59,0.36,0.0428800125256,0.00570201971873,0.05,7.52014455243
4,0.26,0.64,0.0373058836777,0.00671656782524,0.1,5.55430759405
5,0.01,0.64,0.0421538606363,0.0072909585621,0.35,5.78166235307
6,0.78,0.12,0.0494585144085,0.00513061959501,0.1,9.63987165539
7,0.18,0.7,0.0362914952116,0.0069733934423,0.12,5.20428045712
8,0.22,0.25,0.0547588770945,0.00634935392239,0.53,8.62432268918
9,0.01,0.83,0.0340290138423,0.00754203354836,0.16,4.51191493966
10,0.68,0.16,0.04968721113,0.00533239111652,0.16,9.31799825711
11,0.19,0.68,0.0369528231642,0.00692446193693,0.13,5.33656239297
12,0.59,0.11,0.0535706004125,0.00544659891432,0.3,9.83560589924
13,0.06,0.05,0.0664140526575,0.00653113263976,0.89,10.1688415043
14,0.26,0.04,0.0629632946061,0.00605952031048,0.7,10.39080511
15,0.39,0.16,0.055310864402,0.00588868170988,0.45,9.39274138543
16,0.54,0.1,0.0549678193197,0.00553152378035,0.36,9.93719298738
17,0.35,0.49,0.0419749647047,0.00633363654732,0.16,6.62730871769
18,0.01,0.56,0.04557484876,0.00719128779527,0.43,6.33750867126
19,0.35,0.33,0.0488169409523,0.00614880336982,0.32,7.93925874941
20,0.2,0.63,0.0388970216632,0.00683693671495,0.17,5.68924699539
21,0.01,0.33,0.0554101896159,0.00692647526639,0.66,7.99976719541
22,0.03,0.68,0.0400555284177,0.00729457325119,0.29,5.49114074783
23,0.46,0.22,0.0513876897607,0.0058041920288,0.32,8.85354748874
24,0.74,0.25,0.0446750850207,0.00532041585219,0.01,8.39691600467
25,0.47,0.28,0.0486280295895,0.00584635478188,0.25,8.31766654673
26,0.15,0.8,0.0325970172919,0.00717637379341,0.05,4.54226859278
27,0.26,0.23,0.0548384478121,0.00623911746817,0.51,8.7894558953
28,0.47,0.39,0.0439241709193,0.00596785470523,0.14,7.36012739734
29,0.54,0.31,0.0459877254947,0.00574118653593,0.15,8.01014306135
30,0.07,0.73,0.0371417345269,0.00726590866682,0.2,5.1117810903
31,0.01,0.03,0.0682388950801,0.00663453488943,0.96,10.2854075255
32,0.35,0.55,0.0394092236119,0.00640751901222,0.1,6.15046534184
33,0.06,0.12,0.0634206880492,0.00659454282142,0.82,9.61714705122
34,0.21,0.34,0.0511041845336,0.00646790660123,0.45,7.90119395414
35,0.58,0.01,0.0580407546456,0.00537833423083,0.41,10.7915856759
