,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,2.30823531982e-05,1.97690190266e-05,2.83890459887e-05,2.17151854591e-05,2.97935618126e-05,1.55531622186e-05,1.55228380964e-05,3.54580076551e-05,3.84335197151e-05,2.96797773423e-05,2.94368378919e-05,1.45685779179e-05,1.43719641702e-05,1.21185536624e-05,1.32656889124e-05,3.78937419946e-05,2.88046834803e-05,2.79222619881e-05,4.54663793914e-05
HSBC,1.97690190266e-05,7.97745025948e-05,6.80366846709e-06,9.61419928386e-06,2.39662266855e-05,4.62681763156e-06,6.18306868308e-06,-1.15961988208e-05,3.68222393494e-05,9.67928921229e-06,2.54868297629e-05,1.03272548081e-05,2.22214794765e-05,-9.6291353823e-07,1.00249579758e-05,4.91525762851e-05,2.10211419768e-05,1.34883717862e-05,1.9851129266e-05
GOOGL,2.83890459887e-05,6.80366846709e-06,9.91966994395e-05,2.67214072731e-05,2.66923036248e-05,2.33856014486e-05,1.98725453601e-05,6.50128271351e-05,2.56752393657e-05,7.19225871263e-05,3.7353449544e-05,-1.50741599373e-06,1.75605595915e-06,8.77422049417e-06,1.72197944715e-05,1.84003530477e-05,4.92416169077e-05,5.73980313615e-05,9.67868064146e-05
INTC,2.17151854591e-05,9.61419928386e-06,2.67214072731e-05,8.25947780092e-05,1.93584764571e-05,2.48232948744e-05,2.2241524029e-05,4.73296096745e-05,2.50100134215e-05,3.89686769331e-05,3.18304416883e-05,1.38459994435e-05,2.00825081932e-05,1.34768249247e-05,9.7885768876e-06,2.27083546745e-05,2.52963027994e-05,3.46929493311e-05,5.43371897141e-05
LPX,2.97935618126e-05,2.39662266855e-05,2.66923036248e-05,1.93584764571e-05,0.000187726903584,8.68237433767e-06,1.18665353854e-05,4.02430620789e-05,7.38171638439e-05,3.39958020426e-05,3.89768768027e-05,9.88017717523e-06,1.27048840278e-05,1.84980074207e-05,1.7808774026e-05,7.43570163523e-05,6.79898271131e-05,3.17079447504e-05,8.11143915091e-05
RTN,1.55531622186e-05,4.62681763156e-06,2.33856014486e-05,2.48232948744e-05,8.68237433767e-06,5.66146178254e-05,3.87753321693e-05,2.62278700379e-05,2.96972970786e-06,1.98734032646e-05,3.054617836e-05,7.8599008326e-06,6.73668205462e-06,7.69552371962e-06,1.2610780649e-05,1.65309043698e-05,1.70820776813e-05,1.95734825494e-05,2.61532613554e-05
LMT,1.55228380964e-05,6.18306868308e-06,1.98725453601e-05,2.2241524029e-05,1.18665353854e-05,3.87753321693e-05,4.64228561228e-05,2.90678533677e-05,3.36603018585e-06,1.60052157627e-05,2.63660614102e-05,8.39414702993e-06,3.65542466911e-06,5.21610752016e-06,1.13868052036e-05,1.69296530842e-05,2.01668622537e-05,1.95464675423e-05,2.95873828009e-05
MASI,3.54580076551e-05,-1.15961988208e-05,6.50128271351e-05,4.73296096745e-05,4.02430620789e-05,2.62278700379e-05,2.90678533677e-05,0.000397945019088,6.59167484921e-05,8.08451364381e-05,4.27368724024e-05,1.07933096148e-05,1.58079649264e-05,1.51179883391e-05,9.19036074663e-06,3.15172324216e-05,4.4349322247e-05,6.4842992972e-05,0.000114015379094
THO,3.84335197151e-05,3.68222393494e-05,2.56752393657e-05,2.50100134215e-05,7.38171638439e-05,2.96972970786e-06,3.36603018585e-06,6.59167484921e-05,0.000349115556981,4.31587137384e-05,3.81762932383e-05,2.86282947171e-05,3.40915116409e-05,2.65818236403e-05,1.02918809787e-05,9.77264555748e-05,5.73673449677e-05,5.70497632604e-05,0.000100010690824
FB,2.96797773423e-05,9.67928921229e-06,7.19225871263e-05,3.89686769331e-05,3.39958020426e-05,1.98734032646e-05,1.60052157627e-05,8.08451364381e-05,4.31587137384e-05,9.57463292804e-05,3.07428698656e-05,1.42173396841e-05,5.94236717912e-06,1.5563592154e-05,1.40019292955e-05,3.44970749525e-05,4.13446623059e-05,5.37816259465e-05,0.000100353046176
AOS,2.94368378919e-05,2.54868297629e-05,3.7353449544e-05,3.18304416883e-05,3.89768768027e-05,3.054617836e-05,2.63660614102e-05,4.27368724024e-05,3.81762932383e-05,3.07428698656e-05,9.14781928727e-05,4.06295679858e-06,1.1647171893e-05,9.48827863012e-06,1.87926495597e-05,2.74014310057e-05,3.3271194404e-05,4.02506011792e-05,6.13501467309e-05
T,1.45685779179e-05,1.03272548081e-05,-1.50741599373e-06,1.38459994435e-05,9.88017717523e-06,7.8599008326e-06,8.39414702993e-06,1.07933096148e-05,2.86282947171e-05,1.42173396841e-05,4.06295679858e-06,8.46445472416e-05,1.74236134562e-05,1.79394328555e-05,6.77021874083e-06,3.58845269754e-05,7.95195117372e-06,3.73683431032e-06,1.88835762739e-05
BP,1.43719641702e-05,2.22214794765e-05,1.75605595915e-06,2.00825081932e-05,1.27048840278e-05,6.73668205462e-06,3.65542466911e-06,1.58079649264e-05,3.40915116409e-05,5.94236717912e-06,1.1647171893e-05,1.74236134562e-05,8.60024298548e-05,1.21570258449e-05,1.05498901827e-05,3.63379038543e-05,-3.75143930128e-07,9.35222277379e-06,4.03768238989e-06
MRK,1.21185536624e-05,-9.6291353823e-07,8.77422049417e-06,1.34768249247e-05,1.84980074207e-05,7.69552371962e-06,5.21610752016e-06,1.51179883391e-05,2.65818236403e-05,1.5563592154e-05,9.48827863012e-06,1.79394328555e-05,1.21570258449e-05,5.3276060004e-05,2.05170723125e-05,1.6127920149e-05,2.4609115188e-05,7.10971808835e-06,6.60340702736e-06
JNJ,1.32656889124e-05,1.00249579758e-05,1.72197944715e-05,9.7885768876e-06,1.7808774026e-05,1.2610780649e-05,1.13868052036e-05,9.19036074663e-06,1.02918809787e-05,1.40019292955e-05,1.87926495597e-05,6.77021874083e-06,1.05498901827e-05,2.05170723125e-05,5.01458069336e-05,1.53851547367e-05,3.02544309578e-05,1.54925213744e-05,1.93782100719e-05
EVR,3.78937419946e-05,4.91525762851e-05,1.84003530477e-05,2.27083546745e-05,7.43570163523e-05,1.65309043698e-05,1.69296530842e-05,3.15172324216e-05,9.77264555748e-05,3.44970749525e-05,2.74014310057e-05,3.58845269754e-05,3.63379038543e-05,1.6127920149e-05,1.53851547367e-05,0.00020810235975,4.09727818041e-05,2.87112670114e-05,6.78677401972e-05
CELG,2.88046834803e-05,2.10211419768e-05,4.92416169077e-05,2.52963027994e-05,6.79898271131e-05,1.70820776813e-05,2.01668622537e-05,4.4349322247e-05,5.73673449677e-05,4.13446623059e-05,3.3271194404e-05,7.95195117372e-06,-3.75143930128e-07,2.4609115188e-05,3.02544309578e-05,4.09727818041e-05,0.000144861293959,4.13427336394e-05,7.67699681564e-05
MSFT,2.79222619881e-05,1.34883717862e-05,5.73980313615e-05,3.46929493311e-05,3.17079447504e-05,1.95734825494e-05,1.95464675423e-05,6.4842992972e-05,5.70497632604e-05,5.37816259465e-05,4.02506011792e-05,3.73683431032e-06,9.35222277379e-06,7.10971808835e-06,1.54925213744e-05,2.87112670114e-05,4.13427336394e-05,7.43819342216e-05,8.78787963065e-05
LRCX,4.54663793914e-05,1.9851129266e-05,9.67868064146e-05,5.43371897141e-05,8.11143915091e-05,2.61532613554e-05,2.95873828009e-05,0.000114015379094,0.000100010690824,0.000100353046176,6.13501467309e-05,1.88835762739e-05,4.03768238989e-06,6.60340702736e-06,1.93782100719e-05,6.78677401972e-05,7.67699681564e-05,8.78787963065e-05,0.000275910488217
