,agg,spy,shy
agg,3.11943608893e-06,-2.33970268e-06,8.23018168121e-07
spy,-2.33970268e-06,2.29465168071e-05,-6.73844973612e-07
shy,8.23018168121e-07,-6.73844973612e-07,3.24538032637e-07
