curr_date,spy,iwm,mdy
2017-03-01,0.0139974831314,0.0182821029681,0.0167164842469
2017-03-02,-0.0062973522872,-0.01147051146,-0.0115654283873
2017-03-03,0.000629591013457,-0.000720763963964,0.000980323822085
2017-03-06,-0.00297803622614,-0.00685176372961,-0.0065396897815
2017-03-07,-0.00298679914583,-0.00653590428183,-0.00511984050779
2017-03-08,-0.00185650952432,-0.00657901301362,-0.00527407373615
2017-03-09,0.00126815122556,-0.00397345860074,-0.00379184754016
2017-03-10,0.00350422631376,0.00443266840697,0.0049351624227
2017-03-13,0.000504807099114,0.00235357445958,0.0016691350346
2017-03-14,-0.00382662013348,-0.00476954802443,-0.00381325335119
2017-03-15,0.00865348691795,0.015483233227,0.0133813816685
2017-03-16,-0.0019670089378,0.00130696293638,-0.000666651834688
2017-03-17,-0.00175614288931,0.00398812982414,-0.00193750921192
2017-03-20,-0.00109690960616,-0.00433342459675,-0.00346889439415
2017-03-21,-0.0128394959301,-0.0282170315667,-0.0206303832173
2017-03-22,0.00235315977045,0.000223923264732,0.00224988414501
2017-03-23,-0.0010671026937,0.0058208880597,0.00234253655368
2017-03-24,-0.000726382887102,-0.00215161004713,-0.000973734136129
2017-03-27,-0.00102625128815,0.00185887419664,-0.00149454805866
2017-03-28,0.00727677114397,0.00779269675699,0.00751658840096
2017-03-29,0.000934823305804,0.0032403197782,0.00339110545827
2017-03-30,0.00318424317743,0.00756073574281,0.00527878858295
2017-03-31,-0.00232759684468,0.0016028049542,0.000320203630118
2017-04-03,-0.00173924937548,-0.0105469671384,-0.00540939097906
2017-04-04,0.000637377407711,-0.00117624054382,-0.00148045564868
2017-04-05,-0.00297264334942,-0.0113343126273,-0.00767065486311
2017-04-06,0.00281118699158,0.00930544168383,0.00857443850526
2017-04-07,-0.0010194328773,-0.000442528389991,-0.00144917399752
2017-04-10,0.000595278526994,0.00221371746713,0.00264450152986
2017-04-11,-0.00118978010523,0.00795160465571,0.00591828895307
2017-04-12,-0.00438187391721,-0.0135865674326,-0.0122785576606
2017-04-13,-0.00649490769716,-0.00977482278157,-0.0111686049434
2017-04-17,0.00885992762287,0.0117408913271,0.0123424090748
2017-04-18,-0.0029843044514,0.000221849372112,-0.000161658365689
2017-04-19,-0.00183854597186,0.00347314495779,0.00194060217606
2017-04-20,0.00813912209695,0.0127403423609,0.00991060176588
2017-04-21,-0.0031869490029,-0.00225419568778,-0.00252527812972
2017-04-24,0.0109979483268,0.0124625822663,0.0121134406196
2017-04-25,0.00581865716287,0.00971786653783,0.00607926124507
2017-04-26,-0.000628841672496,0.00513296484971,6.29079464988e-05
2017-04-27,0.000838983150896,-0.000283764795951,0.000944135728311
2017-04-28,-0.00217945565367,-0.013409003478,-0.0101235606286
2017-05-01,0.00252019252154,0.00575293406807,0.00311253289288
2017-05-02,0.000377095280235,-0.00507655509026,-0.00155143912918
2017-05-03,-0.00121456848956,-0.00618038833692,-0.00418598026493
2017-05-04,0.00117404685688,-0.00137383042604,-0.00136931728891
2017-05-05,0.00393706390813,0.00644459783731,0.00854616867306
2017-05-08,-0.000166819181906,-0.00417296912825,-0.00426842902252
2017-05-09,-0.000918025178401,-0.00043348022734,-0.00228629801308
2017-05-10,0.00179583974842,0.0062161254984,0.00636537213118
2017-05-11,-0.00204270981593,-0.00696790425418,-0.00616702063882
2017-05-12,-0.00167102503059,-0.00528074344326,-0.00404133333333
2017-05-15,0.0055234398639,0.00778130346089,0.00626235200688
2017-05-16,-0.000915517210679,0.00036082406753,-0.00133362861921
2017-05-17,-0.017744053815,-0.0269783298356,-0.0202212425996
2017-05-18,0.00402849144493,0.003632634025,0.00084374674398
2017-05-19,0.00650415775082,0.0048012555473,0.0103105922637
2017-05-22,0.0050774811936,0.00676319934399,0.0050385332791
2017-05-23,0.00221276991098,0.00328584892192,0.00182002419242
2017-05-24,0.00233286681606,0.000655101920892,0.00280488630091
2017-05-25,0.00477943587641,0.000654571217741,0.00155740260564
2017-05-26,-0.000206763892327,-0.000290805345388,-0.00253875484142
2017-05-30,-0.00086880185382,-0.00785215977145,-0.00318157235329
2017-05-31,-0.000248464066546,-0.00102594161526,0.000191494048651
2017-06-01,0.00795227819138,0.0192927660281,0.0157641225351
2017-06-02,0.00332836276238,0.00647721496532,0.00135085923377
2017-06-05,-0.000737113167168,-0.00622102225723,-0.00407852180707
2017-06-06,-0.00319686644053,-0.000935314460651,-0.0036857768165
2017-06-07,0.00185024556986,0.000936190092783,-0.000505909525295
2017-06-08,0.000492456649589,0.0136710969541,0.00879450233121
2017-06-09,-0.00151773242452,0.00518168635783,0.00360624022674
2017-06-12,-0.000205428675649,-0.00162415082534,0.00106235467579
2017-06-13,0.00488993319103,0.00509266497763,0.00646109921872
2017-06-14,-0.00126765021935,-0.00591140720993,-0.00440382368477
2017-06-15,-0.00192433497464,-0.005096998623,-0.00473472574132
2017-06-16,0.000218464753661,-0.00249033027915,-0.00162755464218
2017-06-19,0.00832509159516,0.0074184605547,0.00601904153795
2017-06-20,-0.00674409025658,-0.0101252782022,-0.011062350677
2017-06-21,-0.000246921185444,-0.00250361940264,-0.005797819785
2017-06-22,-0.00045274411388,0.00380063830335,0.00136290255766
2017-06-23,0.00119422716842,0.00664386359891,0.00417780329124
2017-06-26,0.00065802263683,0.00120642960169,0.00390840937685
2017-06-27,-0.0080561509552,-0.00878938178637,-0.00822578543136
2017-06-28,0.0089504188129,0.0153032040991,0.0113962924722
2017-06-29,-0.0087888980599,-0.00591630528008,-0.00651033229554
