,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,2.26434073493e-05,2.09397440533e-05,2.7681240808e-05,2.21412511057e-05,2.95279900204e-05,1.55156384531e-05,1.53611458434e-05,3.50246342176e-05,3.78983344152e-05,2.91888799175e-05,2.90590477282e-05,1.5956655963e-05,1.4291029748e-05,1.16226875387e-05,1.2913139836e-05,3.83429835698e-05,2.87688672729e-05,2.77575982576e-05,4.50857436848e-05
HSBC,2.09397440533e-05,8.47819080094e-05,8.50125315364e-06,1.10287850159e-05,2.75550546632e-05,5.25717764469e-06,6.74581364331e-06,-9.54709685419e-06,4.14647983269e-05,1.25196896628e-05,2.61346266128e-05,1.49304876333e-05,2.14489751793e-05,-3.34315880355e-07,1.07332052251e-05,5.49060435169e-05,2.29233755994e-05,1.62110192588e-05,2.64075834357e-05
GOOGL,2.7681240808e-05,8.50125315364e-06,9.82873440135e-05,2.64765154484e-05,2.5647271685e-05,2.33613506419e-05,1.93400157699e-05,6.37823074891e-05,2.48277219867e-05,7.1790112995e-05,3.70783747157e-05,-1.77602795678e-07,2.8677335304e-06,8.52029788663e-06,1.62690102827e-05,1.64697242521e-05,4.84073597536e-05,5.67608774945e-05,9.39668532182e-05
INTC,2.21412511057e-05,1.10287850159e-05,2.64765154484e-05,8.14230614013e-05,1.88358597215e-05,2.43184644365e-05,2.19418611014e-05,5.16970653776e-05,2.57062983014e-05,3.97428361888e-05,3.07985016542e-05,1.7743917759e-05,2.14559216229e-05,1.33453499502e-05,9.12829102016e-06,2.2028835262e-05,2.49708243218e-05,3.51033761972e-05,5.4396510378e-05
LPX,2.95279900204e-05,2.75550546632e-05,2.5647271685e-05,1.88358597215e-05,0.000186091834909,8.85484086312e-06,1.21769436736e-05,3.98134114439e-05,7.30649862815e-05,3.24955135955e-05,3.82681002963e-05,1.01802894421e-05,1.21055293865e-05,1.73866498961e-05,1.79225763164e-05,7.69642842813e-05,6.7467632485e-05,3.11373108936e-05,8.18541665626e-05
RTN,1.55156384531e-05,5.25717764469e-06,2.33613506419e-05,2.43184644365e-05,8.85484086312e-06,5.60438893521e-05,3.86727130784e-05,2.5843309136e-05,3.61031879984e-06,1.95283788089e-05,2.96994271164e-05,8.63016087368e-06,4.69104127774e-06,7.6826165202e-06,1.26777736011e-05,1.70909321625e-05,1.74383259837e-05,1.98748894858e-05,2.72715399012e-05
LMT,1.53611458434e-05,6.74581364331e-06,1.93400157699e-05,2.19418611014e-05,1.21769436736e-05,3.86727130784e-05,4.75046072609e-05,2.79468247412e-05,3.37558208517e-06,1.56124815928e-05,2.54075254551e-05,9.67510153993e-06,3.40169321601e-06,4.61605622353e-06,1.13069775776e-05,1.87352281742e-05,2.01911971051e-05,1.90462161335e-05,2.87892798685e-05
MASI,3.50246342176e-05,-9.54709685419e-06,6.37823074891e-05,5.16970653776e-05,3.98134114439e-05,2.5843309136e-05,2.79468247412e-05,0.000392517182332,6.47015882302e-05,7.92504782003e-05,4.21576830203e-05,1.28615737111e-05,1.75564652688e-05,1.36102638525e-05,9.43846627403e-06,3.20997519444e-05,4.37325914606e-05,6.40549074341e-05,0.000112502072919
THO,3.78983344152e-05,4.14647983269e-05,2.48277219867e-05,2.57062983014e-05,7.30649862815e-05,3.61031879984e-06,3.37558208517e-06,6.47015882302e-05,0.000343029730604,4.17800096655e-05,3.78281242217e-05,3.01469174727e-05,3.23367557946e-05,2.57386012989e-05,1.08582368233e-05,9.74661673998e-05,5.57887317796e-05,5.59280296324e-05,9.8893215903e-05
FB,2.91888799175e-05,1.25196896628e-05,7.1790112995e-05,3.97428361888e-05,3.24955135955e-05,1.95283788089e-05,1.56124815928e-05,7.92504782003e-05,4.17800096655e-05,9.60318030793e-05,2.98684037673e-05,1.65256088209e-05,6.93335863176e-06,1.51984351361e-05,1.3037935898e-05,3.15521733691e-05,4.06247856564e-05,5.38963957009e-05,9.68623051134e-05
