Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2016-04-28,94.830002,602.0,14.79,30.110001,46.389999,27.23,247.710007
2016-04-29,93.739998,659.590027,14.56,29.66,46.349998,27.059999,240.759995
2016-05-02,93.639999,683.849976,14.77,29.610001,46.744999,27.26,241.800003
2016-05-03,95.18,671.320007,14.36,29.67,46.825001,26.889999,232.320007
2016-05-04,94.190002,670.900024,14.13,29.41,46.945,26.280001,222.559998
2016-05-05,93.239998,659.090027,14.05,29.360001,47.560001,26.17,211.529999
2016-05-06,92.720001,673.950012,14.11,29.709999,48.419998,26.25,214.929993
2016-05-09,92.790001,679.75,13.99,29.809999,48.540001,26.1,208.919998
2016-05-10,93.419998,703.070007,14.3,30.15,48.965,26.629999,208.690002
2016-05-11,92.510002,713.22998,14.2,29.959999,48.365002,26.360001,208.960007
2016-05-12,90.339996,717.929993,14.14,31.48,48.685001,26.23,207.279999
2016-05-13,90.519997,709.919983,13.88,31.530001,48.275002,25.889999,207.610001
2016-05-16,93.879997,710.659973,13.93,31.49,48.23,26.209999,208.289993
2016-05-17,93.489998,695.27002,14.01,31.190001,47.794998,26.16,204.660004
2016-05-18,94.559998,697.450012,14.69,31.360001,48.490002,27.24,211.169998
2016-05-19,94.199997,698.52002,14.53,31.190001,49.544998,26.610001,215.210007
2016-05-20,95.220001,702.799988,14.52,31.309999,48.240002,26.77,220.279999
2016-05-23,96.43,696.75,14.47,31.049999,48.880001,26.83,216.220001
2016-05-24,97.900002,704.200012,14.68,31.459999,48.945,27.41,217.910004
2016-05-25,99.620003,708.349976,14.92,31.780001,48.674999,27.780001,219.580002
2016-05-26,100.410004,714.909973,14.7,32.02,49.095001,27.42,225.119995
2016-05-27,100.349998,712.23999,14.88,32.07,49.084999,27.530001,223.039993
2016-05-31,99.860001,722.789978,14.79,32.32,49.240002,27.370001,223.229996
2016-06-01,98.459999,719.440002,14.86,32.48,49.470001,27.49,219.559998
2016-06-02,97.720001,728.23999,14.94,32.799999,49.615002,27.280001,218.960007
2016-06-03,97.919998,725.539978,14.42,32.580002,49.439999,26.540001,218.990005
2016-06-06,98.629997,726.72998,14.52,32.709999,49.305,26.85,220.679993
2016-06-07,99.029999,723.73999,14.35,32.740002,49.564999,26.52,232.339996
2016-06-08,98.940002,726.640015,14.43,33.09,49.435001,26.540001,235.520004
2016-06-09,99.650002,727.650024,14.19,32.93,49.915001,26.08,229.360001
2016-06-10,98.830002,717.909973,13.83,32.990002,49.939999,25.540001,218.789993
2016-06-13,97.339996,715.23999,13.6,32.759998,49.57,25.26,217.869995
2016-06-14,97.459999,719.299988,13.26,32.549999,49.845001,24.6,214.960007
2016-06-15,97.139999,714.26001,13.34,32.639999,49.450001,24.719999,217.699997
2016-06-16,97.550003,717.51001,13.31,32.98,49.700001,25.07,217.929993
2016-06-17,95.330002,706.390015,13.4,32.709999,49.285,25.309999,215.470001
2016-06-20,95.099998,714.01001,13.54,33.040001,49.619999,25.9,219.699997
2016-06-21,95.910004,715.820007,13.62,33.099998,49.834999,26.200001,219.610001
2016-06-22,95.550003,710.599976,13.61,33.220001,50.119999,26.389999,196.660004
2016-06-23,96.099998,722.080017,14.04,33.580002,50.255001,27.290001,196.399994
2016-06-24,93.400002,698.960022,13.0,32.0,49.09,24.52,193.149994
2016-06-27,92.040001,691.359985,12.18,31.26,49.369999,23.610001,198.550003
2016-06-28,93.589996,707.950012,12.7,31.620001,49.990002,24.610001,201.789993
2016-06-29,94.400002,715.599976,13.19,32.25,49.959999,25.23,210.190002
2016-06-30,95.599998,715.619995,13.27,32.830002,51.445,25.98,212.279999
2016-07-01,95.889999,725.679993,13.1,32.779999,51.154999,25.92,216.5
2016-07-05,94.989998,728.099976,12.74,32.830002,51.669998,25.0,213.979996
2016-07-06,95.529999,737.609985,12.86,32.990002,50.654999,25.15,214.440002
2016-07-07,95.940002,736.570007,13.01,33.130001,50.330002,25.690001,215.940002
2016-07-08,96.68,745.809998,13.17,33.77,50.650002,26.370001,216.779999
2016-07-11,96.980003,753.780029,13.21,34.029999,50.845001,26.459999,224.779999
2016-07-12,97.419998,748.210022,13.54,34.299999,49.785,27.370001,224.649994
2016-07-13,96.870003,742.630005,13.44,34.34,49.990002,27.16,222.529999
2016-07-14,98.790001,741.200012,13.65,34.23,49.98,28.0,221.529999
2016-07-15,98.779999,735.440002,13.66,34.169998,50.145,28.01,220.399994
2016-07-18,99.830002,736.070007,14.11,34.18,49.919998,28.209999,226.25
2016-07-19,99.870003,739.950012,14.26,33.970001,50.360001,28.190001,225.259995
2016-07-20,99.959999,745.719971,14.4,34.27,49.810001,28.780001,228.360001
