,ZION,ZBH,YUM,XRX,XYL,ZTS
ZION,0.000191094247808,2.68802640035e-05,9.87533682184e-06,6.89903977781e-05,3.57797973772e-05,1.52888529133e-05
ZBH,2.68802640035e-05,0.000115401808027,6.36547901982e-06,1.52600620482e-05,1.8749664729e-05,1.28309138819e-05
YUM,9.87533682184e-06,6.36547901982e-06,5.85643403499e-05,1.24894256043e-05,1.67645198357e-05,1.60448603131e-05
XRX,6.89903977781e-05,1.52600620482e-05,1.24894256043e-05,0.000146914239564,3.97507489637e-05,7.93197680228e-06
XYL,3.57797973772e-05,1.8749664729e-05,1.67645198357e-05,3.97507489637e-05,9.84561386254e-05,2.9504762161e-05
ZTS,1.52888529133e-05,1.28309138819e-05,1.60448603131e-05,7.93197680228e-06,2.9504762161e-05,8.70686096723e-05
