Date,BAC,C,JPM,MS
2014-06-20,14.768747,46.278946,52.489365,30.410688
2014-06-23,14.950368,46.982815,53.073093,30.627304
2014-06-24,14.806982,46.738422,52.370796,30.165821
2014-06-25,14.787867,46.748188,52.471127,30.354183
2014-06-26,14.730511,46.171421,52.343437,30.03397
2014-06-27,14.654038,46.083439,52.471127,29.713755
2014-06-30,14.692275,46.044331,52.553215,30.44836
2014-07-01,14.912132,46.396267,52.874668,30.438938
2014-07-02,15.151109,46.933945,52.323605,30.599054
2014-07-03,15.323174,47.158779,52.397076,30.721483
2014-07-07,15.237141,46.904602,52.048073,30.504869
2014-07-08,14.893015,46.357162,51.212296,29.902119
2014-07-09,14.912132,46.31805,51.45108,30.146986
2014-07-10,14.759188,45.848812,51.028614,29.836193
2014-07-11,14.701834,45.946571,51.249027,29.581903
2014-07-14,14.883457,47.334751,51.699066,29.958626
2014-07-15,15.112873,48.185249,53.517567,30.137569
2014-07-16,14.826102,48.703369,53.921696,30.608473
2014-07-17,14.52977,48.077713,53.141018,30.420107
2014-07-18,14.806982,48.449196,53.480846,30.740318
2014-07-21,14.83566,48.2439,53.490025,30.655556
2014-07-22,14.83566,48.488293,53.884953,30.994604
2014-07-23,14.83566,49.055298,54.188038,31.408998
2014-07-24,14.931252,48.967316,54.344181,31.456085
2014-07-25,14.902574,48.908661,54.197227,31.305405
2014-07-28,14.816544,48.58606,54.362545,31.14529
2014-07-29,14.663599,48.312328,53.857399,30.843006
2014-07-30,14.893015,48.879337,54.105389,31.494814
2014-07-31,14.577569,47.823326,52.966507,30.550163
2014-08-01,14.319472,47.031315,51.873566,29.851114
2014-08-04,14.386385,47.265995,52.029713,30.068384
2014-08-05,14.338591,46.825989,51.487827,29.671631
2014-08-06,14.52977,47.070438,51.643955,29.813326
2014-08-07,14.453299,46.992214,51.350052,29.624399
2014-08-08,14.52977,47.37355,51.744984,30.181744
2014-08-11,14.54889,47.31488,51.726616,30.304548
2014-08-12,14.53933,47.36377,51.754169,30.23842
2014-08-13,14.577569,47.666882,52.093998,30.247868
2014-08-14,14.64448,48.038441,52.33279,30.389565
2014-08-15,14.54889,47.637554,52.121548,30.4368
2014-08-18,14.768747,48.409996,52.562397,30.805222
2014-08-19,14.768747,48.595772,52.865482,30.729639
2014-08-20,14.83566,48.693558,52.938961,30.739092
2014-08-21,15.44744,49.935341,53.728825,31.201967
2014-08-22,15.418765,49.798447,53.719643,31.617617
2014-08-25,15.571709,50.482899,54.500309,32.307224
2014-08-26,15.609945,50.971783,54.867687,32.496155
2014-08-27,15.485678,50.707787,54.729923,32.241093
2014-08-28,15.304054,50.248226,54.334988,32.174969
2014-08-29,15.380527,50.502453,54.601337,32.411137
2014-09-02,15.552589,50.805565,54.803391,32.637848
2014-09-03,15.43753,51.069557,54.830948,32.647289
2014-09-04,15.447117,51.30423,54.84013,32.779549
2014-09-05,15.36082,51.138008,55.023823,32.713417
2014-09-08,15.677241,50.893559,55.005447,32.930691
2014-09-09,15.475882,50.121109,54.243153,32.033268
2014-09-10,15.686834,50.678455,54.390102,32.430027
2014-09-11,15.888185,51.069557,54.886051,32.80788
2014-09-12,16.099138,51.216232,55.134037,33.072388
2014-09-15,16.051191,51.147781,55.051376,33.261314
2014-09-16,16.022425,51.196671,55.097301,33.166855
2014-09-17,16.079962,51.226002,55.391201,33.591953
2014-09-18,16.338852,52.467785,56.318821,34.130402
2014-09-19,16.25255,52.291782,56.125957,33.780876
2014-09-22,16.32926,51.861572,55.942261,33.232986
2014-09-23,16.348438,51.666004,55.969814,33.081833
2014-09-24,16.473091,52.076679,56.603535,33.044048
2014-09-25,16.156666,50.805565,55.244247,32.326107
2014-09-26,16.32926,51.323792,55.620811,32.732319
2014-09-29,16.310085,50.893559,55.409573,32.590618
2014-09-30,16.348438,50.668671,55.326912,32.656742
2014-10-01,16.127903,49.964664,54.895241,32.080502
2014-10-02,16.185431,50.11134,54.405193,32.382793
2014-10-03,16.578566,51.157566,55.755146,33.110172
2014-10-06,16.578566,51.118454,55.644192,33.053501
2014-10-07,16.185431,50.130894,54.802776,32.13718
2014-10-08,16.41556,51.372673,55.847618,32.590618
2014-10-09,15.907365,50.00378,54.627113,31.457029
2014-10-10,15.801894,48.99667,54.109306,31.116957
2014-10-13,15.725182,48.79134,53.77644,31.031935
2014-10-14,15.840245,50.326458,53.619251,31.183075
2014-10-15,15.111519,48.576214,51.344666,30.805222
2014-10-16,15.418352,48.644661,50.928585,30.729639
2014-10-17,15.543001,48.957554,51.964169,31.381456
2014-10-20,15.590945,49.407333,52.361755,31.475924
2014-10-21,15.916957,50.130894,53.56377,32.174969
2014-10-22,15.725182,49.573559,53.119953,31.579838
2014-10-23,15.916957,50.267776,53.683983,32.080502
2014-10-24,16.032019,50.64912,54.312733,32.420582
2014-10-27,15.907365,50.443783,54.220264,32.080502
2014-10-28,16.108725,51.274895,55.135647,32.458363
2014-10-29,16.290903,51.480236,54.82127,32.581532
2014-10-30,16.32926,51.978996,54.913727,32.704689
2014-10-31,16.453913,52.350628,55.921577,33.112083
2014-11-03,16.559385,52.291943,56.291435,32.884701
2014-11-04,16.501854,52.018108,55.708916,32.83733
2014-11-05,16.626503,52.829826,56.541088,33.064709
2014-11-06,16.645683,52.800495,56.615047,33.453148
2014-11-07,16.645683,52.565777,56.836964,33.784744
2014-11-10,16.655272,52.702698,57.262295,33.993176
2014-11-11,16.607328,52.624462,56.744499,33.907906
2014-11-12,16.578566,52.243038,55.995556,34.078442
2014-11-13,16.511442,52.262611,55.690426,33.955269
