,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,1.0,0.632500104954,0.604518584205,0.646993385125,0.564281503941,0.518220832997,0.531819984184,0.425289809748,0.548663369321,0.573688611379,0.7039185482,0.522105917685,0.603532732253,0.612129774404,0.639503907832,0.642586017923,0.596777288108,0.6836061176,0.622044488898
HSBC,0.632500104954,1.0,0.318463956635,0.428595361632,0.359542387083,0.234273463006,0.264424345247,0.219099397932,0.393825711432,0.324175047696,0.459085721682,0.25400268276,0.561422516881,0.330067923631,0.279306806454,0.547402619599,0.338351109388,0.450615899803,0.383268734592
GOOGL,0.604518584205,0.318463956635,1.0,0.365282341082,0.321040964916,0.28512437827,0.294031763752,0.348372925836,0.281755915278,0.627892974217,0.390875768531,0.274137599625,0.203504858354,0.361922924698,0.382804824075,0.303030522748,0.374086885974,0.601794479581,0.405033037964
INTC,0.646993385125,0.428595361632,0.365282341082,1.0,0.372014868076,0.351493473107,0.30903406194,0.22687672011,0.326284665797,0.36065567185,0.448770350818,0.331388965595,0.436960142669,0.403505243499,0.402294782118,0.374518127887,0.353787661289,0.541810489235,0.541693975333
LPX,0.564281503941,0.359542387083,0.321040964916,0.372014868076,1.0,0.232879770296,0.250333942208,0.273647093131,0.407740055951,0.338395948529,0.479519995936,0.245791995029,0.350746419327,0.287860658833,0.29776385759,0.424391194729,0.33728765089,0.412561530418,0.415995492737
RTN,0.518220832997,0.234273463006,0.28512437827,0.351493473107,0.232879770296,1.0,0.692617845562,0.1904885552,0.245166647848,0.322035709671,0.461014501403,0.293570171227,0.207307477108,0.407592603624,0.441635528408,0.279475229329,0.32762505552,0.356312503476,0.315821550341
LMT,0.531819984184,0.264424345247,0.294031763752,0.30903406194,0.250333942208,0.692617845562,1.0,0.205698153066,0.257767080496,0.276884019808,0.374258232121,0.31861240727,0.218717717041,0.413504781391,0.415615888719,0.307309184875,0.369114457802,0.319555657967,0.282710214404
MASI,0.425289809748,0.219099397932,0.348372925836,0.22687672011,0.273647093131,0.1904885552,0.205698153066,1.0,0.280066780388,0.266756974368,0.322424671202,0.171121126709,0.160928738045,0.22905633519,0.305060265446,0.281149887666,0.333435987762,0.289354492056,0.329860165833
THO,0.548663369321,0.393825711432,0.281755915278,0.326284665797,0.407740055951,0.245166647848,0.257767080496,0.280066780388,1.0,0.310601324701,0.454216291122,0.287553494845,0.319297728589,0.269200669333,0.261414451401,0.44168609124,0.304297220589,0.368006910371,0.369860608205
FB,0.573688611379,0.324175047696,0.627892974217,0.36065567185,0.338395948529,0.322035709671,0.276884019808,0.266756974368,0.310601324701,1.0,0.445290264649,0.241802105592,0.243560714019,0.294241931417,0.337375054118,0.318868712963,0.32635546424,0.496595193795,0.425855330306
AOS,0.7039185482,0.459085721682,0.390875768531,0.448770350818,0.479519995936,0.461014501403,0.374258232121,0.322424671202,0.454216291122,0.445290264649,1.0,0.308885776307,0.382062416729,0.404483301017,0.438283385332,0.499490146648,0.415790494667,0.480436855561,0.460363391604
T,0.522105917685,0.25400268276,0.274137599625,0.331388965595,0.245791995029,0.293570171227,0.31861240727,0.171121126709,0.287553494845,0.241802105592,0.308885776307,1.0,0.338435651521,0.343870336618,0.408668303694,0.247720574965,0.225814752214,0.31690971649,0.257208639353
BP,0.603532732253,0.561422516881,0.203504858354,0.436960142669,0.350746419327,0.207307477108,0.218717717041,0.160928738045,0.319297728589,0.243560714019,0.382062416729,0.338435651521,1.0,0.327783826815,0.326642855201,0.405789022357,0.280845838503,0.344794530434,0.341774340877
MRK,0.612129774404,0.330067923631,0.361922924698,0.403505243499,0.287860658833,0.407592603624,0.413504781391,0.22905633519,0.269200669333,0.294241931417,0.404483301017,0.343870336618,0.327783826815,1.0,0.548278806402,0.33645901119,0.508289641185,0.394163248568,0.328523348035
JNJ,0.639503907832,0.279306806454,0.382804824075,0.402294782118,0.29776385759,0.441635528408,0.415615888719,0.305060265446,0.261414451401,0.337375054118,0.438283385332,0.408668303694,0.326642855201,0.548278806402,1.0,0.294111971188,0.509821042326,0.418252145125,0.349754783992
EVR,0.642586017923,0.547402619599,0.303030522748,0.374518127887,0.424391194729,0.279475229329,0.307309184875,0.281149887666,0.44168609124,0.318868712963,0.499490146648,0.247720574965,0.405789022357,0.33645901119,0.294111971188,1.0,0.370076870608,0.392372454592,0.394986402329
CELG,0.596777288108,0.338351109388,0.374086885974,0.353787661289,0.33728765089,0.32762505552,0.369114457802,0.333435987762,0.304297220589,0.32635546424,0.415790494667,0.225814752214,0.280845838503,0.508289641185,0.509821042326,0.370076870608,1.0,0.394757063506,0.393238833817
MSFT,0.6836061176,0.450615899803,0.601794479581,0.541810489235,0.412561530418,0.356312503476,0.319555657967,0.289354492056,0.368006910371,0.496595193795,0.480436855561,0.31690971649,0.344794530434,0.394163248568,0.418252145125,0.392372454592,0.394757063506,1.0,0.505279102564
LRCX,0.622044488898,0.383268734592,0.405033037964,0.541693975333,0.415995492737,0.315821550341,0.282710214404,0.329860165833,0.369860608205,0.425855330306,0.460363391604,0.257208639353,0.341774340877,0.328523348035,0.349754783992,0.394986402329,0.393238833817,0.505279102564,1.0
