,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
0,0.61,0.0340979061816,0.00118310231685,0.12,0.27,28.8207585227
1,0.47,0.0404737253582,0.00103006070527,0.12,0.41,39.2925631966
2,0.76,0.0227198485229,0.00141596831746,0.19,0.05,16.0454497765
3,0.73,0.0273338260797,0.00133079881723,0.14,0.13,20.5394126639
4,0.07,0.0476480675699,0.0013443999303,0.29,0.64,35.4418848857
5,0.5,0.0150742720229,0.00226822244827,0.49,0.01,6.64585258572
6,0.24,0.0321114480098,0.00188733631247,0.41,0.35,17.0141631874
7,0.02,0.0323874006591,0.00262696463122,0.56,0.42,12.328830116
8,0.62,0.0290956676995,0.0012779836267,0.19,0.19,22.7668548263
9,0.18,0.0121098278099,0.00356007965832,0.76,0.06,3.40156091216
10,0.26,0.0221069710458,0.00253699848513,0.55,0.19,8.7138290288
11,0.42,0.0167689589124,0.00239461684622,0.52,0.06,7.00277329916
12,0.14,0.0490069808081,0.00105768370476,0.22,0.64,46.3342496321
13,0.02,0.0531728764376,0.00112420534086,0.24,0.74,47.2981887785
14,0.2,0.0534194941741,0.000760794536659,0.11,0.69,70.2154019254
15,0.08,0.0445944674421,0.00152463089691,0.33,0.59,29.2493530942
16,0.03,0.042974269011,0.00180899529726,0.39,0.58,23.7558765775
17,0.27,0.0417874850508,0.00117620887187,0.24,0.49,35.52726565
18,0.02,0.00705510205401,0.00453735571434,0.95,0.03,1.55489287113
19,0.4,0.0131329673968,0.00271694637678,0.59,0.01,4.83372344374
20,0.59,0.022667361249,0.00157919019824,0.31,0.1,14.3537879568
21,0.65,0.0316266974416,0.0012340567286,0.13,0.22,25.6282362947
22,0.51,0.0230629559024,0.0017256524268,0.36,0.13,13.3647747045
23,0.03,0.0176419704059,0.0036983778335,0.78,0.19,4.77019147316
24,0.72,0.0232424189086,0.00140934001085,0.21,0.07,16.4917044359
25,0.41,0.0139766439775,0.00262393187795,0.57,0.02,5.32660321517
26,0.96,0.0240042733026,0.00166624764307,0.03,0.01,14.4061859007
27,0.33,0.0293117993467,0.00180516844479,0.39,0.28,16.2377086921
28,0.52,0.0407948315532,0.00107088740126,0.08,0.4,38.0944173078
29,0.03,0.0130951475793,0.00404206929714,0.85,0.12,3.23971377447
30,0.09,0.014259930355,0.00372968368319,0.79,0.12,3.82336186289
31,0.21,0.0380245178028,0.00157222367603,0.34,0.45,24.1851833061
32,0.8,0.0280431931998,0.00141195156051,0.08,0.12,19.8612997671
33,0.48,0.0192328339242,0.00204720923622,0.44,0.08,9.39465960973
34,0.27,0.0203524631541,0.00263062791264,0.57,0.16,7.73673200088
35,0.11,0.0640136962542,0.00065814372923,0.01,0.88,97.2640069504
36,0.71,0.023048288446,0.00141944022063,0.22,0.07,16.2375900803
37,0.07,0.0482976136879,0.00130001494822,0.28,0.65,37.1515833368
38,0.6,0.017665122767,0.00183828070001,0.38,0.02,9.60958942061
39,0.4,0.0404139043561,0.00104344336234,0.17,0.43,38.7312870202
40,0.05,0.0440120760543,0.00166547973781,0.36,0.59,26.4260651481
41,0.39,0.0161865675246,0.00253139340893,0.55,0.06,6.39433106981
42,0.34,0.0152159152116,0.00276656763641,0.6,0.06,5.49992525443
43,0.47,0.0248846185243,0.00171170266516,0.36,0.17,14.5379329196
44,0.41,0.0276171124572,0.00169374987014,0.36,0.23,16.3053074979
45,0.23,0.029968679193,0.00207091302349,0.45,0.32,14.4712399087
46,0.53,0.0416385081338,0.00109043369752,0.06,0.41,38.1852727302
47,0.59,0.0298123685479,0.00127014510172,0.2,0.21,23.4716242321
48,0.52,0.0414443776712,0.00107346780856,0.07,0.41,38.6079371368
49,0.23,0.0208750335399,0.00273030203787,0.59,0.18,7.64568653958
50,0.61,0.0405933673624,0.00123235954598,0.02,0.37,32.9395487662
51,0.02,0.0116019248806,0.00419280317914,0.88,0.1,2.76710458013
52,0.08,0.0127667076562,0.0038795139337,0.82,0.1,3.29080082566
53,0.49,0.0239737872134,0.00171848245661,0.36,0.15,13.9505568539
54,0.32,0.0330149455926,0.00158880133506,0.34,0.34,20.7797821314
55,0.08,0.0218603533093,0.00319505263349,0.68,0.24,6.84193840195
56,0.54,0.0223462550541,0.00169887037919,0.35,0.11,13.153596253
57,0.12,0.0466700815287,0.001259373269,0.27,0.61,37.0581801896
58,0.29,0.0324325542048,0.00171247475273,0.37,0.34,18.9389970001
59,0.34,0.0463941288794,0.00089979014999,0.12,0.54,51.561054408
60,0.15,0.00957879806786,0.00386011777781,0.82,0.03,2.48147818777
61,0.31,0.0484099219639,0.000858469412973,0.11,0.58,56.3909688946
62,0.46,0.0207932113532,0.00200028917672,0.43,0.11,10.3951026657
63,0.03,0.0611615603172,0.00064804486029,0.11,0.86,94.3785902257
64,0.34,0.0528895900602,0.000900841006809,0.02,0.64,58.7113482406
65,0.32,0.0369122223011,0.00134582807568,0.28,0.4,27.4271453896
66,0.61,0.0269528988827,0.00135554623931,0.23,0.16,19.8834227126
67,0.3,0.0183366700696,0.00267523956495,0.58,0.12,6.85421608961
68,0.7,0.019606427393,0.00155754345322,0.28,0.02,12.5880452019
69,0.56,0.0279308849239,0.00137121665228,0.25,0.19,20.3694178286
70,0.18,0.0471853181862,0.00106932801765,0.22,0.6,44.1261403492
71,0.41,0.0373603042283,0.00115298217005,0.21,0.38,32.4031933875
72,0.44,0.0418399723246,0.000998806798901,0.12,0.44,41.8899554655
73,0.37,0.0229433138983,0.00211996995789,0.46,0.17,10.8224712397
74,0.37,0.0203451294259,0.00230124913788,0.5,0.13,8.84090691921
75,0.4,0.0202779746957,0.00221228095885,0.48,0.12,9.16609376155
76,0.23,0.0260714024845,0.00235102535058,0.51,0.26,11.0893753137
77,0.39,0.0298270360043,0.00160632858853,0.34,0.27,18.5684524432
78,0.08,0.0445944674421,0.00152463089691,0.33,0.59,29.2493530942
79,0.01,0.0373896391411,0.00229079917126,0.49,0.5,16.3216573544
80,0.05,0.0647975518328,0.000573861222112,0.04,0.91,112.915020803
81,0.14,0.0619979031697,0.000675779939451,0.02,0.84,91.7427398334
82,0.35,0.0452891671058,0.000923720272023,0.13,0.52,49.0290929814
83,0.24,0.0243168945929,0.00244438800834,0.53,0.23,9.94805019084
84,0.37,0.0476260663853,0.000899513418575,0.08,0.55,52.9464768416
85,0.1,0.0488800050758,0.00117219625063,0.25,0.65,41.6995064174
86,0.3,0.0196357623058,0.00258098374389,0.56,0.14,7.60785973655
87,0.07,0.0521948903964,0.00104364562075,0.22,0.71,50.0120820313
88,0.32,0.0245708460576,0.00216269288557,0.47,0.21,11.3612275795
