curr_date,THO,FB,ALGN,MRK,CELG,MSFT
2017-03-01,0.0246345998108,0.0138704817552,0.0104126117086,0.0051617027365,0.0015382964693,0.0150048150058
2017-03-02,0.00149712567065,-0.00480281625386,0.0027930366408,-0.00196342793077,-0.0118027407875,-0.0143209707699
2017-03-03,0.00193463023796,0.00299797466357,-0.000768363404676,0.00756673415198,0.0116165414204,0.0037493269402
2017-03-06,0.0129892406603,0.00182255597904,-0.0124952228711,-0.00165225204934,-0.00113219307352,0.000311321420711
2017-03-07,-0.0988563370622,-0.000873198964826,0.00399069503583,-0.00767271810489,-0.011657990892,0.00202271559929
2017-03-08,-0.0246130810235,0.00305898026819,0.00552592330536,-0.00242573227482,0.00786368761691,0.00916140495401
2017-03-09,-0.0217840934516,0.00377580595574,0.0158118008503,0.00136790587533,0.016986313256,-0.0040003959106
2017-03-10,0.00322449684482,0.00397850101351,-0.000379660209001,-0.00440138093938,-0.00903058440895,0.00308965928837
2017-03-13,-0.0225994944208,0.00583624930365,0.0253512913027,-0.0150467419474,0.00346774193548,-0.00338831268662
2017-03-14,-0.00626859396215,-0.0020057234095,-0.00472261329239,0.000779350356736,0.00200916177771,-0.00463598449843
2017-03-15,0.0202689757538,0.00287104493183,0.0263304328341,0.00778817723192,0.0176451475778,0.00527867302759
2017-03-16,0.0022297895803,0.00193246491603,0.00145048502313,-0.00803702394646,-0.00204913308754,-0.00169888153894
2017-03-17,-0.00647249355656,-0.00107156935954,0.0124920520278,-0.00436277402823,-0.00671304675297,0.00355819644509
2017-03-20,-0.00641287737744,0.000715145901463,0.0123379975385,0.00328644620957,0.00588379595811,0.000924913054728
2017-03-21,-0.0343201849342,-0.0102187150176,-0.0191645760179,-0.00311967872391,-0.0212631567265,-0.0110889030089
2017-03-22,0.03808603102,0.00779727845633,0.00837385212271,-0.00641524648022,-0.00363428363754,0.0127705861485
2017-03-23,-0.00418995281167,-0.00042980873787,0.00500049120458,-0.00346460088925,-0.00121587092772,-0.0024603406294
2017-03-24,0.000410523304875,0.00580518172296,0.0117281205226,-0.00158025868935,0.00129845803199,0.00169572329063
2017-03-27,-0.00143629874779,-0.000142432667591,0.001317238922,0.000158234231243,0.0119954938887,0.00184658570621
2017-03-28,0.0177302003906,0.0102621716659,-0.00105240311487,0.0023738444631,-0.00344386510136,0.00291864994796
2017-03-29,-0.0159019660189,0.00627820987155,0.00289728704307,0.00473630117127,-0.00273249216427,0.00275701374053
2017-03-30,-0.00380816290694,-0.00168236950644,-0.00236368723548,-0.00298554845572,0.00201466683906,0.0036657775085
2017-03-31,-0.00681890506648,-0.00252791931668,0.00658125663901,0.00141846387317,0.000723853972136,0.00228274676196
2017-04-03,-0.0170602128837,0.00161911999396,0.014384116593,-0.00110165149038,-0.00305390179217,-0.0047070045745
2017-04-04,-0.0214837225086,-0.00386563820541,-0.00644551386692,0.00315100821904,0.00580406273751,0.00274609364739
2017-04-05,-0.0180618546688,0.000846750888217,-0.00700629697253,-0.00157051543717,-0.00472867687895,-0.0025864713293
2017-04-06,0.00969266852415,-0.00479385245849,0.00339720374398,-0.00519111501779,0.000966363343534,0.00259317851117
2017-04-07,0.00130900611439,-0.00276261957587,-0.00390662377105,-0.00173940645188,0.0102976586412,-0.000760725051855
2017-04-10,-0.00457558117989,0.00184681063963,-8.71099893169e-05,-0.00918740960382,0.00270740559472,-0.0022838971909
2017-04-11,0.00623835038453,-0.00794097458584,0.00191749319487,0.000479629867451,-0.00682973327239,-0.000762923480315
2017-04-12,-0.0270829856195,-0.0024299314241,-0.00730749040385,0.00751038817402,0.000719686561965,-0.00381800856221
2017-04-13,-0.000447044905107,-0.0013612480103,-0.00333010250346,-0.00697857642326,-0.00559332791701,-0.0042925536551
2017-04-17,0.0130857627862,0.0145634479845,0.012749467702,0.00303461507315,0.00498194467614,0.00816022347293
2017-04-18,0.00198718696539,-0.00325265879299,0.00989755165827,-0.00843951916512,-0.0164707603742,-0.00137445281763
2017-04-19,0.00385626354822,0.00929339482794,0.0105743036451,0.00594188768892,-0.000731680339295,-0.00535250080559
2017-04-20,0.0132806757747,0.0107541924298,0.0112292638563,-0.00143675747519,0.00284737232098,0.00707248645308
2017-04-21,-0.00563256725698,-0.000834561874105,-0.00361740547781,-0.0105516299865,-0.0081933562471,0.0137404712836
2017-04-24,0.032897566692,0.0124582968208,0.0160418268146,0.00403945731478,0.0072795680144,0.0170180974669
2017-04-25,0.0183506042415,0.00701178244991,-0.0129632462344,0.00257483861539,0.0192447824727,0.00577516297375
2017-04-26,0.00807786243369,0.000477800516151,0.00808216036439,0.00642056462077,-0.00254939457973,-0.00132495714217
2017-04-27,0.00174649800726,0.00777837756248,0.00292298317894,-0.0019138488235,-0.00982424943668,0.00648667391835
2017-04-28,-0.0136396973664,0.0172647464576,0.120992584595,-0.00399491837368,0.000645333543234,0.00278300889481
2017-05-01,0.000831861407914,0.0147088652246,-0.0069826328548,0.000802237187231,8.05723479103e-05,0.0138768693284
2017-05-02,-0.0201538453362,0.00209885862067,0.0032914573836,0.0051297989759,-0.00193453170941,-0.00158480865455
2017-05-03,-0.00254446772235,-0.00641442601397,-0.0160303763805,0.0148325670731,-0.00314973348409,-0.00317464851955
2017-05-04,-0.0123299617756,-0.00625821463258,0.0751685831994,-0.00392899561289,0.00834480272219,-0.00390849070159
2017-05-05,0.00247523571358,-0.00404375853986,-0.0272041724378,0.00930890543031,-0.0164711153501,0.00276116855888
2017-05-08,-0.0146001165193,0.00545788719855,-0.00746213871957,0.000625374254245,-0.0330855556544,-0.000869435170906
