,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,6.44828434295e-05,7.06626854468e-05,6.92135064115e-05,6.9487053928e-05,8.58060586965e-05,4.53465127806e-05,4.15977682935e-05,6.01849639074e-05,7.31079589579e-05,7.17275720471e-05,8.24918711865e-05,4.00549110729e-05,7.7949781311e-05,6.07838103951e-05,4.47281420547e-05,9.23927195268e-05,9.08501965568e-05,7.71273430458e-05,8.65583537332e-05
HSBC,7.06626854468e-05,0.000193568367418,6.32045159598e-05,7.9620386886e-05,9.46957926913e-05,3.54800287471e-05,3.58125042072e-05,5.37060909068e-05,9.08779834355e-05,7.0192935146e-05,9.31941800182e-05,3.3623527329e-05,0.000125530177972,5.67753560344e-05,3.3832790521e-05,0.000136195958832,8.91574289935e-05,8.80182056251e-05,9.23796682138e-05
GOOGL,6.92135064115e-05,6.32045159598e-05,0.000203489150705,6.9575915626e-05,8.66950845357e-05,4.42739890215e-05,4.08318159777e-05,8.75548464025e-05,6.66833725365e-05,0.00013939682406,8.1355550841e-05,3.72072018162e-05,4.66537476041e-05,6.3830180711e-05,4.75430608774e-05,7.73004496576e-05,0.000101068507256,0.00012052236205,0.000100096038727
INTC,6.9487053928e-05,7.9620386886e-05,6.9575915626e-05,0.000178286823187,9.40336542191e-05,5.10881951845e-05,4.01615740471e-05,5.33721531122e-05,7.21913687973e-05,7.49460961269e-05,8.743022416e-05,4.21003243084e-05,9.37653916574e-05,6.66113380431e-05,4.67673896256e-05,8.94359241004e-05,8.94695068672e-05,0.00010156775129,0.000125305299945
LPX,8.58060586965e-05,9.46957926913e-05,8.66950845357e-05,9.40336542191e-05,0.000358365988727,4.79886827424e-05,4.61300150975e-05,9.12681813756e-05,0.00012800326288,9.96977078462e-05,0.000132448769196,4.42709561714e-05,0.000106708192371,6.7372871746e-05,4.90766016451e-05,0.000143673192581,0.000120930701298,0.000109648053829,0.00013642935616
RTN,4.53465127806e-05,3.54800287471e-05,4.42739890215e-05,5.10881951845e-05,4.79886827424e-05,0.000118491540112,7.33890415988e-05,3.65323596814e-05,4.4235102925e-05,5.45562273158e-05,7.32210699683e-05,3.04048855456e-05,3.62660088076e-05,5.48541283327e-05,4.18549457274e-05,5.44068605423e-05,6.75450484753e-05,5.44532167496e-05,5.9558156279e-05
LMT,4.15977682935e-05,3.58125042072e-05,4.08318159777e-05,4.01615740471e-05,4.61300150975e-05,7.33890415988e-05,9.47556141495e-05,3.52775630676e-05,4.16010654525e-05,4.19459798379e-05,5.315631693e-05,2.95004525333e-05,3.42134545385e-05,4.97652676977e-05,3.5223384746e-05,5.34923520577e-05,6.80479905346e-05,4.36693788336e-05,4.76760936087e-05
MASI,6.01849639074e-05,5.37060909068e-05,8.75548464025e-05,5.33721531122e-05,9.12681813756e-05,3.65323596814e-05,3.52775630676e-05,0.00031040615896,8.18290663685e-05,7.31438091805e-05,8.28841031829e-05,2.86851133661e-05,4.55658939152e-05,4.98938278639e-05,4.67939725225e-05,8.85826022873e-05,0.000111262899731,7.15721723818e-05,0.000100681771777
THO,7.31079589579e-05,9.08779834355e-05,6.66833725365e-05,7.21913687973e-05,0.00012800326288,4.4235102925e-05,4.16010654525e-05,8.18290663685e-05,0.000275017733933,8.01560492208e-05,0.000109908886919,4.52803229392e-05,8.50717208838e-05,5.5196009272e-05,3.77393670984e-05,0.00013093759313,9.55377452592e-05,8.565759965e-05,0.000106261392995
FB,7.17275720471e-05,7.0192935146e-05,0.00013939682406,7.49460961269e-05,9.96977078462e-05,5.45562273158e-05,4.19459798379e-05,7.31438091805e-05,8.01560492208e-05,0.000242210659385,0.000101115477823,3.58050660281e-05,6.0917909122e-05,5.66161769824e-05,4.57139448708e-05,8.87480277274e-05,9.61967174125e-05,0.000108504548325,0.000114819202284
AOS,8.24918711865e-05,9.31941800182e-05,8.1355550841e-05,8.743022416e-05,0.000132448769196,7.32210699683e-05,5.315631693e-05,8.28841031829e-05,0.000109908886919,0.000101115477823,0.000212890177654,4.28808610084e-05,8.95887041495e-05,7.29655331858e-05,5.56765000457e-05,0.000130331299811,0.000114901343546,9.8415370893e-05,0.000116368223634
T,4.00549110729e-05,3.3623527329e-05,3.72072018162e-05,4.21003243084e-05,4.42709561714e-05,3.04048855456e-05,2.95004525333e-05,2.86851133661e-05,4.52803229392e-05,3.58050660281e-05,4.28808610084e-05,9.05264623838e-05,5.1749362611e-05,4.04503086681e-05,3.38530526574e-05,4.21609150362e-05,4.06923548543e-05,4.23323262957e-05,4.23964153577e-05
BP,7.7949781311e-05,0.000125530177972,4.66537476041e-05,9.37653916574e-05,0.000106708192371,3.62660088076e-05,3.42134545385e-05,4.55658939152e-05,8.50717208838e-05,6.0917909122e-05,8.95887041495e-05,5.1749362611e-05,0.000258274927483,6.51280382742e-05,4.57039140425e-05,0.000116626712349,8.54834133357e-05,7.77947514296e-05,9.51560465868e-05
MRK,6.07838103951e-05,5.67753560344e-05,6.3830180711e-05,6.66113380431e-05,6.7372871746e-05,5.48541283327e-05,4.97652676977e-05,4.98938278639e-05,5.5196009272e-05,5.66161769824e-05,7.29655331858e-05,4.04503086681e-05,6.51280382742e-05,0.000152854666968,5.90173788556e-05,7.439014577e-05,0.000119020932506,6.84170407462e-05,7.03657633566e-05
JNJ,4.47281420547e-05,3.3832790521e-05,4.75430608774e-05,4.67673896256e-05,4.90766016451e-05,4.18549457274e-05,3.5223384746e-05,4.67939725225e-05,3.77393670984e-05,4.57139448708e-05,5.56765000457e-05,3.38530526574e-05,4.57039140425e-05,5.90173788556e-05,7.5801572299e-05,4.5793349719e-05,8.40677843546e-05,5.11241487152e-05,5.2754387157e-05
EVR,9.23927195268e-05,0.000136195958832,7.73004496576e-05,8.94359241004e-05,0.000143673192581,5.44068605423e-05,5.34923520577e-05,8.85826022873e-05,0.00013093759313,8.87480277274e-05,0.000130331299811,4.21609150362e-05,0.000116626712349,7.439014577e-05,4.5793349719e-05,0.000319820248974,0.000125350470987,9.85156361489e-05,0.000122372292399
CELG,9.08501965568e-05,8.91574289935e-05,0.000101068507256,8.94695068672e-05,0.000120930701298,6.75450484753e-05,6.80479905346e-05,0.000111262899731,9.55377452592e-05,9.61967174125e-05,0.000114901343546,4.06923548543e-05,8.54834133357e-05,0.000119020932506,8.40677843546e-05,0.000125350470987,0.000358711645329,0.000104966678085,0.00012902829224
