Date,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO
2017-04-06,49.889999,34.73,124.300003,76.199997,141.169998,845.099976,40.650002,36.029999,125.050003,267.109985,25.73,128.860001,92.730003,63.240002,65.730003,150.75,235.440002,40.599998,91.669998
2017-04-07,49.869999,34.849998,125.580002,75.400002,140.779999,842.099976,40.57,36.029999,124.919998,270.230011,25.790001,129.300003,92.989998,63.130001,65.68,152.960007,235.199997,40.59,91.790001
2017-04-10,50.330002,35.09,125.919998,75.599998,141.039993,841.700012,40.82,35.799999,124.339996,269.029999,25.9,128.800003,93.120003,62.549999,65.529999,151.229996,235.339996,40.380001,91.370003
2017-04-11,50.799999,35.369999,125.059998,75.849998,139.919998,839.880005,41.119999,35.740002,124.220001,270.269989,26.08,127.230003,94.5,62.580002,65.480003,152.070007,235.059998,40.310001,91.940002
2017-04-12,49.849998,35.450001,125.150002,75.0,139.580002,841.460022,40.970001,35.630001,125.400002,268.51001,25.719999,126.160004,93.889999,63.049999,65.230003,151.350006,234.029999,40.560001,89.449997
2017-04-13,49.560001,34.990002,124.449997,73.800003,139.389999,840.179993,40.16,35.25,124.989998,268.0,25.0,125.169998,92.559998,62.610001,64.949997,151.75,232.509995,40.279999,89.410004
2017-04-17,50.419998,35.029999,125.07,75.300003,141.419998,855.130005,40.59,35.48,125.720001,269.880005,25.709999,127.330002,94.230003,62.799999,65.480003,153.240005,234.570007,40.299999,90.580002
2017-04-18,50.279999,34.669998,123.010002,75.5,140.960007,853.98999,40.16,35.77,121.82,268.779999,25.5,127.43,93.989998,62.27,65.389999,152.869995,233.869995,40.25,90.760002
2017-04-19,50.369999,34.139999,122.919998,76.050003,142.270004,856.51001,39.73,35.91,121.370003,269.630005,25.92,136.169998,94.889999,62.639999,65.040001,152.880005,233.440002,40.25,91.110001
2017-04-20,51.009998,34.150002,123.269997,77.400002,143.800003,860.080017,40.029999,36.18,121.870003,271.850006,26.24,139.360001,97.389999,62.549999,65.5,154.0,235.339996,40.360001,92.32
2017-04-21,51.369999,34.0,122.260002,76.900002,143.679993,858.950012,39.939999,36.32,121.760002,273.089996,25.98,139.979996,97.529999,61.889999,66.400002,154.039993,234.589996,39.93,91.800003
2017-04-24,52.0,34.450001,123.150002,78.349998,145.470001,878.929993,40.830002,36.75,122.889999,276.209991,26.129999,142.509995,99.709999,62.139999,67.529999,156.029999,237.169998,40.02,94.82
2017-04-25,52.759998,34.66,125.519997,78.800003,146.490005,888.840027,41.240002,36.869999,123.43,270.019989,26.51,145.759995,99.900002,62.299999,67.919998,156.009995,238.550003,39.939999,96.559998
2017-04-26,52.970001,34.66,125.199997,75.599998,146.559998,889.140015,41.18,36.93,123.510002,270.350006,26.73,145.509995,100.989998,62.700001,67.830002,155.270004,238.399994,40.439999,97.339996
2017-04-27,54.419998,34.400002,123.970001,73.550003,147.699997,891.440002,41.43,37.43,123.739998,271.140015,26.35,147.0,101.860001,62.580002,68.269997,156.259995,238.600006,39.91,97.510002
2017-04-28,53.880001,34.32,124.050003,73.75,150.25,924.52002,41.169998,36.150002,123.470001,269.450012,25.74,144.850006,102.739998,62.330002,68.459999,155.210007,238.080002,39.630001,96.18
2017-05-01,53.669998,34.32,124.059998,74.349998,152.460007,932.820007,41.279999,36.310001,123.339996,268.429993,26.049999,149.220001,104.459999,62.380001,69.410004,154.080002,238.679993,39.099998,96.260002
2017-05-02,53.209999,34.75,123.82,74.599998,152.779999,937.090027,41.41,36.970001,123.699997,269.48999,25.52,149.320007,103.419998,62.700001,69.300003,156.160004,238.770004,38.950001,94.32
2017-05-03,54.02,34.689999,123.43,75.25,151.800003,948.450012,41.619999,36.98,123.330002,269.600006,25.440001,150.080002,103.480003,63.630001,69.080002,156.880005,238.479996,38.400002,94.080002
