,agg,spy,shy
agg,3.11972292384e-06,-2.34092426515e-06,8.22783042553e-07
spy,-2.34092426515e-06,2.29499231677e-05,-6.71585109284e-07
shy,8.22783042553e-07,-6.71585109284e-07,3.23848996511e-07
