,AAL,AES,ADM,ALKS,AGN
AAL,1.0,0.110696501863,0.0733248873398,0.225839781826,0.0536220402538
AES,0.110696501863,1.0,0.119332748527,0.0252794913471,0.0639624890112
ADM,0.0733248873398,0.119332748527,1.0,0.0693940111997,0.0677681227442
ALKS,0.225839781826,0.0252794913471,0.0693940111997,1.0,0.338973187031
AGN,0.0536220402538,0.0639624890112,0.0677681227442,0.338973187031,1.0
