Date,ALGN,CELG,FB,MRK,MSFT,THO
2018-01-02,224.61999500000002,106.160004,181.419998,56.220001,85.949997,155.360001
2018-01-03,231.19999700000002,109.139999,184.669998,56.139998999999996,86.349998,155.610001
2018-01-04,233.30000299999998,106.68,184.330002,57.049999,87.110001,155.479996
2018-01-05,241.07000699999998,104.989998,186.850006,56.990002000000004,88.190002,154.869995
2018-01-08,248.899994,104.18,188.279999,56.66,88.279999,153.75
2018-01-09,251.440002,105.489998,187.869995,56.799999,88.220001,153.729996
2018-01-10,248.309998,105.459999,187.83999599999999,57.299999,87.82,152.440002
2018-01-11,252.91000400000001,104.58000200000001,187.770004,57.599998,88.08000200000001,156.75
2018-01-12,258.429993,106.0,179.369995,58.66,89.599998,156.5
2018-01-16,263.880005,104.82,178.389999,62.07,88.349998,152.479996
2018-01-17,272.25,102.019997,177.600006,62.029999,90.139999,155.41000400000001
2018-01-18,270.700012,101.720001,179.800003,61.130001,90.099998,152.630005
2018-01-19,269.459991,102.650002,181.28999299999998,61.279999,90.0,155.440002
2018-01-22,267.100006,102.910004,185.369995,61.25,91.610001,156.850006
2018-01-23,272.160004,104.550003,189.350006,61.700001,91.900002,156.570007
2018-01-24,272.27999900000003,103.110001,186.550003,61.18,91.82,157.020004
2018-01-25,273.559998,104.389999,187.479996,61.299999,92.33000200000001,151.429993
2018-01-26,283.97000099999997,105.16999799999999,190.0,62.040001000000004,94.059998,139.820007
2018-01-29,276.769989,103.260002,185.979996,61.630001,93.91999799999999,140.970001
2018-01-30,270.079987,101.58000200000001,187.119995,60.650002,92.739998,139.919998
2018-01-31,262.0,101.160004,186.889999,59.25,95.010002,136.66000400000001
2018-02-01,255.57000699999998,100.339996,193.08999599999999,59.860001000000004,94.260002,136.889999
2018-02-02,257.380005,99.800003,190.279999,58.560001,91.779999,131.199997
2018-02-05,242.399994,93.739998,181.259995,56.400002,88.0,127.010002
2018-02-06,241.44999700000002,96.25,185.309998,55.459998999999996,91.33000200000001,131.66000400000001
2018-02-07,234.330002,95.160004,180.179993,55.880001,89.610001,130.25
2018-02-08,220.710007,91.019997,171.580002,54.73,85.010002,124.599998
2018-02-09,229.36999500000002,92.510002,176.110001,54.869999,88.18,127.57
2018-02-12,233.13000499999998,91.510002,176.41000400000001,55.43,89.129997,129.220001
2018-02-13,233.729996,91.980003,173.149994,54.900002,89.83000200000001,128.889999
2018-02-14,246.33999599999999,94.389999,179.520004,54.900002,90.809998,130.970001
2018-02-15,252.770004,96.139999,179.96000700000002,55.990002000000004,92.660004,130.419998
2018-02-16,251.5,95.260002,177.360001,56.290001000000004,92.0,124.83000200000001
2018-02-20,255.44999700000002,93.849998,176.009995,54.98,92.720001,125.900002
2018-02-21,252.13999900000002,93.889999,177.91000400000001,54.549999,91.489998,124.0
2018-02-22,259.679993,93.779999,178.990005,54.57,91.730003,123.410004
2018-02-23,265.070007,95.610001,183.28999299999998,54.869999,94.059998,125.0
2018-02-26,266.579987,96.489998,184.929993,56.060001,95.41999799999999,133.509995
2018-02-27,263.869995,95.779999,181.46000700000002,54.720001,94.199997,127.440002
2018-02-28,262.519989,87.120003,178.320007,54.220001,93.769997,129.0
2018-03-01,245.55000299999998,87.190002,175.940002,53.700001,92.849998,123.519997
2018-03-02,253.710007,89.33000200000001,176.619995,54.360001000000004,93.050003,120.449997
2018-03-05,255.49000499999997,89.040001,180.399994,54.400002,93.639999,118.739998
2018-03-06,255.97000099999997,89.16999799999999,179.779999,54.299999,93.32,121.610001
2018-03-07,262.899994,90.220001,183.71000700000002,54.470001,93.860001,122.410004
2018-03-08,268.179993,91.190002,182.33999599999999,54.759997999999996,94.43,120.389999
2018-03-09,271.73999,92.559998,185.229996,55.139998999999996,96.540001,126.949997
2018-03-12,275.609985,92.279999,184.759995,55.360001000000004,96.769997,126.889999
2018-03-13,269.709991,91.559998,181.880005,55.369999,94.410004,123.900002
2018-03-14,272.480011,91.610001,184.190002,54.799999,93.849998,122.849998
2018-03-15,272.869995,89.910004,183.860001,55.25,94.18,120.739998
2018-03-16,270.410004,89.610001,185.08999599999999,55.669998,94.599998,125.889999
2018-03-19,265.390015,88.529999,172.559998,54.630001,92.889999,123.139999
2018-03-20,270.399994,88.269997,168.149994,54.639998999999996,93.129997,123.07
2018-03-21,270.140015,88.309998,169.389999,54.689999,92.480003,119.660004
2018-03-22,260.130005,86.910004,164.889999,54.119999,89.790001,115.08000200000001
2018-03-23,250.919998,84.980003,159.389999,53.41,87.18,110.290001
2018-03-26,261.519989,87.16999799999999,160.059998,54.040001000000004,93.779999,111.650002
2018-03-27,248.30000299999998,85.809998,152.220001,53.75,89.470001,112.540001
2018-03-28,244.419998,88.410004,153.029999,55.09,89.389999,112.389999
2018-03-29,251.13000499999998,89.209999,159.78999299999998,54.470001,91.269997,115.16999799999999
2018-04-02,242.690002,87.07,155.389999,53.27,88.519997,109.480003
2018-04-03,243.61999500000002,86.83000200000001,156.110001,54.09,89.709999,109.559998
2018-04-04,248.92999300000002,90.470001,155.100006,54.540001000000004,92.33000200000001,111.75
2018-04-05,255.350006,88.839996,159.33999599999999,54.529999,92.379997,115.199997
2018-04-06,245.229996,86.949997,157.199997,53.360001000000004,90.230003,112.970001
2018-04-09,249.059998,86.940002,157.929993,56.16,90.769997,111.989998
2018-04-10,258.269989,89.440002,165.03999299999998,56.490002000000004,92.879997,111.230003
2018-04-11,257.019989,88.709999,166.320007,56.200001,91.860001,110.660004
2018-04-12,262.940002,90.300003,165.014801,57.165001000000004,93.650002,109.480003
