Date,AAL,AAPL,AMZN,CA,CHD,GOOG,GOOGL,MSFT,PCLN
2017-09-18,45.310001,158.669998,974.190002,32.990002,50.610001,915.0,929.75,75.160004,1854.180054
2017-09-19,44.380001,158.729996,969.859985,32.900002,50.57,921.809998,936.859985,75.440002,1859.780029
2017-09-20,45.419998,156.070007,973.210022,32.610001,49.689999,931.580017,947.539978,74.940002,1866.209961
2017-09-21,46.290001,153.389999,964.650024,32.360001,48.490002,932.450012,947.549988,74.209999,1866.349976
2017-09-22,47.060001,151.889999,955.099976,32.68,48.610001,928.530029,943.26001,74.410004,1862.130005
2017-09-25,47.700001,150.550003,939.789978,33.009998,48.470001,920.969971,934.280029,73.260002,1829.550049
2017-09-26,47.580002,153.139999,938.599976,33.16,48.740002,924.859985,937.429993,73.260002,1825.920044
2017-09-27,46.849998,154.229996,950.869995,33.25,48.040001,944.48999,959.900024,73.849998,1818.98999
2017-09-28,47.490002,153.279999,956.400024,33.009998,48.119999,949.5,964.809998,73.870003,1811.689941
2017-09-29,47.490002,154.119995,961.349976,33.380001,48.450001,959.109985,973.719971,74.489998,1830.819946
2017-10-02,47.73,153.809998,959.190002,33.669998,47.93,953.27002,967.469971,74.610001,1857.469971
2017-10-03,50.509998,154.479996,957.099976,33.57,47.360001,957.789978,972.080017,74.260002,1867.650024
2017-10-04,50.73,153.479996,965.450012,33.66,47.639999,951.679993,966.780029,74.690002,1888.699951
2017-10-05,50.560001,155.389999,980.849976,33.939999,47.93,969.960022,985.190002,75.970001,1909.609985
2017-10-06,51.299999,155.300003,989.580017,33.860001,47.450001,978.890015,993.640015,76.0,1918.0
2017-10-09,50.599998,155.839996,990.98999,33.57,47.02,977.0,992.309998,76.290001,1926.930054
2017-10-10,53.029999,155.899994,987.200012,33.639999,47.380001,972.599976,987.799988,76.290001,1916.650024
2017-10-11,52.73,156.740005,991.159973,33.389999,47.25,981.840027,997.450012,76.040001,1912.55249
