Date,MSFT,PCLN
2016-06-17,50.130001,1309.23999
2016-06-20,50.07,1341.959961
2016-06-21,51.189999,1343.050049
2016-06-22,50.990002,1360.099976
2016-06-23,51.91,1390.199951
2016-06-24,49.830002,1232.140015
2016-06-27,48.43,1186.050049
2016-06-28,49.439999,1204.25
2016-06-29,50.540001,1239.410034
2016-06-30,51.169998,1248.410034
2016-07-01,51.16,1267.369995
2016-07-05,51.169998,1275.030029
2016-07-06,51.380001,1292.040039
2016-07-07,51.380001,1297.26001
2016-07-08,52.299999,1329.459961
2016-07-11,52.59,1351.030029
2016-07-12,53.209999,1345.430054
2016-07-13,53.509998,1338.650024
2016-07-14,53.740002,1346.180054
2016-07-15,53.700001,1330.569946
2016-07-18,53.959999,1341.359985
2016-07-19,53.09,1327.0
2016-07-20,55.91,1352.829956
2016-07-21,55.799999,1332.5
2016-07-22,56.57,1327.400024
2016-07-25,56.73,1321.670044
2016-07-26,56.759998,1324.530029
2016-07-27,56.189999,1324.47998
2016-07-28,56.209999,1326.099976
2016-07-29,56.68,1350.810059
2016-08-01,56.580002,1356.079956
2016-08-02,56.580002,1345.380005
2016-08-03,56.970001,1371.140015
2016-08-04,57.389999,1359.98999
2016-08-05,57.959999,1414.219971
2016-08-08,58.060001,1405.0
2016-08-09,58.200001,1407.01001
2016-08-10,58.02,1406.280029
2016-08-11,58.299999,1406.920044
2016-08-12,57.939999,1407.97998
2016-08-15,58.119999,1399.160034
2016-08-16,57.439999,1408.660034
2016-08-17,57.560001,1427.199951
2016-08-18,57.599998,1443.069946
2016-08-19,57.619999,1432.0
2016-08-22,57.669998,1423.98999
2016-08-23,57.889999,1422.469971
2016-08-24,57.950001,1410.180054
2016-08-25,58.169998,1415.550049
2016-08-26,58.029999,1419.790039
2016-08-29,58.099998,1425.189941
2016-08-30,57.889999,1416.550049
2016-08-31,57.459999,1416.72998
2016-09-01,57.59,1418.589966
2016-09-02,57.669998,1422.849976
2016-09-06,57.610001,1436.959961
2016-09-07,57.66,1444.01001
2016-09-08,57.43,1445.829956
2016-09-09,56.209999,1413.900024
2016-09-12,57.049999,1436.209961
2016-09-13,56.529999,1415.949951
2016-09-14,56.259998,1429.380005
2016-09-15,57.189999,1457.219971
2016-09-16,57.25,1460.050049
2016-09-19,56.93,1448.060059
2016-09-20,56.810001,1449.0
2016-09-21,57.759998,1464.0
2016-09-22,57.82,1465.869995
2016-09-23,57.43,1456.76001
2016-09-26,56.900002,1447.150024
2016-09-27,57.950001,1453.48999
2016-09-28,58.029999,1458.030029
2016-09-29,57.400002,1472.97998
2016-09-30,57.599998,1471.48999
2016-10-03,57.419998,1486.719971
2016-10-04,57.240002,1489.02002
2016-10-05,57.639999,1497.579956
2016-10-06,57.740002,1490.439941
2016-10-07,57.799999,1479.819946
2016-10-10,58.040001,1475.180054
2016-10-11,57.189999,1459.02002
2016-10-12,57.110001,1454.839966
2016-10-13,56.919998,1442.52002
2016-10-14,57.419998,1439.569946
2016-10-17,57.220001,1437.650024
2016-10-18,57.66,1454.969971
2016-10-19,57.529999,1469.199951
2016-10-20,57.25,1468.290039
2016-10-21,59.66,1467.390015
2016-10-24,61.0,1471.800049
2016-10-25,60.990002,1479.030029
2016-10-26,60.630001,1469.160034
2016-10-27,60.099998,1463.02002
2016-10-28,59.869999,1474.819946
2016-10-31,59.919998,1474.22998
2016-11-01,59.799999,1467.0
2016-11-02,59.43,1445.329956
2016-11-03,59.209999,1438.099976
2016-11-04,58.709999,1424.280029
2016-11-07,60.419998,1480.329956
2016-11-08,60.470001,1578.130005
2016-11-09,60.169998,1570.26001
2016-11-10,58.700001,1554.319946
2016-11-11,59.02,1540.650024
2016-11-14,58.119999,1489.180054
2016-11-15,58.869999,1497.449951
2016-11-16,59.650002,1503.22998
2016-11-17,60.639999,1512.900024
2016-11-18,60.349998,1507.349976
2016-11-21,60.860001,1524.180054
2016-11-22,61.119999,1535.420044
2016-11-23,60.400002,1520.98999
2016-11-25,60.529999,1521.680054
2016-11-28,60.610001,1525.069946
2016-11-29,61.09,1520.27002
2016-11-30,60.259998,1503.680054
2016-12-01,59.200001,1479.660034
2016-12-02,59.25,1473.0
2016-12-05,60.220001,1499.76001
2016-12-06,59.950001,1504.819946
2016-12-07,61.369999,1527.040039
2016-12-08,61.009998,1548.670044
2016-12-09,61.970001,1557.97998
2016-12-12,62.169998,1536.780029
2016-12-13,62.98,1540.109985
2016-12-14,62.68,1528.449951
2016-12-15,62.580002,1501.199951
2016-12-16,62.299999,1484.280029
2016-12-19,63.619999,1488.829956
2016-12-20,63.540001,1502.25
2016-12-21,63.540001,1505.76001
2016-12-22,63.549999,1481.339966
2016-12-23,63.240002,1486.199951
2016-12-27,63.279999,1493.420044
2016-12-28,62.990002,1480.459961
