Date,AAL,AAPL,AMZN,CA,CHD,GOOG,GOOGL,MSFT,PCLN
2017-07-03,50.287994,142.93869,953.659973,33.892467,51.820652,898.700012,919.460022,67.808723,1843.130005
2017-07-05,51.156235,143.526367,971.400024,34.209961,51.58157,911.710022,932.26001,68.713905,1866.01001
2017-07-06,51.944633,142.171692,965.140015,33.634506,51.750919,906.690002,927.690002,68.206604,1872.300049
2017-07-07,52.922649,143.616013,978.76001,34.07106,51.800728,918.590027,940.809998,69.091888,1918.5
2017-07-10,52.553402,144.492584,996.469971,34.031372,52.109543,928.799988,951.0,69.609138,1921.819946
2017-07-11,51.505527,144.960739,994.130005,34.041294,51.980038,930.090027,953.530029,69.61908,1929.150024
2017-07-12,53.691093,145.169922,1006.51001,34.051216,51.701111,943.830017,967.659973,70.772934,1946.180054
2017-07-13,53.701073,147.191986,1000.630005,34.170277,51.800728,947.159973,968.849976,71.389641,1940.699951
2017-07-14,54.110245,148.457001,1001.809998,34.209961,52.41835,955.98999,976.909973,72.394295,1950.869995
2017-07-17,53.760952,148.974976,1010.039978,34.229805,53.125633,953.419983,975.960022,72.961273,1945.459961
2017-07-18,53.042412,149.49295,1024.449951,33.793255,53.42448,965.400024,986.950012,72.911537,1976.23999
2017-07-19,52.503502,150.429276,1026.869995,34.319103,52.747089,970.890015,992.77002,73.468567,1992.099976
2017-07-20,52.234047,149.751923,1028.699951,34.36871,52.786934,968.150024,992.190002,73.82666,1999.219971
2017-07-21,51.80492,149.682205,1025.670044,34.150433,53.055897,972.919983,993.840027,73.398941,1994.890015
2017-07-24,51.176193,151.495071,1038.949951,34.458004,52.59766,980.340027,998.309998,73.209946,2002.01001
2017-07-25,50.507549,152.142548,1039.869995,34.755653,53.125633,950.700012,969.030029,73.796822,2016.910034
2017-07-26,50.906738,152.859726,1052.800049,34.378632,53.464325,947.799988,965.309998,73.657562,2033.209961
2017-07-27,49.898785,149.971069,1046.0,30.856434,53.59383,934.090027,952.51001,72.772285,2025.089966
