,iwm,mdy,portfolioreturn,portfoliostandarddeviation,spy,returnoverrisk
74,0.92,0.07,0.050393413628,0.0048812722965,0.01,10.3238275939
75,0.06,0.01,0.0693859346107,0.00649418332634,0.93,10.6843202792
76,0.48,0.32,0.0481090614056,0.00586693165302,0.2,8.20003781378
77,0.28,0.51,0.0438057304825,0.00650718429395,0.21,6.7319025409
78,0.48,0.04,0.0600806877528,0.00559233704296,0.48,10.7433953446
79,0.27,0.5,0.0444243021998,0.00651697348457,0.23,6.81670752613
80,0.05,0.03,0.0687218320765,0.00653537724989,0.92,10.5153580962
81,0.43,0.36,0.0473538972377,0.00601245834039,0.21,7.87596263572
82,0.08,0.06,0.0668661169245,0.00648982985902,0.86,10.3032157047
83,0.09,0.69,0.0397389440098,0.0071654296363,0.22,5.54592620776
84,0.09,0.57,0.0448696410158,0.00701241727615,0.34,6.39859826487
85,0.25,0.32,0.0525023749757,0.00635403030408,0.43,8.26284617214
86,0.36,0.39,0.0474083184206,0.00619255148622,0.25,7.65570032418
87,0.07,0.9,0.0311422515163,0.00749864013659,0.03,4.15305321353
88,0.55,0.27,0.0489097563904,0.00567647418129,0.18,8.61622106053
89,0.01,0.95,0.0301505428981,0.00770982232578,0.04,3.9106663713
90,0.49,0.07,0.0586069998679,0.00559872246093,0.44,10.4679237588
91,0.97,0.02,0.0515761358798,0.00477817493454,0.01,10.7941079149
92,0.15,0.01,0.0676668119093,0.00628149768644,0.84,10.7724009921
93,0.68,0.1,0.0536950665802,0.00527351317291,0.22,10.1820294782
94,0.04,0.89,0.0321428505006,0.00755425111628,0.07,4.25493540072
95,0.58,0.36,0.0444886927354,0.00571801066268,0.06,7.7804494185
96,0.08,0.44,0.050618909739,0.0068801056532,0.48,7.35728668869
97,0.06,0.14,0.0638276795209,0.00661118049487,0.8,9.65450566209
98,0.65,0.12,0.053412991313,0.00534401446179,0.23,9.99491893123
99,0.01,0.15,0.0643551896045,0.00674154072493,0.84,9.54606554056
100,0.51,0.12,0.0560871821817,0.00560481299256,0.37,10.0069676288
101,0.06,0.6,0.0441600076647,0.00712042707432,0.34,6.20187626441
102,0.12,0.44,0.0498548552051,0.00678612076779,0.44,7.3465912133
103,0.77,0.14,0.0502657115435,0.00516107192246,0.09,9.73939373423
104,0.43,0.37,0.0469263391539,0.0060237454119,0.2,7.79022617077
105,0.1,0.85,0.032707001035,0.00735901845907,0.05,4.44447873272
106,0.28,0.49,0.0446608466502,0.00648289435879,0.23,6.88902890877
107,0.54,0.23,0.0508110023592,0.00565406449963,0.23,8.98663295449
108,0.75,0.12,0.0515028549781,0.00517475166616,0.13,9.95272011117
109,0.17,0.34,0.053175367876,0.00655725350117,0.49,8.1093963908
110,0.16,0.1,0.0636277755214,0.00633789460295,0.74,10.0392605916
111,0.59,0.38,0.0434425629343,0.00572206592614,0.03,7.59211157213
112,0.05,0.19,0.0618809027352,0.0066835395023,0.76,9.2587023259
113,0.04,0.32,0.0565136612789,0.00684153903102,0.64,8.26037255984
114,0.09,0.62,0.0427318505966,0.00707514628533,0.29,6.03971266081
115,0.42,0.35,0.047972468955,0.00602180042367,0.23,7.96646610313
116,0.45,0.27,0.0508198927252,0.00587349290858,0.28,8.65241407732
117,0.15,0.78,0.0347448394544,0.00714793121259,0.07,4.86082454085
118,0.78,0.02,0.055205394916,0.00504139375541,0.2,10.9504231556
119,0.72,0.04,0.0554963605492,0.00515400232324,0.24,10.7676242789
120,0.02,0.33,0.0564681304621,0.00690054317101,0.65,8.18314284291
121,0.8,0.06,0.0531131353137,0.00504358884272,0.14,10.5308217958
122,0.36,0.54,0.0409949471632,0.00637204605193,0.1,6.43356103033
123,0.14,0.69,0.0387838758424,0.00704992207256,0.17,5.50131979378
124,0.26,0.59,0.0407672930789,0.00665080263479,0.15,6.12968017809
125,0.19,0.08,0.0639098507886,0.00625049997241,0.73,10.2247581906
126,0.25,0.17,0.0589157462332,0.00619919812894,0.58,9.50376887587
127,0.81,0.06,0.0529221216802,0.00502841416625,0.13,10.5246147057
128,0.89,0.03,0.0526766868638,0.00488890885624,0.08,10.774732852
129,0.21,0.62,0.0404396869948,0.00680022297664,0.17,5.94681779314
130,0.92,0.02,0.0525312040472,0.0048410277318,0.06,10.8512503868
131,0.16,0.76,0.0354089419886,0.00709798324755,0.08,4.98859193572
132,0.03,0.57,0.0460157228167,0.00715439119623,0.4,6.43181530818
133,0.17,0.81,0.033080137936,0.00714404581818,0.02,4.63044873702
134,0.29,0.5,0.0440422749329,0.00647313123857,0.21,6.80385941667
135,0.06,0.12,0.0646827956885,0.00659235254687,0.82,9.81179256247
136,0.42,0.5,0.0415590976976,0.00619759211274,0.08,6.70568455323
137,0.18,0.68,0.0384473793923,0.00694574314627,0.14,5.53538744272
138,0.57,0.06,0.0575064488838,0.00543591473132,0.37,10.5789828807
139,0.61,0.22,0.0499014650086,0.00551258834486,0.17,9.05227488193
140,0.17,0.33,0.0536029259598,0.00654631443273,0.5,8.18826020513
141,0.1,0.56,0.0451061854661,0.00697663828535,0.34,6.46531805452
142,0.33,0.09,0.060808101836,0.00594786404142,0.58,10.2235191343
143,0.1,0.88,0.0314243267835,0.00740119316819,0.02,4.24584605069
144,0.41,0.01,0.0627004574387,0.00570878028566,0.58,10.9831617791
145,0.55,0.18,0.0527577791448,0.00558486319376,0.27,9.44656606876
146,0.37,0.25,0.0532031179607,0.00601841813949,0.38,8.84005011411
147,0.25,0.52,0.0439512132992,0.00658554956393,0.23,6.67388695089
148,0.5,0.3,0.0485821503063,0.00580552652585,0.2,8.36825912171
149,0.91,0.01,0.0531497757645,0.00484641486407,0.08,10.9668233643
150,0.76,0.09,0.0525945155961,0.00513187284196,0.15,10.2486006992
151,0.67,0.25,0.0474727089562,0.00543594823923,0.08,8.73310540627
152,0.37,0.06,0.0613267215535,0.00583549051206,0.57,10.509265918
153,0.77,0.17,0.048983037292,0.00518926726812,0.06,9.43929745013
154,0.13,0.49,0.0475260511525,0.0068217249387,0.38,6.96686711638
155,0.53,0.2,0.0522846902441,0.00564303176608,0.27,9.26535458447
156,0.43,0.33,0.0486365714892,0.00597904880358,0.24,8.13449983216
157,0.88,0.1,0.0498747939105,0.00496099483548,0.02,10.0533855738
158,0.08,0.72,0.0386472833918,0.00722826769807,0.2,5.34668678667
159,0.31,0.43,0.0466531542527,0.00634612838356,0.26,7.35143562075
160,0.05,0.73,0.0387927662084,0.00731181701593,0.22,5.30548919973
161,0.66,0.16,0.0515117453442,0.00536390171965,0.18,9.60340961421
162,0.2,0.48,0.0466165138019,0.00664923449504,0.32,7.01080911444
163,0.42,0.44,0.0441244462006,0.00612533565872,0.14,7.20359644907
164,0.08,0.57,0.0450606546492,0.00703589485308,0.35,6.40439568671
165,0.27,0.08,0.0623817417207,0.00607007720128,0.65,10.276927237
166,0.47,0.22,0.0525756558774,0.00578134798862,0.31,9.09401336521
167,0.74,0.22,0.0474182877733,0.00528669203799,0.04,8.9693682614
168,0.25,0.3,0.0533574911434,0.00633241929258,0.45,8.4260830937
169,0.1,0.23,0.0592156022325,0.00660433535744,0.67,8.96617131439
170,0.02,0.37,0.0547578981267,0.00694428279238,0.61,7.88532088393
171,0.45,0.09,0.0585159382341,0.005696694076,0.46,10.271911648
172,0.01,0.76,0.0382741464909,0.00744639001994,0.23,5.13995995219
173,0.09,0.16,0.0623995224528,0.00655871902153,0.75,9.51398013056
174,0.35,0.03,0.062991423072,0.00585184133409,0.62,10.7643764545
175,0.46,0.45,0.0429328335828,0.00605581254913,0.09,7.08952485475
176,0.61,0.22,0.0499014650086,0.00551258834486,0.17,9.05227488193
177,0.19,0.41,0.0498004340222,0.00659000541397,0.4,7.55696405296
178,0.14,0.25,0.0575964315309,0.00653090753359,0.61,8.81905481507
179,0.83,0.01,0.0546778848324,0.0049579530693,0.16,11.028318354
180,0.49,0.43,0.04321490885,0.00597220868029,0.08,7.23600114521
181,0.65,0.34,0.0440067134687,0.00556779700866,0.01,7.90379272093
182,0.44,0.24,0.0522935806102,0.00586252251588,0.32,8.91997949151
183,0.13,0.55,0.0449607026495,0.00689451134904,0.32,6.52123121905
184,0.01,0.75,0.0387017045747,0.00743304346984,0.24,5.20671037802
185,0.5,0.14,0.0554230796476,0.00564319170311,0.36,9.82122929069
186,0.43,0.08,0.0593255235849,0.00572840924727,0.49,10.3563696349
187,0.1,0.39,0.0523746728912,0.00677581574597,0.51,7.72964833383
188,0.28,0.15,0.0591978215004,0.00611316430326,0.57,9.68366275856
189,0.69,0.25,0.0470906816892,0.00540128272923,0.06,8.71842561293
190,0.12,0.36,0.0532753198757,0.00669535666039,0.52,7.9570548035
191,0.51,0.16,0.0543769498464,0.00564268697674,0.33,9.63671209667
192,0.56,0.27,0.0487187427569,0.00565744478085,0.17,8.61143937662
193,0.44,0.53,0.0398943961791,0.00619384318891,0.03,6.44097613749
194,0.11,0.71,0.0385018005752,0.00714535928917,0.18,5.38836453382
195,0.14,0.46,0.0486177117705,0.00676298433364,0.4,7.18879556302
196,0.64,0.08,0.0553142372818,0.00532567447959,0.28,10.3863346312
197,0.63,0.26,0.0478092054063,0.0055173843384,0.11,8.66519395316
198,0.63,0.15,0.0525123443284,0.00540768783076,0.22,9.71068337742
199,0.1,0.37,0.0532297890589,0.00675342175137,0.53,7.88189913477
200,0.76,0.13,0.0508842832608,0.00516779672685,0.11,9.84641733225
201,0.08,0.88,0.0318063540505,0.00744723157417,0.04,4.27089633694
202,0.26,0.11,0.0612900811027,0.00611977402144,0.63,10.0150889376
203,0.1,0.78,0.0356999076218,0.00726244164041,0.12,4.91568943194
204,0.68,0.26,0.0468541372389,0.00542892551617,0.06,8.6304623446
205,0.06,0.57,0.0454426819162,0.00708307391698,0.37,6.41567241128
206,0.24,0.55,0.0428595526811,0.00664477963331,0.21,6.45010896468
207,0.11,0.56,0.0449151718326,0.00695330152206,0.33,6.45954611491
