Date,AAPL,AMZN,BAC,CA,CHD,MS,MSFT,TSLA
2015-04-15,126.779999,383.450012,15.64,31.809999,42.865002,37.389999,42.259998,207.830002
2015-04-16,126.169998,386.040009,15.79,31.860001,42.875,37.360001,42.16,206.699997
2015-04-17,124.75,375.559998,15.56,31.200001,42.529999,36.75,41.619999,206.789993
2015-04-20,127.599998,389.51001,15.57,31.700001,42.150002,36.959999,42.91,205.270004
2015-04-21,126.910004,391.179993,15.5,31.559999,42.035,36.75,42.639999,209.410004
2015-04-22,128.619995,389.799988,15.74,31.9,41.875,37.200001,42.990002,219.440002
2015-04-23,129.669998,389.98999,15.69,32.07,41.915001,37.380001,43.34,218.600006
2015-04-24,130.279999,445.100006,15.64,32.240002,41.974998,37.360001,47.869999,218.429993
2015-04-27,132.649994,438.559998,15.56,31.75,41.75,37.049999,48.029999,231.550003
2015-04-28,130.559998,429.309998,15.65,32.18,41.759998,37.040001,49.16,230.479996
2015-04-29,128.639999,429.369995,15.98,32.189999,41.305,37.490002,49.060001,232.449997
2015-04-30,125.150002,421.779999,15.93,31.77,40.584999,37.310001,48.639999,226.050003
2015-05-01,128.949997,422.869995,16.110001,31.85,40.965,37.509998,48.66,226.029999
2015-05-04,128.699997,423.040009,16.440001,31.799999,41.154999,37.91,48.240002,230.509995
2015-05-05,125.800003,421.190002,16.35,31.41,40.830002,37.450001,47.599998,232.949997
2015-05-06,125.010002,419.100006,16.290001,31.450001,40.889999,37.049999,46.279999,230.429993
2015-05-07,125.260002,426.880005,16.24,31.4,41.325001,37.540001,46.700001,236.800003
2015-05-08,127.620003,433.690002,16.450001,31.6,41.615002,37.889999,47.75,236.610001
2015-05-11,126.32,432.850006,16.49,31.08,41.755001,38.25,47.369999,239.490005
2015-05-12,125.870003,431.019989,16.43,31.280001,41.685001,37.720001,47.349998,244.740005
2015-05-13,126.010002,426.869995,16.469999,31.530001,41.400002,37.779999,47.630001,243.179993
2015-05-14,128.949997,432.279999,16.52,32.02,41.73,38.139999,48.720001,244.100006
2015-05-15,128.770004,426.0,16.35,31.690001,41.810001,37.849998,48.299999,248.839996
2015-05-18,130.190002,425.23999,16.51,31.75,42.075001,38.330002,48.009998,248.75
2015-05-19,130.070007,421.709991,16.77,31.73,42.34,38.689999,47.580002,247.139999
2015-05-20,130.059998,423.859985,16.74,31.360001,42.435001,38.330002,47.580002,244.350006
2015-05-21,131.389999,431.630005,16.73,31.6,42.314999,38.040001,47.419998,245.619995
2015-05-22,132.539993,427.630005,16.75,31.33,42.220001,38.169998,46.900002,247.729996
2015-05-26,129.619995,425.470001,16.5,30.75,42.055,37.790001,46.59,247.460007
2015-05-27,132.039993,431.420013,16.74,31.18,42.174999,38.619999,47.610001,247.429993
2015-05-28,131.779999,426.570007,16.67,30.700001,42.264999,38.73,47.450001,251.449997
2015-05-29,130.279999,429.230011,16.5,30.450001,41.985001,38.200001,46.860001,250.800003
2015-06-01,130.539993,430.920013,16.549999,30.110001,42.27,38.580002,47.23,249.449997
2015-06-02,129.960007,430.98999,16.719999,29.9,41.950001,38.52,46.919998,248.350006
2015-06-03,130.119995,436.589996,16.93,30.02,42.185001,39.009998,46.849998,248.990005
2015-06-04,129.360001,430.779999,16.780001,29.629999,41.650002,38.700001,46.360001,245.919998
2015-06-05,128.649994,426.950012,17.190001,29.67,41.305,39.290001,46.139999,249.139999
2015-06-08,127.800003,423.5,17.08,29.440001,41.299999,39.09,45.73,256.290009
2015-06-09,127.419998,425.480011,17.309999,29.43,41.540001,39.130001,45.650002,256.0
2015-06-10,128.880005,430.769989,17.59,30.08,41.799999,39.889999,46.610001,250.699997
2015-06-11,128.589996,432.970001,17.49,30.27,41.959999,39.869999,46.439999,251.410004
2015-06-12,127.169998,429.920013,17.49,30.139999,41.665001,39.610001,45.970001,250.690002
2015-06-15,126.919998,423.670013,17.469999,29.809999,41.165001,39.529999,45.48,250.380005
2015-06-16,127.599998,427.26001,17.549999,30.17,41.400002,39.740002,45.830002,253.119995
2015-06-17,127.300003,427.809998,17.370001,30.290001,41.595001,39.580002,45.970001,260.410004
2015-06-18,127.879997,439.390015,17.379999,30.49,41.785,39.790001,46.720001,261.890015
