,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,2.30561346859e-05,1.97681295921e-05,2.834711342e-05,2.17390822712e-05,2.97581904411e-05,1.55795634786e-05,1.5555789279e-05,3.54447424842e-05,3.83482656329e-05,2.963364425e-05,2.94214382594e-05,1.45724978016e-05,1.43558275501e-05,1.20101401522e-05,1.32585681655e-05,3.79409632196e-05,2.8811342578e-05,2.78928961483e-05,4.5451891479e-05
HSBC,1.97681295921e-05,7.97888557688e-05,6.80090041838e-06,9.56838624062e-06,2.39335448381e-05,4.62276612264e-06,6.19640880943e-06,-1.16178597557e-05,3.67396816935e-05,9.63700319852e-06,2.54749288912e-05,1.02333138186e-05,2.21842724922e-05,-1.03987304009e-06,1.00102489345e-05,4.91192027723e-05,2.09850393777e-05,1.34412218424e-05,1.98434590205e-05
GOOGL,2.834711342e-05,6.80090041838e-06,9.91297604718e-05,2.67639881821e-05,2.66386775006e-05,2.34282890897e-05,1.99241024527e-05,6.49935957265e-05,2.55463408191e-05,7.18526135448e-05,3.73298845778e-05,-1.49234630713e-06,1.73367728672e-06,8.60768473219e-06,1.72097593096e-05,1.84791481767e-05,4.92556655883e-05,5.73553827012e-05,9.67643067347e-05
INTC,2.17390822712e-05,9.56838624062e-06,2.67639881821e-05,8.2724128398e-05,1.94927644552e-05,2.48152676945e-05,2.21718720916e-05,4.74104555561e-05,2.53459543569e-05,3.91427222425e-05,3.1881360995e-05,1.41473680727e-05,2.02160481178e-05,1.38131813045e-05,9.84196350511e-06,2.27786881105e-05,2.54079924611e-05,3.48693224268e-05,5.43736646886e-05
LPX,2.97581904411e-05,2.39335448381e-05,2.66386775006e-05,1.94927644552e-05,0.000187748090923,8.72882043736e-06,1.18842379448e-05,4.02715920009e-05,7.38765175098e-05,3.40226930375e-05,3.89810060535e-05,1.00913722447e-05,1.27633536757e-05,1.85121439933e-05,1.78308334879e-05,7.44972758404e-05,6.80783258161e-05,3.17693474787e-05,8.1110558568e-05
RTN,1.55795634786e-05,4.62276612264e-06,2.34282890897e-05,2.48152676945e-05,8.72882043736e-06,5.65897341105e-05,3.87379474611e-05,2.62485231545e-05,3.08297892505e-06,1.99338638742e-05,3.05655989433e-05,7.8883103071e-06,6.76554018436e-06,7.82989808193e-06,1.26229271084e-05,1.64953837851e-05,1.70878673333e-05,1.96189276233e-05,2.61703193806e-05
LMT,1.5555789279e-05,6.19640880943e-06,1.99241024527e-05,2.21718720916e-05,1.18842379448e-05,3.87379474611e-05,4.63918293141e-05,2.90665008596e-05,3.40548071748e-06,1.60285926106e-05,2.63757466472e-05,8.30928091432e-06,3.64455344381e-06,5.29008926973e-06,1.13834607085e-05,1.68405853991e-05,2.01276229059e-05,1.95441549748e-05,2.95994909022e-05
MASI,3.54447424842e-05,-1.16178597557e-05,6.49935957265e-05,4.74104555561e-05,4.02715920009e-05,2.62485231545e-05,2.90665008596e-05,0.000397969587089,6.59910961135e-05,8.08818462593e-05,4.27458606644e-05,1.09340224808e-05,1.58538620261e-05,1.51712044012e-05,9.20809302266e-06,3.15927016594e-05,4.44062645483e-05,6.48961977198e-05,0.000114018635401
THO,3.83482656329e-05,3.67396816935e-05,2.55463408191e-05,2.53459543569e-05,7.38765175098e-05,3.08297892505e-06,3.40548071748e-06,6.59910961135e-05,0.00034927958428,4.32342466096e-05,3.8189240855e-05,2.9162091392e-05,3.42420881102e-05,2.66351857795e-05,1.03488581046e-05,9.80737232483e-05,5.75902120221e-05,5.72099082838e-05,0.000100003342062
FB,2.963364425e-05,9.63700319852e-06,7.18526135448e-05,3.91427222425e-05,3.40226930375e-05,1.99338638742e-05,1.60285926106e-05,8.08818462593e-05,4.32342466096e-05,9.57804413367e-05,3.07479870485e-05,1.44905717641e-05,6.01776147592e-06,1.55803012341e-05,1.40303590842e-05,3.4679183329e-05,4.14592297908e-05,5.38606217675e-05,0.000100347877735
AOS,2.94214382594e-05,2.54749288912e-05,3.73298845778e-05,3.1881360995e-05,3.89810060535e-05,3.05655989433e-05,2.63757466472e-05,4.27458606644e-05,3.8189240855e-05,3.07479870485e-05,9.14781491179e-05,4.13967971292e-06,1.1666694781e-05,9.48257324885e-06,1.87999121481e-05,2.74568352943e-05,3.33038446205e-05,4.0269864491e-05,6.13473161623e-05
