Date,AAPL,AMZN,MSFT,PCLN
2016-05-27,100.349998,712.23999,52.32,1273.0
2016-05-31,99.860001,722.789978,53.0,1264.329956
2016-06-01,98.459999,719.440002,52.849998,1278.0
2016-06-02,97.720001,728.23999,52.48,1290.0
2016-06-03,97.919998,725.539978,51.790001,1301.709961
2016-06-06,98.629997,726.72998,52.130001,1349.099976
2016-06-07,99.029999,723.73999,52.099998,1360.0
2016-06-08,98.940002,726.640015,52.040001,1354.829956
2016-06-09,99.650002,727.650024,51.619999,1340.069946
2016-06-10,98.830002,717.909973,51.48,1318.900024
2016-06-13,97.339996,715.23999,50.139999,1315.469971
2016-06-14,97.459999,719.299988,49.830002,1304.099976
2016-06-15,97.139999,714.26001,49.689999,1305.420044
2016-06-16,97.550003,717.51001,50.389999,1323.890015
2016-06-17,95.330002,706.390015,50.130001,1309.23999
2016-06-20,95.099998,714.01001,50.07,1341.959961
2016-06-21,95.910004,715.820007,51.189999,1343.050049
2016-06-22,95.550003,710.599976,50.990002,1360.099976
2016-06-23,96.099998,722.080017,51.91,1390.199951
2016-06-24,93.400002,698.960022,49.830002,1232.140015
2016-06-27,92.040001,691.359985,48.43,1186.050049
2016-06-28,93.589996,707.950012,49.439999,1204.25
2016-06-29,94.400002,715.599976,50.540001,1239.410034
2016-06-30,95.599998,715.619995,51.169998,1248.410034
2016-07-01,95.889999,725.679993,51.16,1267.369995
2016-07-05,94.989998,728.099976,51.169998,1275.030029
2016-07-06,95.529999,737.609985,51.380001,1292.040039
2016-07-07,95.940002,736.570007,51.380001,1297.26001
2016-07-08,96.68,745.809998,52.299999,1329.459961
2016-07-11,96.980003,753.780029,52.59,1351.030029
2016-07-12,97.419998,748.210022,53.209999,1345.430054
2016-07-13,96.870003,742.630005,53.509998,1338.650024
2016-07-14,98.790001,741.200012,53.740002,1346.180054
2016-07-15,98.779999,735.440002,53.700001,1330.569946
2016-07-18,99.830002,736.070007,53.959999,1341.359985
2016-07-19,99.870003,739.950012,53.09,1327.0
2016-07-20,99.959999,745.719971,55.91,1352.829956
2016-07-21,99.43,744.429993,55.799999,1332.5
2016-07-22,98.660004,744.859985,56.57,1327.400024
2016-07-25,97.339996,739.609985,56.73,1321.670044
2016-07-26,96.669998,735.590027,56.759998,1324.530029
2016-07-27,102.949997,736.669983,56.189999,1324.47998
2016-07-28,104.339996,752.609985,56.209999,1326.099976
2016-07-29,104.209999,758.809998,56.68,1350.810059
2016-08-01,106.050003,767.73999,56.580002,1356.079956
2016-08-02,104.480003,760.580017,56.580002,1345.380005
2016-08-03,105.790001,754.640015,56.970001,1371.140015
2016-08-04,105.870003,760.77002,57.389999,1359.98999
2016-08-05,107.480003,765.97998,57.959999,1414.219971
2016-08-08,108.370003,766.559998,58.060001,1405.0
2016-08-09,108.809998,768.309998,58.200001,1407.01001
2016-08-10,108.0,768.559998,58.02,1406.280029
2016-08-11,107.93,771.23999,58.299999,1406.920044
2016-08-12,108.18,772.559998,57.939999,1407.97998
2016-08-15,109.480003,768.48999,58.119999,1399.160034
2016-08-16,109.379997,764.039978,57.439999,1408.660034
2016-08-17,109.220001,764.630005,57.560001,1427.199951
2016-08-18,109.080002,764.460022,57.599998,1443.069946
2016-08-19,109.360001,757.309998,57.619999,1432.0
2016-08-22,108.510002,759.47998,57.669998,1423.98999
2016-08-23,108.849998,762.450012,57.889999,1422.469971
2016-08-24,108.029999,757.25,57.950001,1410.180054
2016-08-25,107.57,759.219971,58.169998,1415.550049
2016-08-26,106.940002,769.0,58.029999,1419.790039
2016-08-29,106.82,771.289978,58.099998,1425.189941
2016-08-30,106.0,767.580017,57.889999,1416.550049
2016-08-31,106.099998,769.159973,57.459999,1416.72998
2016-09-01,106.730003,770.619995,57.59,1418.589966
2016-09-02,107.730003,772.440002,57.669998,1422.849976
2016-09-06,107.699997,788.869995,57.610001,1436.959961
2016-09-07,108.360001,784.47998,57.66,1444.01001
2016-09-08,105.519997,784.059998,57.43,1445.829956
2016-09-09,103.129997,760.140015,56.209999,1413.900024
2016-09-12,105.440002,771.48999,57.049999,1436.209961
2016-09-13,107.949997,761.01001,56.529999,1415.949951
2016-09-14,111.769997,761.090027,56.259998,1429.380005
2016-09-15,115.57,769.690002,57.189999,1457.219971
2016-09-16,114.919998,778.52002,57.25,1460.050049
2016-09-19,113.580002,775.099976,56.93,1448.060059
2016-09-20,113.57,780.219971,56.810001,1449.0
2016-09-21,113.550003,789.73999,57.759998,1464.0
2016-09-22,114.620003,804.700012,57.82,1465.869995
2016-09-23,112.709999,805.75,57.43,1456.76001
2016-09-26,112.879997,799.159973,56.900002,1447.150024
2016-09-27,113.089996,816.109985,57.950001,1453.48999
2016-09-28,113.949997,828.719971,58.029999,1458.030029
2016-09-29,112.18,829.049988,57.400002,1472.97998
2016-09-30,113.050003,837.309998,57.599998,1471.48999
2016-10-03,112.519997,836.73999,57.419998,1486.719971
2016-10-04,113.0,834.030029,57.240002,1489.02002
2016-10-05,113.050003,844.359985,57.639999,1497.579956
2016-10-06,113.889999,841.659973,57.740002,1490.439941
2016-10-07,114.059998,839.429993,57.799999,1479.819946
2016-10-10,116.050003,841.710022,58.040001,1475.180054
2016-10-11,116.300003,831.0,57.189999,1459.02002
2016-10-12,117.339996,834.090027,57.110001,1454.839966
2016-10-13,116.980003,829.280029,56.919998,1442.52002
2016-10-14,117.629997,822.960022,57.419998,1439.569946
2016-10-17,117.550003,812.950012,57.220001,1437.650024
2016-10-18,117.470001,817.650024,57.66,1454.969971
2016-10-19,117.120003,817.690002,57.529999,1469.199951
2016-10-20,117.059998,810.320007,57.25,1468.290039
2016-10-21,116.599998,818.98999,59.66,1467.390015
2016-10-24,117.650002,838.090027,61.0,1471.800049
2016-10-25,118.25,835.179993,60.990002,1479.030029
2016-10-26,115.589996,822.590027,60.630001,1469.160034
2016-10-27,114.480003,818.359985,60.099998,1463.02002
2016-10-28,113.720001,776.320007,59.869999,1474.819946
2016-10-31,113.540001,789.820007,59.919998,1474.22998
2016-11-01,111.489998,785.409973,59.799999,1467.0
2016-11-02,111.589996,765.559998,59.43,1445.329956
2016-11-03,109.830002,767.030029,59.209999,1438.099976
2016-11-04,108.839996,755.049988,58.709999,1424.280029
2016-11-07,110.410004,784.929993,60.419998,1480.329956
2016-11-08,111.059998,787.75,60.470001,1578.130005
2016-11-09,110.879997,771.880005,60.169998,1570.26001
2016-11-10,107.790001,742.380005,58.700001,1554.319946
2016-11-11,108.43,739.01001,59.02,1540.650024
2016-11-14,105.709999,719.070007,58.119999,1489.180054
2016-11-15,107.110001,743.23999,58.869999,1497.449951
2016-11-16,109.989998,746.48999,59.650002,1503.22998
2016-11-17,109.949997,756.400024,60.639999,1512.900024
