,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM,portfolioreturn,portfoliostandarddeviation,returnoverrisk
424,0.01,0.01,0.05,0.05,0.05,0.04,0.02,0.03,0.01,0.07,0.05,0.01,0.1,0.02,0.06,0.02,0.08,0.05,0.05,0.07,0.02,0.04,0.04,0.03,0.02,0.0847507364013,0.00592999537782,14.2918722531
425,0.07,0.04,0.01,0.04,0.01,0.03,0.03,0.01,0.05,0.04,0.01,0.09,0.01,0.14,0.02,0.01,0.1,0.02,0.01,0.03,0.07,0.01,0.12,0.01,0.02,0.174641870493,0.00622034629575,28.0759080265
426,0.03,0.01,0.02,0.03,0.04,0.04,0.01,0.01,0.01,0.01,0.05,0.02,0.05,0.02,0.27,0.07,0.01,0.1,0.03,0.01,0.01,0.03,0.1,0.01,0.01,0.0947912403302,0.0053710282561,17.6486206757
427,0.01,0.11,0.02,0.03,0.11,0.03,0.03,0.01,0.02,0.06,0.02,0.11,0.05,0.03,0.04,0.02,0.03,0.04,0.05,0.01,0.05,0.05,0.03,0.02,0.02,0.107987619324,0.00603671457319,17.888475265
428,0.04,0.07,0.02,0.04,0.01,0.02,0.03,0.02,0.06,0.04,0.06,0.05,0.01,0.03,0.02,0.1,0.09,0.01,0.06,0.02,0.04,0.01,0.05,0.06,0.04,0.108754678665,0.00639247629241,17.0129185766
429,0.06,0.06,0.08,0.01,0.03,0.02,0.01,0.01,0.01,0.09,0.01,0.09,0.02,0.01,0.05,0.01,0.15,0.01,0.03,0.03,0.03,0.04,0.06,0.07,0.01,0.0988041401782,0.00641774327388,15.3954647236
430,0.06,0.05,0.04,0.02,0.01,0.02,0.01,0.05,0.01,0.05,0.09,0.03,0.13,0.02,0.03,0.15,0.03,0.04,0.02,0.02,0.06,0.02,0.02,0.01,0.01,0.141890140571,0.00731566689588,19.3953801602
431,0.04,0.04,0.11,0.01,0.08,0.02,0.1,0.11,0.05,0.01,0.03,0.01,0.02,0.05,0.05,0.05,0.01,0.01,0.02,0.05,0.02,0.02,0.01,0.06,0.02,0.135564760446,0.00640794355915,21.15573572
432,0.02,0.03,0.11,0.08,0.07,0.01,0.04,0.01,0.04,0.01,0.04,0.06,0.01,0.02,0.01,0.04,0.04,0.02,0.11,0.02,0.03,0.06,0.04,0.07,0.01,0.109746034877,0.00570503189324,19.2367083884
433,0.03,0.03,0.01,0.06,0.03,0.01,0.01,0.04,0.06,0.01,0.05,0.22,0.01,0.01,0.03,0.01,0.02,0.02,0.05,0.06,0.01,0.07,0.01,0.05,0.09,0.109796339045,0.00536656270155,20.4593415099
434,0.03,0.04,0.03,0.02,0.04,0.06,0.02,0.1,0.01,0.02,0.05,0.06,0.01,0.12,0.05,0.01,0.04,0.05,0.06,0.07,0.01,0.01,0.02,0.01,0.06,0.161547506181,0.00598127027852,27.0088958797
435,0.01,0.02,0.01,0.01,0.06,0.03,0.06,0.01,0.1,0.01,0.01,0.02,0.02,0.01,0.08,0.01,0.04,0.06,0.01,0.07,0.1,0.01,0.15,0.08,0.01,0.0758760815588,0.00558512632804,13.5853832308
436,0.03,0.02,0.01,0.09,0.01,0.03,0.02,0.04,0.03,0.02,0.04,0.05,0.12,0.01,0.02,0.02,0.03,0.05,0.1,0.02,0.16,0.01,0.01,0.02,0.04,0.133245526596,0.00579258092033,23.0027907125
437,0.01,0.02,0.04,0.1,0.03,0.03,0.08,0.03,0.03,0.04,0.07,0.05,0.01,0.01,0.02,0.03,0.01,0.09,0.01,0.04,0.04,0.01,0.03,0.02,0.15,0.101847400131,0.00527190278642,19.3189070923
438,0.1,0.02,0.02,0.03,0.02,0.01,0.01,0.04,0.09,0.05,0.08,0.12,0.02,0.04,0.01,0.03,0.01,0.06,0.01,0.1,0.03,0.03,0.01,0.04,0.02,0.169702908147,0.00598689459646,28.3457317333
