Date,aap,adsk,avgo,bud,chtr,cmcsa,crc,dltr,dspg,fb,goog,lbrdk,low,lsxma,lyb,mar,mgm,mpc,pcln,px,sbac,stz,unp,wlk
2017-03-29,149.669998,86.400002,221.309998,111.330002,325.940002,37.220001,14.57,78.510002,12.2,142.649994,831.409973,85.769997,82.209999,38.66,90.730003,94.589996,27.290001,50.549999,1785.050049,118.379997,119.779999,163.690002,105.580002,65.599998
2017-03-30,148.669998,86.32,220.039993,110.260002,328.119995,37.509998,14.34,79.440002,12.3,142.410004,831.5,86.639999,82.300003,39.189999,91.269997,94.639999,27.33,50.139999,1789.199951,118.599998,118.919998,162.440002,106.940002,65.650002
2017-03-31,148.259995,86.470001,218.960007,109.760002,327.320007,37.59,15.04,78.459999,12.0,142.050003,829.559998,86.400002,82.209999,38.919998,91.190002,94.18,27.4,50.540001,1779.969971,118.599998,120.370003,162.070007,105.919998,66.050003
2017-04-03,145.5,85.389999,218.800003,110.739998,328.269989,37.560001,15.22,77.720001,11.75,142.279999,838.549988,87.089996,82.040001,38.540001,90.260002,92.75,27.75,49.939999,1773.98999,118.0,119.550003,161.660004,105.5,65.540001
2017-04-04,143.039993,84.949997,218.960007,110.849998,331.519989,37.790001,15.11,77.669998,11.65,141.729996,834.570007,88.449997,81.589996,39.0,90.690002,92.470001,27.82,50.299999,1767.380005,119.269997,119.440002,161.509995,107.199997,66.110001
2017-04-05,142.740005,83.540001,217.130005,110.480003,331.98999,37.34,14.28,77.050003,12.0,141.850006,831.409973,87.849998,81.620003,39.290001,88.400002,91.959999,27.6,49.439999,1761.77002,118.129997,119.080002,161.399994,106.760002,65.32
2017-04-06,142.559998,84.07,217.5,110.489998,336.799988,38.130001,14.77,78.050003,11.95,141.169998,827.880005,88.43,81.970001,39.48,89.190002,91.769997,28.43,49.84,1773.52002,119.370003,120.07,171.770004,107.07,66.559998
2017-04-07,142.050003,84.790001,218.25,109.940002,330.649994,38.029999,14.55,77.610001,12.3,140.779999,824.669983,87.93,82.139999,39.52,88.790001,91.209999,28.110001,50.02,1769.560059,118.849998,121.169998,170.369995,107.029999,67.190002
2017-04-10,142.839996,85.660004,218.020004,110.669998,331.369995,37.669998,15.71,77.739998,12.2,141.039993,824.72998,88.099998,82.419998,39.25,88.529999,91.059998,27.77,50.139999,1775.969971,119.57,121.989998,171.270004,107.620003,67.300003
2017-04-11,143.460007,85.989998,217.550003,110.040001,332.299988,37.23,15.39,77.080002,12.15,139.919998,823.349976,87.660004,82.410004,38.970001,88.019997,91.400002,27.709999,50.43,1768.400024,119.18,124.040001,170.350006,107.610001,67.339996
2017-04-12,141.740005,85.620003,209.199997,110.239998,334.570007,37.290001,14.15,77.139999,12.1,139.580002,824.320007,87.690002,81.870003,38.939999,86.339996,91.75,27.57,49.939999,1750.01001,118.230003,123.07,169.960007,105.57,65.150002
2017-04-13,140.889999,84.910004,211.320007,109.029999,330.0,37.139999,13.32,76.459999,11.9,139.389999,823.559998,86.550003,81.059998,39.0,84.910004,91.550003,27.190001,49.240002,1738.77002,117.470001,123.800003,168.949997,104.779999,62.709999
2017-04-17,140.839996,85.989998,213.869995,110.379997,330.359985,37.200001,12.87,76.830002,12.25,141.419998,837.169983,86.970001,81.949997,38.830002,85.279999,91.949997,27.120001,49.900002,1770.609985,118.050003,124.970001,170.119995,105.980003,62.860001
2017-04-18,140.910004,86.410004,213.100006,110.82,328.179993,37.59,12.44,77.43,12.3,140.960007,836.820007,86.870003,82.129997,38.5,85.839996,92.019997,27.75,48.939999,1763.310059,118.32,125.150002,172.210007,106.239998,62.32
2017-04-19,142.419998,87.93,213.630005,109.949997,333.609985,37.529999,11.73,78.019997,12.35,142.270004,838.210022,87.870003,81.989998,38.450001,85.529999,91.489998,28.02,48.189999,1763.199951,118.160004,125.07,171.940002,106.790001,63.900002
2017-04-20,146.559998,88.410004,218.210007,109.089996,335.589996,38.0,11.98,79.57,12.4,143.800003,841.650024,88.580002,83.290001,39.18,85.510002,92.769997,28.459999,48.540001,1760.800049,119.730003,124.279999,172.949997,107.900002,64.830002
2017-04-21,146.839996,88.580002,217.660004,108.279999,338.480011,38.16,11.95,78.809998,12.25,143.679993,843.190002,89.050003,83.470001,39.709999,85.419998,92.470001,28.41,48.560001,1752.01001,119.580002,123.779999,172.089996,108.279999,64.300003
2017-04-24,147.100006,90.139999,221.240005,112.550003,340.359985,38.009998,12.03,79.790001,12.2,145.470001,862.76001,90.089996,84.169998,40.790001,86.519997,93.519997,29.0,50.189999,1798.619995,123.010002,123.459999,173.029999,109.330002,64.769997
2017-04-25,145.669998,90.32,223.199997,113.919998,344.5,38.490002,12.52,80.690002,12.05,146.490005,872.299988,90.889999,84.510002,40.740002,87.010002,94.57,29.35,50.029999,1799.089966,124.699997,124.019997,172.539993,110.480003,65.349998
2017-04-26,145.779999,90.230003,221.679993,112.199997,345.399994,38.790001,12.66,81.730003,12.4,146.559998,871.72998,90.889999,85.230003,39.740002,87.059998,96.300003,29.790001,49.599998,1804.119995,125.110001,123.650002,170.479996,110.169998,64.559998
2017-04-27,143.190002,90.629997,223.089996,112.230003,348.799988,39.59,11.89,83.129997,12.45,147.699997,874.25,91.610001,85.269997,38.450001,87.419998,95.739998,31.01,51.02,1835.869995,125.480003,125.330002,171.059998,113.529999,63.419998
2017-04-28,142.139999,90.07,220.809998,113.239998,345.160004,39.189999,11.7,82.769997,12.45,150.25,905.960022,91.160004,84.879997,38.099998,84.760002,94.419998,30.709999,50.939999,1846.819946,124.980003,126.489998,172.539993,111.959999,62.25
2017-05-01,140.529999,91.980003,221.320007,111.400002,344.140015,39.189999,11.71,80.75,12.35,152.460007,912.570007,90.989998,84.400002,38.389999,83.459999,95.580002,30.969999,50.860001,1869.920044,124.959999,127.25,172.070007,111.599998,62.200001
2017-05-02,142.550003,93.449997,225.449997,112.269997,337.690002,39.34,11.27,81.699997,12.5,152.779999,916.440002,89.779999,85.379997,37.490002,83.540001,97.099998,30.959999,51.419998,1880.52002,125.57,128.979996,174.580002,111.089996,64.330002
2017-05-03,142.820007,93.349998,224.899994,113.040001,324.48999,38.540001,11.29,81.919998,12.45,151.800003,927.039978,86.269997,85.529999,37.560001,81.879997,96.989998,31.110001,51.240002,1876.790039,125.529999,127.839996,173.740005,110.879997,62.619999
2017-05-04,144.809998,93.25,223.399994,119.470001,322.600006,38.290001,10.16,81.959999,12.4,150.850006,931.659973,85.910004,85.400002,37.34,81.419998,96.879997,30.719999,49.560001,1910.410034,126.32,128.190002,177.199997,110.330002,60.560001
