,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_price,end_price,stdev,stdev_np,mean_np
0,aap,2017-03-01,2017-09-21,-0.598833280144,-0.401298110702,-1.08987656986,156.541779,93.68,0.0253958607373,0.0253958607373,-0.00323435087433
1,adsk,2017-03-01,2017-09-21,0.597954281643,0.301158714908,1.03446090724,88.93,112.290001,0.0189650883526,0.0189650883526,0.00201508860341
2,avgo,2017-03-01,2017-09-21,0.291219623014,0.154362793744,0.334902566466,212.392334,240.380005,0.0156412212954,0.0156412212954,0.0011251498615
3,bud,2017-03-01,2017-09-21,0.163536380057,0.0887916654071,0.2878240289,107.881783,116.980003,0.0115727540797,0.0115727540797,0.000660702943256
4,chtr,2017-03-01,2017-09-21,0.21908468512,0.117687083623,0.416260901729,325.170013,361.079987,0.0140697978744,0.0140697978744,0.000876039481243
5,cmcsa,2017-03-01,2017-09-21,0.0172770466989,0.0096670701742,0.00466480260869,37.279842,37.470001,0.0110775848749,0.0110775848749,0.000128887764671
6,crc,2017-03-01,2017-09-21,-0.632169422299,-0.429770597103,-0.859750414327,18.85,10.19,0.0483968192373,0.0483968192373,-0.00277769608662
7,dltr,2017-03-01,2017-09-21,0.154901721101,0.0842462050078,0.26023489145,76.839996,83.139999,0.0134561168584,0.0134561168584,0.000655543815787
8,dspg,2017-03-01,2017-09-21,0.365878303038,0.191387559809,0.497594492132,10.65,12.45,0.0193213724691,0.0193213724691,0.00140782983761
9,fb,2017-03-01,2017-09-21,0.51425879362,0.26243182704,0.200560929512,137.419998,171.110001,0.00978271510438,0.00978271510438,0.00167856467225
10,goog,2017-03-01,2017-09-21,0.248392823637,0.132700024393,0.0745178470912,835.23999,932.450012,0.010000102275,0.010000102275,0.000921517766211
11,lbrdk,2017-03-01,2017-09-21,0.201199619005,0.108447751723,0.342039352309,85.529999,95.260002,0.0118007451087,0.0118007451087,0.000789225843455
12,low,2017-03-01,2017-09-21,0.10866842024,0.0596501416556,0.0858480519894,80.658112,78.040001,0.0144257005442,0.0144257005442,0.000507489948316
13,lsxma,2017-03-01,2017-09-21,0.132650821555,0.0724637135793,0.156527969435,39.639999,42.18,0.0142395552665,0.0142395552665,0.000589039046786
14,lyb,2017-03-01,2017-09-21,0.150999570824,0.0821871477653,0.00754997854122,91.086052,95.790001,0.0125990288307,0.0125990288307,0.00063134456847
15,mar,2017-03-01,2017-09-21,0.47651518984,0.244661087186,0.571818227808,87.91539,107.57,0.0120664760343,0.0120664760343,0.00160343289083
16,mgm,2017-03-01,2017-09-21,0.533280208153,0.271314015283,0.0106656041631,26.538729,33.060001,0.0148440083691,0.0148440083691,0.00178966219831
17,mpc,2017-03-01,2017-09-21,0.208531765625,0.112242744764,0.333650825,50.253132,54.369999,0.0140489232718,0.0140489232718,0.00084231943027
18,pcln,2017-03-01,2017-09-21,0.151569287999,0.0824879623854,0.231901010638,1733.180054,1866.349976,0.011267774084,0.011267774084,0.000618477010647
19,px,2017-03-01,2017-09-21,0.361052899514,0.189021798414,0.371884486499,118.161034,138.570007,0.00895142660486,0.00895142660486,0.00125107001887
20,sbac,2017-03-01,2017-09-21,0.493260948985,0.252569739636,0.241697865002,115.360001,145.009995,0.0091927436588,0.0091927436588,0.00161796773413
21,stz,2017-03-01,2017-09-21,0.536692958977,0.272902502471,0.22541104277,158.718079,201.020004,0.00960534965161,0.00960534965161,0.00173380734498
22,unp,2017-03-01,2017-09-21,0.150026623625,0.0816732739406,0.150026623625,108.86908,115.440002,0.0105398650172,0.0105398650172,0.000604531506502
23,wlk,2017-03-01,2017-09-21,0.55278879119,0.280373658524,0.508565687895,65.793671,80.739998,0.0154803464124,0.0154803464124,0.00184894761441
