Date,AAL,DAL,JBLU
2014-08-08,36.13229,34.723598,11.46
2014-08-11,36.900036,35.154762,11.74
2014-08-12,36.462708,34.982292,11.62
2014-08-13,37.045803,35.710503,11.88
2014-08-14,38.454945,36.793217,11.8
2014-08-15,38.085655,36.917774,11.91
2014-08-18,39.514225,37.856762,12.28
2014-08-19,39.290703,37.885509,12.33
2014-08-20,39.455914,38.824509,12.73
2014-08-21,38.396633,38.240025,12.47
2014-08-22,38.727055,38.719109,12.6
2014-08-25,38.309166,38.824509,12.61
2014-08-26,37.988472,38.230446,12.44
2014-08-27,37.891281,38.479565,12.38
2014-08-28,38.066212,38.220867,12.41
2014-08-29,37.784386,37.923843,12.23
2014-09-02,39.358734,39.217354,12.64
2014-09-03,38.037052,37.195644,12.36
2014-09-04,37.385937,37.645969,12.53
2014-09-05,36.783398,37.578903,12.54
2014-09-08,37.152699,37.406437,12.47
2014-09-09,36.890308,37.195644,12.04
2014-09-10,37.49284,37.895092,12.29
2014-09-11,37.016655,37.904675,12.24
2014-09-12,36.589046,38.029236,12.19
2014-09-15,36.025383,37.559738,11.26
2014-09-16,36.90974,37.866352,11.42
2014-09-17,36.404396,37.310619,11.2
2014-09-18,36.977772,37.789692,11.33
2014-09-19,35.597786,37.02317,11.36
2014-09-22,34.577377,36.362041,10.9
2014-09-23,34.334419,36.122501,10.77
2014-09-24,35.102161,36.084171,10.65
2014-09-25,34.2178,35.126026,10.4
2014-09-26,34.917515,34.991871,10.58
2014-09-29,34.042877,34.493641,10.53
2014-09-30,34.480194,34.637363,10.62
2014-10-01,33.420902,33.439667,10.25
2014-10-02,32.973881,33.803761,10.59
2014-10-03,35.209064,35.403885,11.13
2014-10-06,33.945694,34.599033,10.85
2014-10-07,33.129364,33.794182,10.65
2014-10-08,32.07008,33.353432,10.82
2014-10-09,31.078825,32.299454,10.68
2014-10-10,29.912636,31.53293,10.06
2014-10-13,27.774632,29.607037,9.41
2014-10-14,30.622066,31.417953,10.23
2014-10-15,30.796995,31.025114,10.3
2014-10-16,32.040928,31.925776,11.22
2014-10-17,32.439373,32.951004,10.86
2014-10-20,34.227531,34.531956,11.23
2014-10-21,36.783398,35.911709,11.56
2014-10-22,35.996235,35.739239,11.18
2014-10-23,37.39566,36.333294,10.86
2014-10-24,38.697891,37.789692,10.96
2014-10-27,38.785355,38.086723,11.08
2014-10-28,39.106064,38.172962,11.38
2014-10-29,38.81451,37.923843,11.54
2014-10-30,39.262672,37.502243,11.18
2014-10-31,40.285648,38.546631,11.54
2014-11-03,40.918915,38.910736,11.74
2014-11-04,41.600895,40.549183,12.14
2014-11-05,41.162479,40.20351,12.13
2014-11-06,42.029575,41.192524,12.81
2014-11-07,42.08802,40.990875,12.56
2014-11-10,42.701809,41.643818,13.09
2014-11-11,42.321846,42.095108,12.95
2014-11-12,42.312103,41.672623,12.53
2014-11-13,42.984344,42.32555,12.59
2014-11-14,42.877174,42.008698,12.6
2014-11-17,42.565418,41.701424,12.38
2014-11-18,43.890411,43.007286,12.72
2014-11-19,42.964859,42.680828,13.25
2014-11-20,43.023315,42.21032,13.44
2014-11-21,42.195194,41.374958,13.25
2014-11-24,42.097767,41.77824,13.44
2014-11-25,43.01358,42.32555,13.65
2014-11-26,43.812469,42.479183,13.6
2014-11-28,47.280827,44.812473,14.63
2014-12-01,46.647564,43.80426,14.56
2014-12-02,46.628075,42.892075,14.9
2014-12-03,46.998295,42.968891,14.82
2014-12-04,48.372013,44.572418,15.09
2014-12-05,49.696991,45.398186,15.19
2014-12-08,49.511887,45.455803,15.51
2014-12-09,47.066498,44.486008,15.05
2014-12-10,47.680279,44.380379,15.15
2014-12-11,49.229347,46.406399,15.29
2014-12-12,48.683762,45.782269,14.81
2014-12-15,49.531372,45.897488,14.94
2014-12-16,46.725506,43.573814,14.44
2014-12-17,47.54388,44.332367,15.13
2014-12-18,48.849392,44.908493,15.37
2014-12-19,49.404724,45.494205,15.37
2014-12-22,49.531372,45.523014,15.4
2014-12-23,48.917587,45.254162,15.29
2014-12-24,50.106186,46.137543,15.5
2014-12-26,50.622543,46.464008,15.68
2014-12-29,51.489635,46.838486,15.7
2014-12-30,52.044964,47.270573,15.89
2014-12-31,52.249557,47.232166,15.86
2015-01-02,52.522354,47.222569,15.79
2015-01-05,52.49313,46.435207,15.22
2015-01-06,51.674747,45.34058,14.97
2015-01-07,51.645512,45.100525,15.1
2015-01-08,52.278786,46.271973,14.88
2015-01-09,50.681,45.014103,14.38
2015-01-12,48.303802,44.226746,14.55
2015-01-13,49.102692,44.754856,14.81
2015-01-14,48.138176,43.506596,14.67
2015-01-15,48.138176,43.256943,14.75
2015-01-16,48.527885,44.015503,14.85
2015-01-20,51.392208,47.212959,15.22
2015-01-21,52.288521,47.222569,15.28
2015-01-22,54.159107,48.682072,16.48
2015-01-23,54.256531,48.547646,16.549999
2015-01-26,54.022713,48.153961,16.4
2015-01-27,51.343494,47.222569,16.25
2015-01-28,49.317039,46.531223,15.77
2015-01-29,50.89534,48.211571,17.16
2015-01-30,47.816677,45.426994,16.790001
2015-02-02,47.465946,44.658836,16.639999
2015-02-03,46.27734,44.178734,16.18
2015-02-04,48.18689,45.090919,16.73
2015-02-05,47.649967,44.303558,16.879999
2015-02-06,47.005657,43.698635,17.0
2015-02-09,45.424152,42.680828,16.379999
2015-02-10,46.908031,43.516201,16.719999
2015-02-11,46.458961,43.189732,16.559999
2015-02-12,46.742069,43.026505,16.74
2015-02-13,47.239952,42.728836,16.83
2015-02-17,46.868977,42.978489,16.82
2015-02-18,48.138077,43.555771,16.83
2015-02-19,48.596905,44.181156,17.02
2015-02-20,49.807446,45.643597,17.49
2015-02-23,50.090557,45.403061,17.780001
2015-02-24,50.295559,46.211258,18.07
2015-02-25,48.5481,45.066319,17.530001
2015-02-26,48.177128,44.181156,17.35
2015-02-27,46.761593,42.834167,17.190001
2015-03-02,47.16185,43.671223,17.57
2015-03-03,47.610916,44.046452,17.879999
2015-03-04,47.78664,43.440311,17.940001
2015-03-05,47.24971,42.709091,17.48
2015-03-06,46.859215,42.122189,17.18
2015-03-09,46.78112,42.882278,17.190001
2015-03-10,45.629158,41.775814,16.98
2015-03-11,46.263718,42.353104,17.139999
2015-03-12,47.523052,43.613499,18.1
2015-03-13,48.050224,43.777061,18.120001
2015-03-16,49.026455,44.412071,18.700001
2015-03-17,52.413982,44.883511,19.16
2015-03-18,52.843521,44.075321,19.24
2015-03-19,53.878338,45.470402,19.370001
2015-03-20,54.434788,45.624348,19.48
2015-03-23,53.107113,44.81617,19.440001
2015-03-24,52.648281,44.286991,19.58
2015-03-25,50.773914,42.834167,18.780001
2015-03-26,50.051506,42.420448,18.52
2015-03-27,51.408463,43.180538,19.280001
2015-03-30,52.365173,43.834789,19.360001
2015-03-31,51.525612,43.257504,19.25
2015-04-01,49.241226,41.621876,18.84
2015-04-02,48.011177,40.650124,18.91
2015-04-06,46.937313,40.178673,18.559999
2015-04-07,46.371098,40.063229,18.58
2015-04-08,47.581635,41.650745,19.290001
2015-04-09,46.703018,41.506424,19.129999
2015-04-10,46.595634,41.593018,19.049999
2015-04-13,46.654205,41.439075,19.85
2015-04-14,46.292999,41.4487,19.700001
2015-04-15,46.615154,42.526279,19.43
2015-04-16,47.093513,43.286373,19.559999
2015-04-17,47.044697,43.065075,19.42
2015-04-20,48.577389,43.998344,19.57
2015-04-21,50.139359,44.479416,19.83
2015-04-22,50.17841,44.768055,19.67
2015-04-23,50.227222,44.671848,19.75
2015-04-24,51.457283,45.201019,19.889999
2015-04-27,50.637238,44.691086,19.709999
2015-04-28,49.973404,44.45055,21.02
2015-04-29,47.718304,43.324856,20.73
2015-04-30,47.238968,42.949619,20.530001
2015-05-01,48.315022,43.930992,21.559999
2015-05-04,47.884605,43.575016,21.58
