Date,AAL,DAL,JBLU,LUV
2011-06-06,8.288057,8.840596,5.58,10.756151
2011-06-07,8.29775,8.774268,5.59,10.86151
2011-06-08,8.006942,8.660563,5.5,10.612481
2011-06-09,7.793682,8.698466,5.5,10.583747
2011-06-10,7.851844,8.736367,5.61,10.468809
2011-06-13,7.958473,8.774268,5.66,10.468809
2011-06-14,7.919698,9.001678,5.7,10.62206
2011-06-15,7.97786,8.840596,5.62,10.31556
2011-06-16,7.97786,8.906925,5.76,10.31556
2011-06-17,8.142652,9.077482,5.94,10.478387
2011-06-20,8.336525,9.181713,6.0,10.574166
2011-06-21,8.384995,9.29542,6.13,10.689104
2011-06-22,8.220201,9.086958,6.08,10.555013
2011-06-23,8.637029,9.4186,6.19,10.928557
2011-06-24,8.423768,8.935351,6.06,10.880664
2011-06-27,8.869674,9.153286,6.13,10.9094
2011-06-28,8.850288,8.897449,6.18,10.947713
2011-06-29,8.578866,8.717417,6.09,10.9094
2011-06-30,8.637029,8.688992,6.1,10.938136
2011-07-01,8.666109,8.802696,6.25,11.148849
2011-07-05,8.191122,8.641614,5.96,10.9094
2011-07-06,8.084492,8.651089,6.01,10.966868
2011-07-07,8.132959,8.916402,6.12,11.120119
2011-07-08,7.958473,8.85955,6.05,10.89982
2011-07-11,7.813069,8.527908,5.88,10.574166
2011-07-12,7.706439,8.158363,5.79,10.449653
2011-07-13,7.657971,8.243644,5.66,10.420918
2011-07-14,7.405937,8.06361,5.61,10.296402
2011-07-15,7.212063,7.968855,5.61,10.26767
2011-07-18,6.814625,7.637216,5.42,10.01864
2011-07-19,6.795238,7.826725,5.54,10.133579
2011-07-20,6.688608,7.71302,5.48,10.047376
2011-07-21,6.688608,7.741446,5.5,10.02822
2011-07-22,6.591672,7.675118,5.42,9.98033
2011-07-25,6.300862,7.447706,5.28,9.807924
2011-07-26,6.194232,7.599314,4.83,9.692986
2011-07-27,5.990666,7.21082,4.7,9.520583
2011-07-28,5.796793,7.22977,4.65,9.376912
2011-07-29,6.048827,7.476132,4.79,9.539739
2011-08-01,5.777406,7.390853,4.69,9.309865
2011-08-02,5.350885,7.040261,4.4,8.993792
2011-08-03,5.719244,7.153967,4.54,9.242818
2011-08-04,5.457516,6.651768,4.25,8.466999
