Date,AAPL,AMZN,MSFT,PCLN
2016-05-25,97.365761,708.349976,50.578625,1270.180054
2016-05-26,98.137901,714.909973,50.355423,1269.02002
2016-05-27,98.079239,712.23999,50.772713,1273.0
2016-05-31,97.600334,722.789978,51.432602,1264.329956
2016-06-01,96.232025,719.440002,51.287037,1278.0
2016-06-02,95.508759,728.23999,50.927979,1290.0
2016-06-03,95.704224,725.539978,50.258389,1301.709961
2016-06-06,96.398163,726.72998,50.588333,1349.099976
2016-06-07,96.789108,723.73999,50.559216,1360.0
2016-06-08,96.701157,726.640015,50.500992,1354.829956
2016-06-09,97.395081,727.650024,50.09341,1340.069946
2016-06-10,96.593636,717.909973,49.957554,1318.900024
2016-06-13,95.137352,715.23999,48.657181,1315.469971
2016-06-14,95.254646,719.299988,48.35635,1304.099976
2016-06-15,94.941887,714.26001,48.22049,1305.420044
2016-06-16,95.342613,717.51001,48.899788,1323.890015
2016-06-17,93.172836,706.390015,48.64748,1309.23999
2016-06-20,92.948044,714.01001,48.589252,1341.959961
2016-06-21,93.739723,715.820007,49.676128,1343.050049
2016-06-22,93.387871,710.599976,49.482048,1360.099976
2016-06-23,93.925415,722.080017,50.374836,1390.199951
2016-06-24,91.286514,698.960022,48.35635,1232.140015
2016-06-27,89.957291,691.359985,46.997757,1186.050049
2016-06-28,91.472214,707.950012,47.977886,1204.25
2016-06-29,92.263885,715.599976,49.045349,1239.410034
2016-06-30,93.436729,715.619995,49.656723,1248.410034
2016-07-01,93.720169,725.679993,49.647018,1267.369995
2016-07-05,92.840523,728.099976,49.656723,1275.030029
2016-07-06,93.368317,737.609985,49.860512,1292.040039
2016-07-07,93.769043,736.570007,49.860512,1297.26001
2016-07-08,94.492294,745.809998,50.753307,1329.459961
2016-07-11,94.7855,753.780029,51.034729,1351.030029
2016-07-12,95.215546,748.210022,51.636391,1345.430054
2016-07-13,94.678001,742.630005,51.927517,1338.650024
2016-07-14,96.554558,741.200012,52.150719,1346.180054
2016-07-15,96.544777,735.440002,52.1119,1330.569946
2016-07-18,97.571014,736.070007,52.364212,1341.359985
2016-07-19,97.610107,739.950012,51.519943,1327.0
2016-07-20,97.698074,745.719971,54.256546,1352.829956
2016-07-21,97.180069,744.429993,54.149796,1332.5
2016-07-22,96.42749,744.859985,54.897022,1327.400024
2016-07-25,95.137352,739.609985,55.052292,1321.670044
2016-07-26,94.482521,735.590027,55.081406,1324.530029
2016-07-27,100.620415,736.669983,54.528259,1324.47998
2016-07-28,101.978951,752.609985,54.547668,1326.099976
2016-07-29,101.851898,758.809998,55.003773,1350.810059
2016-08-01,103.650261,767.73999,54.906734,1356.079956
2016-08-02,102.115791,760.580017,54.906734,1345.380005
2016-08-03,103.396149,754.640015,55.285198,1371.140015
2016-08-04,104.034889,760.77002,55.692776,1359.98999
2016-08-05,105.616966,765.97998,56.245914,1414.219971
2016-08-08,106.491547,766.559998,56.34296,1405.0
2016-08-09,106.92392,768.309998,56.478825,1407.01001
2016-08-10,106.12796,768.559998,56.304142,1406.280029
2016-08-11,106.059174,771.23999,56.575859,1406.920044
2016-08-12,106.30484,772.559998,56.226505,1407.97998
2016-08-15,107.582306,768.48999,56.40118,1399.160034
2016-08-16,107.484032,764.039978,56.088711,1408.660034
2016-08-17,107.32682,764.630005,56.205887,1427.199951
2016-08-18,107.189247,764.460022,56.244946,1443.069946
2016-08-19,107.464386,757.309998,56.264477,1432.0
2016-08-22,106.62912,759.47998,56.313301,1423.98999
2016-08-23,106.963219,762.450012,56.528126,1422.469971
2016-08-24,106.15744,757.25,56.586712,1410.180054
2016-08-25,105.705414,759.219971,56.801537,1415.550049
2016-08-26,105.086334,769.0,56.664833,1419.790039
2016-08-29,104.968414,771.289978,56.733185,1425.189941
2016-08-30,104.162621,767.580017,56.528126,1416.550049
2016-08-31,104.260887,769.159973,56.108238,1416.72998
2016-09-01,104.879982,770.619995,56.23518,1418.589966
2016-09-02,105.862648,772.440002,56.313301,1422.849976
2016-09-06,105.833153,788.869995,56.254715,1436.959961
2016-09-07,106.48172,784.47998,56.303535,1444.01001
2016-09-08,103.690956,784.059998,56.078945,1445.829956
2016-09-09,101.342369,760.140015,54.887646,1413.900024
2016-09-12,103.612335,771.48999,55.707886,1436.209961
2016-09-13,106.078827,761.01001,55.200119,1415.949951
2016-09-14,109.832603,761.090027,54.93647,1429.380005
2016-09-15,113.566742,769.690002,55.844593,1457.219971
2016-09-16,112.928009,778.52002,55.903187,1460.050049
2016-09-19,111.611237,775.099976,55.59071,1448.060059
2016-09-20,111.60141,780.219971,55.473537,1449.0
2016-09-21,111.581757,789.73999,56.401176,1464.0
2016-09-22,112.633217,804.700012,56.45977,1465.869995
2016-09-23,110.756317,805.75,56.078945,1456.76001
2016-09-26,110.923363,799.159973,55.561417,1447.150024
2016-09-27,111.129723,816.109985,56.586712,1453.48999
2016-09-28,111.974823,828.719971,56.664833,1458.030029
2016-09-29,110.235504,829.049988,56.049652,1472.97998
2016-09-30,111.090431,837.309998,56.244946,1471.48999
2016-10-03,110.569603,836.73999,56.069183,1486.719971
2016-10-04,111.04129,834.030029,55.893414,1489.02002
2016-10-05,111.090431,844.359985,56.284008,1497.579956
2016-10-06,111.915863,841.659973,56.38166,1490.439941
2016-10-07,112.082916,839.429993,56.440243,1479.819946
2016-10-10,114.038429,841.710022,56.674595,1475.180054
2016-10-11,114.284088,831.0,55.844593,1459.02002
2016-10-12,115.306061,834.090027,55.766476,1454.839966
2016-10-13,114.952301,829.280029,55.58094,1442.52002
2016-10-14,115.591034,822.960022,56.069183,1439.569946
2016-10-17,115.512428,812.950012,55.87389,1437.650024
2016-10-18,115.433815,817.650024,56.303535,1454.969971
2016-10-19,115.089874,817.690002,56.176594,1469.199951
2016-10-20,115.030914,810.320007,55.903187,1468.290039
2016-10-21,114.57888,818.98999,58.256485,1467.390015
2016-10-24,115.61068,838.090027,59.564964,1471.800049
2016-10-25,116.200294,835.179993,59.555199,1479.030029
2016-10-26,113.586395,822.590027,59.203667,1469.160034
2016-10-27,112.495644,818.359985,58.686134,1463.02002
2016-10-28,111.748817,776.320007,58.461548,1474.819946
2016-10-31,111.57193,789.820007,58.510365,1474.22998
2016-11-01,109.557465,785.409973,58.393192,1467.0
2016-11-02,109.655731,765.559998,58.031898,1445.329956
2016-11-03,108.480354,767.030029,57.81707,1438.099976
2016-11-04,107.502518,755.049988,57.328835,1424.280029
2016-11-07,109.053238,784.929993,58.998608,1480.329956
2016-11-08,109.695236,787.75,59.047428,1578.130005
2016-11-09,109.517456,771.880005,58.754486,1570.26001
2016-11-10,106.465424,742.380005,57.319069,1554.319946
2016-11-11,107.097557,739.01001,57.631542,1540.650024
2016-11-14,104.41098,719.070007,56.752712,1489.180054
2016-11-15,105.793777,743.23999,57.873413,1497.449951
2016-11-16,108.638382,746.48999,58.640213,1503.22998
2016-11-17,108.598877,756.400024,59.613453,1512.900024
2016-11-18,108.707527,760.159973,59.328362,1507.349976
2016-11-21,110.35701,780.0,59.829727,1524.180054
2016-11-22,110.426147,785.330017,60.085323,1535.420044
2016-11-23,109.863159,780.119995,59.377514,1520.98999
2016-11-25,110.416275,780.369995,59.50531,1521.680054
2016-11-28,110.198975,766.77002,59.583958,1525.069946
2016-11-29,110.090332,762.52002,60.055836,1520.27002
2016-11-30,109.16188,750.570007,59.239883,1503.680054
2016-12-01,108.144531,743.650024,58.197826,1479.660034
2016-12-02,108.5495,740.340027,58.246979,1473.0
2016-12-05,107.769203,759.359985,59.200565,1499.76001
2016-12-06,108.598877,764.719971,58.935135,1504.819946
2016-12-07,109.665604,770.419983,60.331097,1527.040039
2016-12-08,110.742218,767.330017,59.977184,1548.670044
2016-12-09,112.549728,768.659973,60.92094,1557.97998
2016-12-12,111.907722,760.119995,61.11755,1536.780029
2016-12-13,113.77449,774.340027,61.913837,1540.109985
2016-12-14,113.77449,768.820007,61.618916,1528.449951
2016-12-15,114.396751,761.0,61.520611,1501.199951
2016-12-16,114.544907,757.77002,61.24535,1484.280029
2016-12-19,115.206673,766.0,62.543003,1488.829956
2016-12-20,115.512863,771.219971,62.464359,1502.25
2016-12-21,115.621513,770.599976,62.464359,1505.76001
2016-12-22,114.860977,766.340027,62.474186,1481.339966
2016-12-23,115.088142,760.590027,62.169441,1486.199951
2016-12-27,115.819054,771.400024,62.208755,1493.420044
2016-12-28,115.325203,772.130005,61.923668,1480.459961
2016-12-29,115.29557,765.150024,61.835197,1480.160034
2016-12-30,114.396751,749.869995,61.088055,1466.060059
2017-01-03,114.722694,753.669983,61.520611,1477.569946
2017-01-04,114.594292,757.179993,61.24535,1487.290039
2017-01-05,115.17704,780.450012,61.24535,1503.699951
2017-01-06,116.461075,795.98999,61.776207,1520.569946
2017-01-09,117.527794,796.919983,61.579594,1529.640015
2017-01-10,117.646317,795.900024,61.559933,1535.25
2017-01-11,118.278458,799.02002,62.120285,1536.109985
2017-01-12,117.784599,813.640015,61.550102,1538.589966
2017-01-13,117.577179,817.140015,61.63858,1545.819946
2017-01-17,118.525383,809.719971,61.471455,1540.130005
2017-01-18,118.515503,807.47998,61.441967,1541.859985
2017-01-19,118.308083,809.039978,61.24535,1539.02002
2017-01-20,118.525383,808.330017,61.677898,1545.01001
2017-01-23,118.604401,817.880005,61.894176,1554.98999
2017-01-24,118.495758,822.440002,62.444698,1563.329956
2017-01-25,120.382278,836.52002,62.601986,1578.819946
2017-01-26,120.441551,839.150024,63.181995,1581.439941
2017-01-27,120.451416,835.77002,64.666435,1602.920044
2017-01-30,120.135345,830.380005,64.027435,1602.310059
2017-01-31,119.858795,823.47998,63.555569,1575.130005
2017-02-01,127.167854,832.349976,62.503681,1575.310059
2017-02-02,126.950554,839.950012,62.10062,1574.089966
2017-02-03,127.493805,810.200012,62.601986,1583.380005
2017-02-06,128.688934,807.640015,62.562668,1587.180054
2017-02-07,129.913696,812.5,62.35622,1598.699951
2017-02-08,130.417435,819.710022,62.267746,1601.189941
2017-02-09,131.359818,821.359985,62.975552,1611.829956
2017-02-10,131.062225,827.460022,62.916569,1646.51001
2017-02-13,132.222839,836.530029,63.624386,1646.180054
2017-02-14,133.939011,836.390015,63.861748,1637.290039
2017-02-15,134.425079,842.700012,63.822189,1648.959961
2017-02-16,134.266357,844.140015,63.812298,1648.880005
2017-02-17,134.633408,845.070007,63.911205,1637.400024
2017-02-21,135.60556,856.440002,63.782627,1647.0
2017-02-22,136.012268,855.609985,63.654053,1651.73999
2017-02-23,135.43692,852.190002,63.911205,1637.26001
2017-02-24,135.565887,845.23999,63.911205,1631.619995
2017-02-27,135.83371,848.640015,63.525482,1632.01001
2017-02-28,135.89325,845.039978,63.278221,1724.130005
2017-03-01,138.670807,853.080017,64.227699,1733.180054
2017-03-02,137.847473,848.909973,63.307896,1734.369995
2017-03-03,138.660889,849.880005,63.545258,1735.099976
2017-03-06,138.224426,846.609985,63.565041,1730.209961
2017-03-07,138.402985,846.02002,63.693615,1736.459961
2017-03-08,137.887146,850.5,64.277138,1743.48999
2017-03-09,137.569687,853.0,64.020004,1749.420044
2017-03-10,138.026016,852.460022,64.217804,1754.23999
2017-03-13,138.085541,854.590027,64.000214,1767.119995
2017-03-14,137.877228,852.530029,63.70351,1769.0
2017-03-15,139.335464,852.969971,64.03978,1767.97998
2017-03-16,139.563614,853.419983,63.930984,1773.97998
2017-03-17,138.869217,852.309998,64.158463,1772.630005
2017-03-20,140.327454,856.969971,64.217804,1765.439941
2017-03-21,138.720413,843.200012,63.505699,1747.140015
2017-03-22,140.287766,848.059998,64.316704,1751.98999
2017-03-23,139.791763,847.380005,64.158463,1748.329956
2017-03-24,139.514008,845.609985,64.267258,1753.109985
2017-03-27,139.752106,846.820007,64.385933,1772.0
2017-03-28,142.648712,856.0,64.573853,1788.449951
2017-03-29,142.966141,874.320007,64.751884,1785.050049
2017-03-30,142.777664,876.340027,64.98925,1789.199951
2017-03-31,142.509842,886.539978,65.137604,1779.969971
2017-04-03,142.549515,891.51001,64.831001,1773.98999
2017-04-04,143.610962,906.830017,65.009033,1767.380005
2017-04-05,142.866959,909.280029,64.840889,1761.77002
2017-04-06,142.509842,898.280029,65.009033,1773.52002
2017-04-07,142.192398,894.880005,64.959579,1769.560059
2017-04-10,142.023758,907.039978,64.811218,1775.969971
2017-04-11,140.496094,902.359985,64.761772,1768.400024
2017-04-12,140.664734,896.22998,64.514511,1750.01001
2017-04-13,139.920731,884.669983,64.237579,1738.77002
2017-04-17,140.694489,901.98999,64.761772,1770.609985
2017-04-18,140.069519,903.780029,64.67276,1763.310059
2017-04-19,139.553696,899.200012,64.326599,1763.199951
2017-04-20,141.299591,902.059998,64.781548,1760.800049
2017-04-21,141.130966,898.530029,65.671677,1752.01001
