Date,ALGN,CELG,FB,MRK,MSFT,THO
2017-06-15,144.020004,120.610001,149.800003,62.736229,69.529556,105.259499
2017-06-16,145.259995,122.360001,150.639999,62.517811,69.629028,104.800941
2017-06-19,149.699997,125.160004,152.869995,63.22271,70.494415,106.196556
2017-06-20,146.990005,126.220001,152.25,64.066605,69.539505,105.100006
2017-06-21,149.419998,132.830002,153.910004,64.989929,69.897591,107.029999
2017-06-22,149.690002,133.679993,153.399994,65.545906,69.88765,107.139999
2017-06-23,153.5,134.309998,155.070007,65.684906,70.832611,107.940002
2017-06-26,151.669998,133.850006,153.589996,65.446625,70.156219,108.800003
2017-06-27,149.339996,130.850006,150.580002,65.069351,68.843208,107.330002
2017-06-28,152.240005,134.229996,153.240005,64.692085,69.430092,108.589996
2017-06-29,148.619995,131.699997,151.039993,63.877968,68.127029,105.510002
2017-06-30,150.119995,129.869995,150.979996,63.629765,68.564697,104.519997
2017-07-03,149.029999,130.179993,148.429993,63.808472,67.808723,106.669998
2017-07-05,151.940002,133.199997,150.339996,63.699268,68.713905,104.879997
2017-07-06,149.740005,131.949997,148.820007,62.646873,68.206604,103.129997
2017-07-07,151.949997,132.559998,151.440002,62.706444,69.091888,103.150002
2017-07-10,151.580002,131.929993,153.5,62.378815,69.609138,102.970001
2017-07-11,151.589996,132.25,155.270004,61.892334,69.61908,102.650002
2017-07-12,152.509995,133.559998,158.899994,62.329174,70.772934,103.32
2017-07-13,152.190002,134.470001,159.259995,62.438385,71.389641,103.910004
2017-07-14,154.300003,134.570007,159.970001,62.607166,72.394295,105.440002
2017-07-17,156.210007,134.869995,159.729996,62.160397,72.961273,104.879997
2017-07-18,156.020004,134.270004,162.860001,61.96183,72.911537,103.980003
2017-07-19,159.279999,135.0,164.139999,62.170322,73.468567,104.790001
2017-07-20,160.169998,136.309998,164.529999,62.488022,73.82666,105.220001
2017-07-21,158.869995,137.740005,164.429993,62.180252,73.398941,104.190002
2017-07-24,161.190002,137.839996,166.0,62.120682,73.209946,105.370003
2017-07-25,158.559998,136.440002,165.279999,61.912189,73.796822,107.099998
2017-07-26,158.690002,137.75,165.610001,61.356209,73.657562,107.169998
2017-07-27,157.259995,134.149994,170.440002,63.232639,72.772285,106.589996
2017-07-28,173.059998,134.100006,172.449997,63.649624,72.652916,105.389999
2017-07-31,167.229996,135.410004,169.25,63.421276,72.314713,105.349998
2017-08-01,169.429993,135.179993,169.860001,63.460987,72.195358,105.68
2017-08-02,167.990005,134.850006,169.300003,62.984432,71.877052,103.800003
2017-08-03,170.460007,135.899994,168.589996,63.063862,71.767632,102.459999
2017-08-04,169.300003,136.699997,169.619995,62.646873,72.294823,104.68
2017-08-07,174.009995,137.059998,171.979996,62.388744,72.016312,105.309998
2017-08-08,173.619995,135.270004,171.229996,61.872478,72.404243,104.75
2017-08-09,175.770004,135.570007,171.179993,62.04126,72.085938,103.389999
2017-08-10,171.229996,130.369995,167.399994,61.733482,71.031555,101.699997
2017-08-11,173.559998,130.610001,168.080002,61.932049,72.115776,104.550003
2017-08-14,174.160004,132.960007,170.75,62.219963,73.199997,106.669998
2017-08-15,177.970001,131.369995,171.0,62.051186,73.220001,105.550003
2017-08-16,178.460007,131.259995,170.0,62.249748,73.650002,105.75
2017-08-17,169.360001,127.580002,166.910004,61.395924,72.400002,102.589996
2017-08-18,168.610001,127.650002,167.410004,61.048439,72.489998,102.730003
2017-08-21,167.979996,127.43,167.779999,61.52499,72.150002,103.449997
2017-08-22,172.550003,130.289993,169.639999,61.971756,73.160004,103.900002
2017-08-23,172.850006,129.190002,168.710007,61.703701,72.720001,103.68
2017-08-24,175.309998,130.050003,167.740005,62.259674,72.690002,103.440002
2017-08-25,172.550003,129.679993,166.320007,62.488022,72.82,103.589996
2017-08-28,175.110001,131.649994,167.240005,62.865295,72.830002,108.709999
2017-08-29,173.990005,132.440002,168.050003,62.666733,73.050003,107.370003
2017-08-30,174.880005,134.339996,169.919998,62.666733,74.010002,108.559998
2017-08-31,176.740005,138.929993,171.970001,63.401421,74.769997,108.639999
2017-09-01,176.380005,139.380005,172.020004,63.371635,73.940002,109.010002
2017-09-05,179.330002,139.350006,170.720001,63.163139,73.610001,110.739998
2017-09-06,176.630005,140.160004,172.089996,63.540413,73.400002,111.110001
2017-09-07,179.990005,141.759995,173.210007,63.858116,74.339996,109.470001
2017-09-08,181.440002,140.5,170.949997,63.808472,73.980003,109.699997
2017-09-11,184.119995,140.919998,173.509995,64.662292,74.760002,109.830002
2017-09-12,185.660004,142.070007,172.960007,64.989929,74.68,110.75
2017-09-13,183.570007,141.259995,173.050003,64.979996,75.209999,112.620003
2017-09-14,184.860001,140.610001,170.960007,66.120003,74.769997,112.839996
2017-09-15,184.5,142.039993,171.639999,66.160004,75.309998,113.139999
2017-09-18,188.339996,142.839996,170.009995,65.989998,75.160004,113.980003
2017-09-19,187.179993,143.470001,172.520004,65.949997,75.440002,114.900002
2017-09-20,188.779999,144.240005,172.169998,65.790001,74.940002,114.459999
2017-09-21,186.320007,143.779999,171.110001,65.599998,74.209999,115.330002
2017-09-22,188.0,143.889999,170.539993,65.129997,74.410004,114.940002
2017-09-25,184.889999,144.940002,162.869995,65.18,73.260002,117.050003
2017-09-26,184.199997,143.630005,164.210007,64.760002,73.260002,117.239998
2017-09-27,184.779999,142.970001,167.679993,64.57,73.849998,119.989998
2017-09-28,183.039993,142.759995,168.729996,64.290001,73.870003,123.07
2017-09-29,186.270004,145.820007,170.869995,64.029999,74.489998,125.910004
