,GOOGL,WFC,FB,BP,EVR,MSFT,RTN,MASI,AOS,CELG,LRCX,INTC,LPX,WRK,WMT,THO,MRO,T,MRK,XOM,JPM,LMT,HSBC,ALGN,JNJ
GOOGL,1.0,0.131541557532,0.733681540495,0.0293018878133,0.117958556547,0.658949681962,0.311865589612,0.32423151306,0.392416842499,0.40873496211,0.552588692452,0.290415928164,0.197854946838,0.210880771173,0.00854161050059,0.135735174482,-0.00605882705005,-0.00482857601387,0.112892236278,0.00736792818608,0.206795861791,0.295987467051,0.0721399171762,0.530079988101,0.215071764226
WFC,0.131541557532,1.0,0.15906148785,0.19007601482,0.630260821206,0.22481038153,0.143521371496,0.0865345548737,0.375311923077,0.234699911916,0.262930893242,0.21914876304,0.33802542495,0.415131789034,0.138814268759,0.266568907889,0.286433570594,0.235798166612,0.120193518599,0.351766447117,0.763263612052,0.181424807326,0.597518416439,-0.0515158331242,0.164010213111
FB,0.733681540495,0.15906148785,1.0,0.0679485881241,0.223602263099,0.636438735772,0.258858970342,0.407485194693,0.326009468505,0.346397791475,0.591717632344,0.441858085522,0.242396440533,0.262152436488,0.0886254666678,0.234621619782,-0.00302544868217,0.166196099119,0.219807209527,0.0254336926161,0.211885441405,0.236568756856,0.113521809857,0.433059189044,0.192827125668
BP,0.0293018878133,0.19007601482,0.0679485881241,1.0,0.270899677958,0.110914617059,0.102041865099,0.0842399748222,0.134354928501,0.00115451146027,0.0101830976709,0.233319085174,0.11188437039,0.124018337947,0.0346397871622,0.19580931985,0.512314112713,0.22004125307,0.17087477726,0.551612104833,0.259331008561,0.0678500202689,0.265092475273,-0.0267349764153,0.132222563904
EVR,0.117958556547,0.630260821206,0.223602263099,0.270899677958,1.0,0.220949491743,0.155794185324,0.108198315578,0.196345590154,0.238764254223,0.29113658951,0.16987501773,0.383095237275,0.442691034688,0.0764344613587,0.362520422188,0.293855562033,0.281336672114,0.146541412422,0.298748420549,0.626762845687,0.179069590657,0.387766632856,0.0116496051689,0.152888154669
MSFT,0.658949681962,0.22481038153,0.636438735772,0.110914617059,0.220949491743,1.0,0.293781650794,0.375075187313,0.484742839125,0.395725591557,0.606813166137,0.447473956327,0.25705710942,0.316204888224,0.0160808764568,0.353506480743,0.0391539422637,0.0472745726617,0.120332440223,0.0149735590214,0.237275442008,0.325209857332,0.176331860897,0.305861462036,0.258541509879
RTN,0.311865589612,0.143521371496,0.258858970342,0.102041865099,0.155794185324,0.293781650794,1.0,0.17479499037,0.424623584504,0.189712707666,0.199235117741,0.354029855941,0.0921244324635,0.236081604488,0.197551167006,0.0202859809349,0.033305894579,0.114084308739,0.135732388673,0.0357270101147,0.194277942505,0.754593611989,0.0653872634349,0.253144964897,0.217534861924
MASI,0.32423151306,0.0865345548737,0.407485194693,0.0842399748222,0.108198315578,0.375075187313,0.17479499037,1.0,0.223650219566,0.184518065118,0.338560920941,0.259353531895,0.145932440221,0.192884965976,0.046642074652,0.176270038529,-0.0280064970805,0.0556190456013,0.103852551662,0.0811493781651,0.161967965131,0.212203532911,-0.0656077797523,0.0304926500583,0.0637176386783
AOS,0.392416842499,0.375311923077,0.326009468505,0.134354928501,0.196345590154,0.484742839125,0.424623584504,0.223650219566,1.0,0.289741061822,0.374926753529,0.364281724055,0.297991091349,0.49008883823,0.0448681267332,0.213500821928,0.0832560986783,0.0513555122215,0.13334952849,0.0435120062148,0.388817651529,0.405422139584,0.295805937508,0.254411421669,0.264150963125
CELG,0.40873496211,0.234699911916,0.346397791475,0.00115451146027,0.238764254223,0.395725591557,0.189712707666,0.184518065118,0.289741061822,1.0,0.377578885662,0.230876732051,0.413642091159,0.210580598739,0.0915205348649,0.256138927402,0.0397712347494,0.0801581933987,0.27907761358,0.0234035833443,0.305769726568,0.247977772668,0.197417114865,0.29510255309,0.343138137793
LRCX,0.552588692452,0.262930893242,0.591717632344,0.0101830976709,0.29113658951,0.606813166137,0.199235117741,0.338560920941,0.374926753529,0.377578885662,1.0,0.361529213981,0.340095965589,0.361504718061,0.106561090523,0.321824059159,-0.0806512665433,0.114345731266,0.0611602768647,0.00821653712775,0.197924879346,0.250699455764,0.145037064993,0.271441576939,0.198339150797
INTC,0.290415928164,0.21914876304,0.441858085522,0.233319085174,0.16987501773,0.447473956327,0.354029855941,0.259353531895,0.364281724055,0.230876732051,0.361529213981,1.0,0.149137305641,0.245608297665,0.247818647916,0.149858162146,0.0602009080653,0.170182615845,0.211999592115,0.084469459189,0.26356151559,0.353440262565,0.12617119451,0.0497766038252,0.160986581006
LPX,0.197854946838,0.33802542495,0.242396440533,0.11188437039,0.383095237275,0.25705710942,0.0921244324635,0.145932440221,0.297991091349,0.413642091159,0.340095965589,0.149137305641,1.0,0.36819926038,-0.00249022468204,0.287499902298,0.271498721044,0.0962848182318,0.172966492646,0.279923450218,0.321019232557,0.137556626746,0.196323999423,0.0207775398993,0.160591727645
WRK,0.210880771173,0.415131789034,0.262152436488,0.124018337947,0.442691034688,0.316204888224,0.236081604488,0.192884965976,0.49008883823,0.210580598739,0.361504718061,0.245608297665,0.36819926038,1.0,-0.0052839780847,0.286147579656,0.0392687586027,0.159195638168,0.253658133996,0.256214991777,0.47492912407,0.232467381393,0.297283440822,0.0185890702634,0.04459268906
WMT,0.00854161050059,0.138814268759,0.0886254666678,0.0346397871622,0.0764344613587,0.0160808764568,0.197551167006,0.046642074652,0.0448681267332,0.0915205348649,0.106561090523,0.247818647916,-0.00249022468204,-0.0052839780847,1.0,0.0411120740445,0.0166266086822,0.154628487157,0.134240070459,-0.0242807964365,0.103064098737,0.12351540339,0.0218365229312,0.0198996690307,-0.0795151554134
THO,0.135735174482,0.266568907889,0.234621619782,0.19580931985,0.362520422188,0.353506480743,0.0202859809349,0.176270038529,0.213500821928,0.256138927402,0.321824059159,0.149858162146,0.287499902298,0.286147579656,0.0411120740445,1.0,0.178941578182,0.170316561773,0.19458799031,0.267895292591,0.340291579103,0.0288049793714,0.225223522768,0.0474991457654,0.0811939603616
