,agg,portfolioreturn,portfoliostandarddeviation,shy,spy,returnoverrisk
0,0.56,0.0253597970222,0.00149493867018,0.29,0.15,16.963770841
1,0.05,0.0422055912419,0.00180556080402,0.39,0.56,23.3753364317
2,0.01,0.0492460576781,0.0014381020648,0.31,0.68,34.2437848353
3,0.5,0.0189926040525,0.00200861028869,0.43,0.07,9.45559432781
4,0.41,0.0387400902933,0.00109893793978,0.19,0.4,35.2523003267
5,0.4,0.0437555708686,0.000958179912562,0.12,0.48,45.6652976074
6,0.24,0.0276444866736,0.00220945706728,0.48,0.28,12.5118913071
7,0.02,0.0650649064863,0.000555582459051,0.06,0.92,117.111160416
8,0.39,0.0188217029551,0.00234729409517,0.51,0.1,8.01846815609
9,0.12,0.0487658859822,0.00113324544218,0.24,0.64,43.0320601055
10,0.54,0.0197650111351,0.0018549290341,0.39,0.07,10.6554001645
11,0.22,0.0428840301699,0.00123625896353,0.26,0.52,34.6885494343
12,0.08,0.00892911130573,0.00417312595004,0.88,0.04,2.13966973741
13,0.61,0.0282785242551,0.00130900262453,0.21,0.18,21.6031073775
14,0.26,0.0553757475307,0.000787176897196,0.04,0.7,70.347272294
15,0.38,0.0466247312934,0.000913583772667,0.09,0.53,51.0349818904
16,0.38,0.0394629305679,0.00110427060044,0.2,0.42,35.7366487453
17,0.18,0.0310433856024,0.00216684802251,0.47,0.35,14.3265172637
18,0.24,0.0204826859481,0.00272850848346,0.59,0.17,7.50691671739
19,0.42,0.0454439199963,0.000955381944973,0.08,0.5,47.5662327883
20,0.42,0.0161456443009,0.00243983122738,0.53,0.05,6.61752506471
21,0.41,0.0315782895678,0.00145587683806,0.3,0.29,21.6902204515
22,0.08,0.0271591495162,0.00280561957071,0.6,0.32,9.68026805905
23,0.16,0.0534447298242,0.000797561860916,0.14,0.7,67.0101373238
24,0.27,0.0340834471246,0.00166599275425,0.36,0.37,20.4583405526
25,0.58,0.0205374182176,0.00171620977695,0.35,0.07,11.9667295301
26,0.34,0.0452012514176,0.000931818568767,0.14,0.52,48.5086399142
27,0.21,0.0153458710835,0.00321358082132,0.69,0.1,4.77531823121
28,0.44,0.0341108132594,0.00126210906163,0.24,0.32,27.0268349197
29,0.26,0.0404010732863,0.00128722360142,0.27,0.47,31.3862123423
30,0.41,0.0315782895678,0.00145587683806,0.3,0.29,21.6902204515
31,0.73,0.0221317991908,0.00143784335475,0.22,0.05,15.3923576707
32,0.33,0.0280802570229,0.00189285855416,0.41,0.26,14.834841706
33,0.2,0.0431488994218,0.0012718697517,0.27,0.53,33.9255645982
34,0.17,0.0412674485234,0.0014806749964,0.32,0.51,27.8706999333
35,0.3,0.0528927906471,0.000825898954225,0.05,0.65,64.0426899398
36,0.05,0.0376480816892,0.00213768500013,0.46,0.49,17.6116133514
37,0.22,0.0552544132413,0.000738240261898,0.07,0.71,74.8461118868
38,0.37,0.0464316295228,0.00090877849615,0.1,0.53,51.0923505777
39,0.5,0.0307119143307,0.00133071068897,0.25,0.25,23.0793324088
40,0.35,0.0408368436356,0.00108448514125,0.2,0.45,37.6555123556
41,0.53,0.0189208365712,0.00193298593626,0.41,0.06,9.7883984649
42,0.24,0.0478277432638,0.000928876572504,0.17,0.59,51.4898800116
43,0.47,0.0398987009172,0.00104032155829,0.13,0.4,38.3522773312
44,0.08,0.0427848965538,0.00166215365178,0.36,0.56,25.7406386636
45,0.22,0.0513479764819,0.00081459509876,0.13,0.65,63.0349686121
46,0.34,0.0334819411394,0.00151069158816,0.32,0.34,22.163320033
47,0.53,0.0443126755072,0.00113220713614,0.02,0.45,39.1383114386
48,0.29,0.0500953977035,0.000828137820225,0.1,0.61,60.4916192451
49,0.18,0.0199751481174,0.00297789411548,0.64,0.18,6.70781006402
50,0.08,0.0551552796252,0.000853815291406,0.17,0.75,64.5986083646
51,0.1,0.0151749699861,0.00362839557015,0.77,0.13,4.18228103654
52,0.54,0.0243225206877,0.0015877251595,0.32,0.14,15.319100124
53,0.25,0.0447654810683,0.00106078868366,0.21,0.54,42.2001872362
54,0.51,0.0380668168269,0.00108171965808,0.13,0.36,35.1910188029
55,0.65,0.03556165927,0.00123129369827,0.07,0.28,28.8815408703
56,0.41,0.0400422358798,0.00105159370697,0.17,0.42,38.0776678432
57,0.02,0.0286048300653,0.00291816919819,0.62,0.36,9.80232060671
58,0.1,0.0444732456816,0.00147838793527,0.32,0.58,30.0822569101
59,0.31,0.0387622909666,0.00126589868775,0.26,0.43,30.6203737642
60,0.25,0.0519272817938,0.000790195679519,0.1,0.65,65.7144592659
61,0.23,0.0235449481436,0.00253953311211,0.55,0.22,9.27136883203
62,0.58,0.0348610196687,0.00115658818577,0.13,0.29,30.1412552002
63,0.97,0.0248130233066,0.00170991371087,0.01,0.02,14.5112722057
64,0.09,0.0403737071515,0.00180067744224,0.39,0.52,22.4213988605
65,0.18,0.044064841467,0.00126784542652,0.27,0.55,34.7556890968
66,0.49,0.0148930655224,0.00231071844445,0.5,0.01,6.44520995545
67,0.02,0.0149323014074,0.00394624551941,0.83,0.15,3.78392609734
68,0.45,0.0193292407857,0.00212866305013,0.46,0.09,9.08046051937
69,0.4,0.0333384061768,0.0013773409545,0.28,0.32,24.204904434
70,0.41,0.0205100520828,0.00216802960137,0.47,0.12,9.46022695903
71,0.06,0.0619308768095,0.000606444286617,0.08,0.86,102.121296508
72,0.11,0.0114616349974,0.00387023288618,0.82,0.07,2.96148457584
73,0.37,0.0334101736581,0.00144068293642,0.3,0.33,23.1905111205
74,0.4,0.0320362605904,0.00145190753168,0.3,0.3,22.0649455226
75,0.49,0.0207527206615,0.00192203634661,0.41,0.1,10.7972571373
76,0.17,0.048429249249,0.00102851587943,0.21,0.62,47.086535286
77,0.31,0.0329026358275,0.00162892202283,0.35,0.34,20.1990244876
78,0.32,0.0422107567034,0.00106585118098,0.2,0.48,39.6028615034
79,0.06,0.0567222944636,0.000812441665215,0.16,0.78,69.8170673566
80,0.67,0.0268328437061,0.00132584018535,0.19,0.14,20.2383696033
81,0.61,0.0230699419093,0.00152547678943,0.29,0.1,15.1231025402
