,spy,iwm,mdy
spy,2.23564538414e-05,3.12446925201e-05,2.77658116608e-05
iwm,3.12446925201e-05,6.09272720216e-05,4.95597608671e-05
mdy,2.77658116608e-05,4.95597608671e-05,4.39734494857e-05
