Date,MSFT,PCLN
2016-05-12,49.639469,1282.25
2016-05-13,49.22509,1278.640015
2016-05-16,49.947849,1283.469971
2016-05-17,49.016239,1278.02002
2016-05-18,49.307365,1267.27002
2016-05-19,48.83186,1250.310059
2016-05-20,49.122993,1249.290039
2016-05-23,48.550438,1237.48999
2016-05-24,50.064304,1256.630005
2016-05-25,50.578625,1270.180054
2016-05-26,50.355423,1269.02002
2016-05-27,50.772713,1273.0
2016-05-31,51.432602,1264.329956
2016-06-01,51.287037,1278.0
2016-06-02,50.927979,1290.0
2016-06-03,50.258389,1301.709961
2016-06-06,50.588333,1349.099976
2016-06-07,50.559216,1360.0
2016-06-08,50.500992,1354.829956
2016-06-09,50.09341,1340.069946
2016-06-10,49.957554,1318.900024
2016-06-13,48.657181,1315.469971
2016-06-14,48.35635,1304.099976
2016-06-15,48.22049,1305.420044
2016-06-16,48.899788,1323.890015
2016-06-17,48.64748,1309.23999
2016-06-20,48.589252,1341.959961
2016-06-21,49.676128,1343.050049
2016-06-22,49.482048,1360.099976
2016-06-23,50.374836,1390.199951
2016-06-24,48.35635,1232.140015
2016-06-27,46.997757,1186.050049
2016-06-28,47.977886,1204.25
2016-06-29,49.045349,1239.410034
2016-06-30,49.656723,1248.410034
2016-07-01,49.647018,1267.369995
2016-07-05,49.656723,1275.030029
2016-07-06,49.860512,1292.040039
2016-07-07,49.860512,1297.26001
2016-07-08,50.753307,1329.459961
2016-07-11,51.034729,1351.030029
2016-07-12,51.636391,1345.430054
2016-07-13,51.927517,1338.650024
2016-07-14,52.150719,1346.180054
2016-07-15,52.1119,1330.569946
2016-07-18,52.364212,1341.359985
2016-07-19,51.519943,1327.0
2016-07-20,54.256546,1352.829956
2016-07-21,54.149796,1332.5
2016-07-22,54.897022,1327.400024
2016-07-25,55.052292,1321.670044
2016-07-26,55.081406,1324.530029
2016-07-27,54.528259,1324.47998
2016-07-28,54.547668,1326.099976
2016-07-29,55.003773,1350.810059
2016-08-01,54.906734,1356.079956
2016-08-02,54.906734,1345.380005
2016-08-03,55.285198,1371.140015
2016-08-04,55.692776,1359.98999
2016-08-05,56.245914,1414.219971
2016-08-08,56.34296,1405.0
2016-08-09,56.478825,1407.01001
2016-08-10,56.304142,1406.280029
2016-08-11,56.575859,1406.920044
2016-08-12,56.226505,1407.97998
2016-08-15,56.40118,1399.160034
2016-08-16,56.088711,1408.660034
2016-08-17,56.205887,1427.199951
2016-08-18,56.244946,1443.069946
2016-08-19,56.264477,1432.0
2016-08-22,56.313301,1423.98999
2016-08-23,56.528126,1422.469971
2016-08-24,56.586712,1410.180054
2016-08-25,56.801537,1415.550049
2016-08-26,56.664833,1419.790039
2016-08-29,56.733185,1425.189941
2016-08-30,56.528126,1416.550049
2016-08-31,56.108238,1416.72998
2016-09-01,56.23518,1418.589966
2016-09-02,56.313301,1422.849976
2016-09-06,56.254715,1436.959961
2016-09-07,56.303535,1444.01001
2016-09-08,56.078945,1445.829956
2016-09-09,54.887646,1413.900024
2016-09-12,55.707886,1436.209961
2016-09-13,55.200119,1415.949951
2016-09-14,54.93647,1429.380005
