,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_adjprice,end_adjprice
0,AOS,2017-03-01,2017-09-18,0.316871912461,0.164549926505,0.320040631586,50.812843,58.34
1,BP,2017-03-01,2017-09-18,0.217468312378,0.115049679473,0.206594896759,33.096481,36.57
2,CELG,2017-03-01,2017-09-18,0.296206631259,0.154400450904,0.571678798329,123.699997,142.580002
3,EVR,2017-03-01,2017-09-18,-0.0733187221636,-0.0412651269509,-0.124641827678,80.833542,75.551003
4,FB,2017-03-01,2017-09-18,0.519116821329,0.260366023481,0.965557287671,137.419998,170.830002
5,GOOGL,2017-03-01,2017-09-18,0.193179412878,0.102683074005,0.034772294318,856.75,931.690002
6,HSBC,2017-03-01,2017-09-18,0.460750708231,0.233332459744,0.516040793219,39.982754,48.66
7,INTC,2017-03-01,2017-09-18,0.0783326372936,0.0426201575188,0.106532386719,35.398949,37.185001
8,JNJ,2017-03-01,2017-09-18,0.231494846167,0.122141070474,0.0532438146184,122.266281,135.372299
9,LMT,2017-03-01,2017-09-18,0.292360151786,0.152503348549,0.584720303571,265.083008,303.459991
10,LPX,2017-03-01,2017-09-18,0.295710837846,0.154156064461,0.425823606498,23.940001,27.215
11,LRCX,2017-03-01,2017-09-18,1.11108224431,0.51212793214,0.233327271305,118.563316,177.589996
12,MASI,2017-03-01,2017-09-18,-0.0854846188159,-0.0482514492225,-0.115404235401,92.779999,86.0
13,MRK,2017-03-01,2017-09-18,0.0407467743217,0.022348957263,0.0603052259961,64.787201,65.894997
14,MSFT,2017-03-01,2017-09-18,0.37389957577,0.192195368451,0.142081838792,64.227699,75.440002
15,RTN,2017-03-01,2017-09-18,0.385606863966,0.197806908046,0.266068736136,152.998764,182.764999
16,SPY,2017-03-01,2017-09-18,0.132201585982,0.0711311150332,0.198302378973,236.409515,249.729996
17,T,2017-03-01,2017-09-18,-0.158405663353,-0.091028665112,-0.275625854233,41.009735,37.055
18,THO,2017-03-01,2017-09-18,0.076143647794,0.0414483101248,0.0906109408748,112.810837,114.662003
