Date,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,LMT,LPX,LRCX,MASI,MRK,MSFT,RTN,SPY,T,THO
2015-04-07,30.96928,33.84095,112.720001,44.383911,82.32,544.859985,36.553993,28.944469,93.365509,186.658676,16.09,68.636887,33.84,53.106419,38.958767,103.372589,197.877045,29.187183,60.182846
2015-04-08,31.050522,34.278149,115.150002,44.497528,82.279999,548.840027,36.789333,28.990767,93.421455,187.274185,16.209999,70.237801,34.59,52.847492,38.855576,103.600754,198.545303,29.151474,59.788368
2015-04-09,30.935837,34.765793,115.580002,45.690434,82.169998,548.02002,37.436535,28.925955,94.512749,187.861725,16.08,70.556076,34.919998,53.106419,38.911869,104.579918,199.423538,29.187183,60.077011
2015-04-10,31.050522,34.925541,117.07,46.334221,82.040001,548.539978,37.562611,29.564844,95.193642,186.89183,16.139999,70.498184,34.970001,52.939964,39.137005,104.532364,200.511841,29.258612,60.192467
2015-04-13,30.811602,34.664906,116.440002,46.646664,83.010002,548.640015,38.05011,29.379656,93.785233,183.767654,16.290001,70.112427,34.860001,52.45911,39.174526,103.268013,199.604935,29.356827,59.528584
2015-04-14,31.380234,35.144138,115.779999,45.794575,83.519997,539.780029,38.361099,29.157434,93.757225,184.038086,16.48,69.43734,34.73,53.411564,39.071331,103.096909,199.986801,29.187183,59.874958
2015-04-15,31.399349,35.665413,118.230003,46.163811,82.709999,541.039978,38.571232,30.398174,93.831856,183.916855,16.360001,69.842407,34.77,54.049625,39.643566,103.229988,200.884155,29.365749,58.989777
2015-04-16,31.193872,35.774712,116.360001,46.741329,82.309998,543.52002,38.184593,30.435213,93.076363,183.832916,16.059999,69.234818,34.459999,53.485542,39.549763,103.553215,200.826859,29.240757,59.220695
2015-04-17,30.763815,36.060581,113.470001,46.32476,80.779999,532.73999,37.705505,30.064846,92.880478,181.687943,15.7,68.145042,34.139999,52.59782,39.043194,102.402939,198.516632,29.026468,58.999397
2015-04-20,31.074417,36.00172,114.75,47.072697,83.089996,544.530029,38.251831,30.305584,93.468079,183.534485,15.58,69.427696,34.709999,53.272858,40.253326,102.184296,200.33046,29.312185,59.961552
2015-04-21,31.260782,35.968094,114.82,46.88335,83.620003,542.919983,38.32748,30.027805,93.55204,183.058868,15.58,75.069481,34.529999,53.319088,40.000038,103.458145,200.091827,29.1604,59.826851
2015-04-22,31.456694,36.354847,115.540001,48.095196,84.629997,549.179993,38.335888,30.277809,93.673302,184.308578,15.72,75.570976,34.959999,53.34684,40.328373,104.237686,201.075073,29.338966,59.32653
2015-04-23,31.37068,36.657524,116.089996,47.498741,82.410004,557.460022,38.756142,29.953732,93.701279,183.907516,15.75,74.336533,34.900002,53.180386,40.656704,103.191971,201.581039,30.562166,59.028259
2015-04-24,31.81986,36.539822,118.709999,47.801701,81.529999,573.659973,40.100967,29.703735,94.279564,182.200882,16.120001,73.970062,34.830002,53.263615,44.906242,103.001839,202.048798,30.365744,59.047504
2015-04-27,31.571377,36.186691,114.720001,46.930679,81.910004,566.119995,41.588673,30.092623,93.81321,180.773987,16.07,73.613235,34.529999,52.801254,45.056332,102.555031,201.20871,30.43717,59.03788
2015-04-28,31.239754,36.556633,113.519997,47.839561,80.68,564.369995,41.664326,30.574104,93.96244,180.941895,15.98,73.671089,34.860001,55.464439,46.116375,103.001839,201.848312,31.124668,58.999397
2015-04-29,30.888906,36.649113,113.199997,46.978027,80.470001,561.390015,42.168629,30.453735,93.635979,178.395905,15.75,73.66143,34.25,55.187019,46.022568,101.480812,201.017807,31.035381,59.009018
2015-04-30,30.711081,36.287579,108.059998,45.671505,78.769997,548.77002,41.71476,30.138916,92.526054,174.022034,15.24,72.889923,33.759998,55.076057,45.628563,98.866562,199.003525,30.928234,57.89291
2015-05-01,31.508898,36.346439,110.550003,45.728306,78.989998,551.159973,41.378551,30.944471,93.393471,176.260239,15.96,74.481194,34.169998,55.35347,45.647331,99.89325,201.16098,30.731812,58.768478
2015-05-04,31.734787,36.497784,109.900002,46.779205,78.809998,552.840027,41.269276,30.953733,93.598686,176.903763,16.299999,74.153313,34.599998,56.074753,45.253326,101.148094,201.73378,30.830023,58.450966
2015-05-05,31.585796,36.237137,107.540001,46.192219,77.559998,543.039978,39.983292,30.440792,92.805862,174.721497,17.18,72.909203,34.580002,55.936047,44.652954,99.826706,199.423538,30.106821,57.488808
2015-05-06,31.729973,36.237141,108.650002,46.665592,78.099998,535.080017,40.55484,30.049093,92.49807,174.236542,17.0,72.523453,33.970001,55.723354,43.414684,99.446449,198.602554,29.803253,57.334866
2015-05-07,32.239426,35.665874,112.010002,46.315296,78.43,542.039978,40.49601,30.067741,92.955101,175.523499,16.780001,72.764557,34.939999,55.760349,43.808681,99.959801,199.394897,29.794317,57.71973
2015-05-08,32.758484,36.416199,113.209999,46.712936,78.510002,548.950012,41.588673,30.59001,94.643333,177.640503,16.959999,74.278679,34.709999,56.167217,44.793667,101.518852,202.020172,30.080032,57.71011
2015-05-11,32.768097,36.305347,113.400002,46.315296,78.010002,545.780029,41.260876,30.487423,94.232918,177.63118,16.92,75.32988,34.57,55.482933,44.437195,101.480812,201.056,29.901463,58.075726
2015-05-12,32.787327,36.399136,113.580002,45.879787,77.459999,538.72998,40.756573,30.077068,93.710602,177.761734,16.9,74.066505,34.490002,54.965088,44.418427,101.794533,200.454559,30.053247,58.345127
2015-05-13,33.152592,36.467358,113.400002,46.50465,78.440002,539.48999,40.613682,30.440792,93.785233,178.125458,17.01,74.490852,34.509998,54.724659,44.681099,101.499817,200.492737,30.267532,58.441345
2015-05-14,33.397697,36.629349,115.080002,46.419434,81.370003,549.200012,40.907856,30.748558,94.979103,180.037262,17.34,75.464882,34.639999,55.279491,45.703613,102.326897,202.583389,30.472879,58.95129
2015-05-15,33.527462,36.501457,115.529999,46.173283,80.419998,546.48999,41.025536,30.767218,95.417496,179.393753,17.48,75.927803,34.630001,55.695614,45.309616,101.737488,202.802979,30.651449,58.970528
2015-05-18,33.570721,36.143353,116.370003,47.053768,80.879997,546.669983,40.722946,31.158915,96.462143,180.065231,17.959999,76.631821,35.16,55.492176,45.037567,101.766006,203.433029,31.133591,59.759502
2015-05-19,33.705296,35.665874,116.849998,46.65612,80.629997,549.280029,40.218632,30.916428,96.965813,180.345032,18.24,77.904846,36.130001,55.963787,44.924271,101.499817,203.366196,30.68717,59.576687
2015-05-20,33.638012,35.879032,116.860001,46.65612,80.550003,552.51001,40.609364,31.121603,96.630028,180.223785,18.059999,77.499786,35.73,55.908298,44.924271,101.290703,203.223022,30.910379,60.077011
2015-05-21,33.503437,36.578201,116.199997,47.70702,80.480003,556.809998,40.736767,31.289478,96.226036,180.093216,18.18,78.338837,35.52,55.575405,44.773201,102.203316,203.81488,31.312162,60.240582
2015-05-22,33.786995,36.237141,116.089996,47.318859,80.540001,554.52002,40.864174,31.196217,95.220749,179.860077,18.35,78.194176,35.59,54.909611,44.282227,101.433289,203.328018,30.990736,60.307922
2015-05-26,33.782188,35.49535,114.459999,46.608788,79.330002,547.190002,40.261108,30.869797,94.722794,177.668457,18.209999,77.548019,35.450001,54.530476,43.989521,100.311523,201.141907,30.955021,59.422745
2015-05-27,34.301247,35.631771,116.019997,47.646652,80.550003,554.25,40.609364,31.4387,95.014046,178.451859,18.389999,79.717941,35.860001,54.983582,44.952595,99.950302,203.051178,31.205019,60.028904
2015-05-28,34.416603,35.427135,114.93,48.855915,80.150002,554.179993,40.507435,31.718483,95.032845,178.705612,18.469999,79.447891,35.48,55.205517,44.801529,99.284859,202.822052,31.071093,59.730637
2015-05-29,34.306053,35.350391,114.440002,48.532177,79.190002,545.320007,40.346043,32.138165,94.083916,176.900894,18.09,79.322517,35.099998,56.30592,44.244453,98.163094,201.561935,30.838951,58.778103
2015-06-01,34.517521,34.915554,114.449997,49.217739,80.290001,549.210022,40.320564,31.625223,93.98996,179.598633,18.16,80.421944,35.529999,56.176464,44.593803,98.400749,201.972458,30.669312,59.143719
2015-06-02,34.209934,35.384502,113.879997,49.54147,80.440002,553.950012,40.583874,31.028343,93.933594,179.316605,17.860001,80.315857,35.830002,55.704865,44.301109,97.706779,201.771973,30.678242,59.451611
2015-06-03,34.748222,35.154285,112.68,50.845955,82.440002,555.289978,40.685806,30.524725,94.036949,180.36937,17.860001,80.547318,36.619999,55.843571,44.235012,97.155403,202.306549,31.276449,59.980793
2015-06-04,34.344505,34.634178,110.919998,50.626949,82.050003,551.690002,40.312073,30.133026,93.228951,178.752655,17.5,80.016891,36.029999,54.992836,43.772362,95.70092,200.597778,31.490732,59.124477
2015-06-05,34.349319,34.583023,110.720001,51.350605,82.139999,549.530029,40.074245,29.694693,92.627647,177.963058,17.530001,80.470169,36.34,54.548969,43.564648,96.48996,200.254074,30.865736,55.410553
2015-06-08,33.897537,34.557446,110.809998,51.188732,80.669998,543.47998,40.235622,29.191078,92.035759,178.000671,17.360001,79.608757,36.200001,54.438007,43.177528,96.081184,198.965332,30.883595,55.814659
2015-06-09,33.859085,34.574493,110.720001,50.550781,80.669998,542.159973,39.921349,29.144445,92.270638,177.981857,17.01,79.34742,36.099998,54.410259,43.101997,94.968941,198.994003,30.812162,55.410553
2015-06-10,34.142647,35.196918,112.059998,52.150429,82.160004,552.599976,40.405506,29.676043,92.900124,177.916077,17.65,79.986221,36.5,55.122295,44.008411,95.976608,201.390121,30.999666,55.564495
2015-06-11,35.055813,35.316288,112.970001,52.198029,81.830002,550.039978,40.320564,29.704021,93.238335,179.983994,17.68,79.88945,36.709999,54.889347,43.847897,97.117393,202.048798,31.142523,56.01672
2015-06-12,35.175968,34.787655,111.32,51.579124,81.529999,547.469971,40.303577,29.209728,92.402168,179.514008,17.68,78.844109,38.84,53.920326,43.404137,96.651566,200.406815,30.937166,56.411201
2015-06-15,34.978912,34.889969,111.0,51.017345,80.709999,543.0,39.700504,29.275013,91.594177,178.517624,17.559999,78.650536,38.759998,53.221519,42.941483,95.301659,199.614471,30.722881,55.323959
2015-06-16,35.195187,34.881447,111.110001,51.293472,81.059998,544.869995,39.624069,29.508169,92.41156,179.363617,17.610001,79.899117,38.799999,53.771252,43.271946,94.864357,200.712311,30.955021,55.602993
2015-06-17,35.257664,35.137238,112.160004,51.379166,81.790001,546.599976,39.67503,29.797283,92.759178,179.55162,17.690001,79.608757,38.919998,53.957607,43.404137,95.691422,201.03688,31.071093,55.554882
2015-06-18,35.406654,35.179863,116.919998,51.769558,82.910004,556.179993,39.666538,30.198311,94.290627,181.177734,17.43,81.176727,39.049999,54.59119,44.112274,96.24279,203.060715,31.267521,55.968601
2015-06-19,35.397045,35.086079,117.220001,52.597942,82.510002,557.52002,39.725998,29.909195,93.820847,179.664398,17.42,80.557274,38.889999,54.078732,43.526875,95.634377,202.226135,31.240732,55.795418
2015-06-22,35.536427,35.401554,119.529999,53.254948,84.739998,559.679993,40.201653,30.086393,94.036949,180.547974,17.549999,80.983162,39.669998,54.814812,43.64962,95.681931,203.262161,31.285379,55.805038
2015-06-23,35.546032,35.418606,120.339996,53.11211,87.879997,563.390015,40.184666,29.927851,93.745697,180.134399,17.309999,81.089607,39.66,55.001163,43.347481,95.406227,203.415665,32.062153,56.074451
