,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,2.26419368444e-05,2.09161269027e-05,2.76641309425e-05,2.21255124537e-05,2.95324416768e-05,1.55136664385e-05,1.53407574238e-05,3.50407630244e-05,3.78886641605e-05,2.91593475332e-05,2.90568746707e-05,1.5902051227e-05,1.42715816464e-05,1.1630611854e-05,1.29219759356e-05,3.83418730618e-05,2.87626409966e-05,2.7743283106e-05,4.5102748873e-05
HSBC,2.09161269027e-05,8.47459549621e-05,8.47726800419e-06,1.09925472012e-05,2.77243192926e-05,5.3092007106e-06,6.79085360597e-06,-9.52796094997e-06,4.11865056013e-05,1.23811429912e-05,2.60142260463e-05,1.48204170322e-05,2.14567675171e-05,-3.19629734091e-07,1.07649647315e-05,5.50896239535e-05,2.27260404933e-05,1.61587923286e-05,2.6499960383e-05
GOOGL,2.76641309425e-05,8.47726800419e-06,9.82714735421e-05,2.64515625085e-05,2.57704855167e-05,2.33995422284e-05,1.93748824082e-05,6.37947303308e-05,2.46253694073e-05,7.16917564831e-05,3.69906349913e-05,-2.52740432255e-07,2.875301127e-06,8.53026151651e-06,1.62913576009e-05,1.66039317818e-05,4.82638123526e-05,5.67241076699e-05,9.40326921027e-05
INTC,2.21255124537e-05,1.09925472012e-05,2.64515625085e-05,8.13911688854e-05,1.89451627336e-05,2.43501400466e-05,2.1958555676e-05,5.17183966994e-05,2.55252398016e-05,3.96385006676e-05,3.07213233058e-05,1.76431406993e-05,2.14496661409e-05,1.33591629289e-05,9.15339493514e-06,2.21439719609e-05,2.48427995163e-05,3.50622177535e-05,5.44645342988e-05
LPX,2.95324416768e-05,2.77243192926e-05,2.57704855167e-05,1.89451627336e-05,0.000186106197716,8.88464258008e-06,1.2344730861e-05,3.96962733397e-05,7.30592419923e-05,3.2680523716e-05,3.82503329017e-05,1.05639704558e-05,1.22555635315e-05,1.73306029755e-05,1.78644609693e-05,7.70249987048e-05,6.74587646886e-05,3.12312417356e-05,8.17512227e-05
RTN,1.55136664385e-05,5.3092007106e-06,2.33995422284e-05,2.43501400466e-05,8.88464258008e-06,5.60616460481e-05,3.87361685758e-05,2.58064606013e-05,3.56737248881e-06,1.95706187658e-05,2.96756716398e-05,8.74387446754e-06,4.74299713794e-06,7.6658004186e-06,1.26627724738e-05,1.71385396246e-05,1.74062494639e-05,1.98990037518e-05,2.72502887802e-05
LMT,1.53407574238e-05,6.79085360597e-06,1.93748824082e-05,2.1958555676e-05,1.2344730861e-05,3.87361685758e-05,4.76260237375e-05,2.79101885369e-05,3.10808531605e-06,1.55672715403e-05,2.52846404326e-05,9.75000667484e-06,3.47935491797e-06,4.60378917717e-06,1.13099881021e-05,1.89383395842e-05,1.99992724761e-05,1.90404990407e-05,2.88289814393e-05
MASI,3.50407630244e-05,-9.52796094997e-06,6.37947303308e-05,5.17183966994e-05,3.96962733397e-05,2.58064606013e-05,2.79101885369e-05,0.000392507899081,6.4893582478e-05,7.93397979147e-05,4.2241256929e-05,1.29246435779e-05,1.75460924763e-05,1.36020106162e-05,9.41851483284e-06,3.19712018242e-05,4.3868892872e-05,6.4087771165e-05,0.000112441837807
THO,3.78886641605e-05,4.11865056013e-05,2.46253694073e-05,2.55252398016e-05,7.30592419923e-05,3.56737248881e-06,3.10808531605e-06,6.4893582478e-05,0.000343010188011,4.146553668e-05,3.78444585514e-05,2.95131334876e-05,3.20941934681e-05,2.5831038056e-05,1.09557993721e-05,9.73867207634e-05,5.57826515554e-05,5.57702481799e-05,9.90697811452e-05
FB,2.91593475332e-05,1.23811429912e-05,7.16917564831e-05,3.96385006676e-05,3.2680523716e-05,1.95706187658e-05,1.55672715403e-05,7.93397979147e-05,4.146553668e-05,9.57670360947e-05,2.97411523127e-05,1.6178929322e-05,6.855840928e-06,1.52474867604e-05,1.31076748956e-05,3.17268333424e-05,4.04045569684e-05,5.378265623e-05,9.7027083021e-05
AOS,2.90568746707e-05,2.60142260463e-05,3.69906349913e-05,3.07213233058e-05,3.82503329017e-05,2.96756716398e-05,2.52846404326e-05,4.2241256929e-05,3.78444585514e-05,2.97411523127e-05,9.02147176466e-05,3.76743549221e-06,1.35286641225e-05,7.64360900382e-06,1.81405990122e-05,2.77363031497e-05,3.34279349745e-05,3.95036463185e-05,6.12381935903e-05
T,1.5902051227e-05,1.48204170322e-05,-2.52740432255e-07,1.76431406993e-05,1.05639704558e-05,8.74387446754e-06,9.75000667484e-06,1.29246435779e-05,2.95131334876e-05,1.6178929322e-05,3.76743549221e-06,9.28573571843e-05,1.73185257881e-05,2.03533611402e-05,6.89772475272e-06,3.55582984657e-05,9.15026925998e-06,5.70463495324e-06,1.82499428079e-05
BP,1.42715816464e-05,2.14567675171e-05,2.875301127e-06,2.14496661409e-05,1.22555635315e-05,4.74299713794e-06,3.47935491797e-06,1.75460924763e-05,3.20941934681e-05,6.855840928e-06,1.35286641225e-05,1.73185257881e-05,8.63770234214e-05,1.00853738372e-05,1.0272255023e-05,3.6503759235e-05,1.20238558431e-07,9.41749504697e-06,6.15206061855e-06
