,ALGN,AOS,BP,CELG,EVR,FB,GOOGL,HSBC,INTC,JNJ,JPM,LMT,LPX,LRCX,MASI,MRK,MRO,MSFT,RTN,T,THO,WFC,WMT,WRK,XOM,portfolioreturn,portfoliostandarddeviation,returnoverrisk
0,0.01,0.03,0.06,0.12,0.02,0.02,0.05,0.02,0.03,0.01,0.04,0.06,0.03,0.04,0.08,0.04,0.03,0.03,0.02,0.02,0.04,0.01,0.11,0.07,0.01,0.107564381122,0.00551799090176,19.4933958821
1,0.01,0.03,0.02,0.07,0.02,0.02,0.01,0.01,0.02,0.03,0.04,0.13,0.01,0.01,0.01,0.04,0.01,0.1,0.03,0.1,0.02,0.09,0.1,0.02,0.05,0.0862737462921,0.00507020977837,17.0158139531
2,0.01,0.03,0.02,0.03,0.04,0.05,0.08,0.02,0.09,0.01,0.05,0.06,0.06,0.09,0.02,0.01,0.03,0.02,0.03,0.07,0.04,0.01,0.04,0.04,0.05,0.11680366182,0.00576979310563,20.2439948333
3,0.03,0.03,0.04,0.01,0.02,0.02,0.02,0.02,0.01,0.08,0.01,0.13,0.09,0.03,0.01,0.1,0.02,0.03,0.07,0.06,0.01,0.05,0.04,0.05,0.02,0.11897585195,0.00595030720902,19.9949091318
4,0.03,0.07,0.07,0.01,0.03,0.05,0.03,0.02,0.09,0.03,0.01,0.01,0.05,0.02,0.01,0.08,0.01,0.12,0.05,0.01,0.03,0.11,0.03,0.01,0.02,0.113770852325,0.00568326494795,20.0185726632
5,0.01,0.02,0.04,0.02,0.01,0.06,0.02,0.02,0.11,0.02,0.03,0.06,0.05,0.02,0.03,0.03,0.14,0.02,0.02,0.05,0.06,0.06,0.06,0.01,0.03,0.0512687319969,0.00633454189983,8.09351849077
6,0.01,0.02,0.04,0.02,0.09,0.04,0.08,0.21,0.04,0.06,0.01,0.02,0.06,0.07,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.06,0.01,0.01,0.142488940279,0.00724139451699,19.6770028128
7,0.02,0.02,0.07,0.01,0.08,0.04,0.01,0.02,0.1,0.01,0.03,0.03,0.01,0.03,0.01,0.03,0.06,0.01,0.04,0.13,0.05,0.09,0.06,0.01,0.03,0.0549559237854,0.00578089019663,9.50648116745
8,0.01,0.05,0.01,0.08,0.03,0.02,0.04,0.03,0.01,0.03,0.08,0.03,0.02,0.05,0.04,0.01,0.04,0.03,0.12,0.01,0.14,0.01,0.03,0.01,0.07,0.108609592666,0.00571929064159,18.9900460515
9,0.03,0.04,0.02,0.07,0.05,0.01,0.03,0.01,0.01,0.03,0.01,0.09,0.03,0.04,0.01,0.01,0.02,0.13,0.03,0.02,0.1,0.02,0.08,0.01,0.1,0.126416271676,0.00538534601985,23.4741224074
10,0.01,0.01,0.05,0.01,0.02,0.26,0.02,0.08,0.03,0.01,0.03,0.03,0.01,0.09,0.02,0.08,0.01,0.01,0.02,0.05,0.04,0.01,0.02,0.07,0.01,0.162744655055,0.00677713323831,24.0137900986
11,0.03,0.01,0.08,0.04,0.02,0.06,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.05,0.04,0.01,0.07,0.02,0.02,0.01,0.06,0.03,0.14,0.06,0.14,0.104213459095,0.00545156474737,19.1162471555
12,0.02,0.02,0.03,0.02,0.05,0.02,0.04,0.05,0.11,0.01,0.05,0.02,0.01,0.01,0.04,0.03,0.14,0.01,0.1,0.07,0.09,0.01,0.03,0.01,0.01,0.0501596624213,0.00649869951699,7.71841539837
13,0.04,0.13,0.01,0.09,0.01,0.07,0.09,0.02,0.07,0.02,0.07,0.01,0.01,0.03,0.01,0.03,0.13,0.02,0.01,0.01,0.05,0.02,0.03,0.01,0.01,0.107869333613,0.00664572069832,16.2313973924
14,0.01,0.08,0.05,0.04,0.01,0.01,0.03,0.01,0.01,0.07,0.01,0.07,0.05,0.11,0.05,0.06,0.09,0.03,0.05,0.05,0.04,0.03,0.02,0.01,0.01,0.108700297705,0.00620414722471,17.5205864349
15,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0.04,0.04,0.03,0.07,0.03,0.07,0.05,0.01,0.04,0.07,0.18,0.01,0.1,0.04,0.01,0.02,0.05,0.01,0.107558633111,0.00613347011721,17.5363425688
16,0.03,0.06,0.04,0.02,0.05,0.02,0.01,0.01,0.08,0.07,0.04,0.11,0.01,0.01,0.07,0.07,0.02,0.07,0.03,0.01,0.01,0.02,0.08,0.05,0.01,0.103868875939,0.00583142193048,17.8119294362
17,0.05,0.01,0.01,0.06,0.1,0.06,0.03,0.01,0.02,0.06,0.02,0.1,0.05,0.02,0.03,0.06,0.09,0.04,0.02,0.02,0.02,0.03,0.01,0.07,0.01,0.105305243339,0.00634486764891,16.5969172512
18,0.04,0.03,0.1,0.01,0.02,0.04,0.11,0.06,0.01,0.04,0.02,0.08,0.01,0.06,0.06,0.02,0.07,0.03,0.04,0.03,0.01,0.03,0.04,0.02,0.02,0.128924080047,0.00559623228522,23.03765703
19,0.01,0.01,0.01,0.06,0.05,0.1,0.06,0.01,0.03,0.05,0.06,0.02,0.06,0.03,0.04,0.02,0.05,0.05,0.02,0.05,0.02,0.03,0.05,0.01,0.1,0.0906620057218,0.00550563365571,16.4671337381
20,0.14,0.04,0.09,0.04,0.05,0.06,0.01,0.04,0.05,0.03,0.02,0.01,0.04,0.05,0.02,0.02,0.01,0.04,0.03,0.05,0.04,0.03,0.05,0.02,0.02,0.21126805737,0.00589284283373,35.851636185
21,0.01,0.04,0.11,0.11,0.02,0.03,0.01,0.01,0.13,0.03,0.01,0.01,0.02,0.02,0.07,0.02,0.11,0.01,0.05,0.03,0.01,0.01,0.07,0.01,0.05,0.0657050706296,0.00582665689553,11.276632863
22,0.03,0.02,0.02,0.05,0.05,0.08,0.01,0.08,0.01,0.03,0.03,0.03,0.01,0.07,0.01,0.01,0.04,0.11,0.04,0.02,0.02,0.03,0.03,0.1,0.07,0.144834796655,0.00587261476524,24.6627443558
23,0.02,0.06,0.03,0.01,0.01,0.03,0.12,0.06,0.05,0.03,0.03,0.01,0.01,0.08,0.08,0.03,0.03,0.03,0.05,0.04,0.06,0.07,0.02,0.03,0.01,0.113172519001,0.00550794768685,20.5471303351
24,0.03,0.05,0.05,0.01,0.02,0.04,0.12,0.02,0.09,0.05,0.02,0.05,0.01,0.02,0.01,0.02,0.04,0.09,0.08,0.01,0.03,0.06,0.01,0.02,0.05,0.114177692688,0.00522888174086,21.8359676785
25,0.06,0.04,0.05,0.05,0.06,0.15,0.02,0.06,0.01,0.08,0.01,0.03,0.07,0.01,0.01,0.03,0.01,0.03,0.02,0.01,0.01,0.07,0.07,0.01,0.03,0.163021141083,0.00592751710759,27.5024328271
26,0.08,0.01,0.03,0.05,0.01,0.01,0.09,0.04,0.03,0.02,0.01,0.01,0.05,0.01,0.08,0.03,0.05,0.07,0.02,0.08,0.01,0.02,0.05,0.11,0.03,0.127419517105,0.00538890218369,23.6448005107
27,0.11,0.01,0.02,0.08,0.02,0.11,0.02,0.08,0.04,0.02,0.03,0.02,0.06,0.06,0.02,0.02,0.1,0.03,0.01,0.02,0.06,0.02,0.01,0.01,0.02,0.186861524963,0.00647225361384,28.8711685469
28,0.01,0.01,0.04,0.08,0.01,0.04,0.04,0.01,0.02,0.06,0.02,0.03,0.05,0.01,0.02,0.18,0.07,0.02,0.06,0.07,0.02,0.08,0.02,0.01,0.02,0.0595159196521,0.0065368617898,9.10466238479
29,0.01,0.01,0.01,0.02,0.08,0.05,0.04,0.01,0.03,0.08,0.03,0.03,0.03,0.05,0.01,0.02,0.04,0.05,0.03,0.02,0.23,0.03,0.01,0.07,0.01,0.0891457237347,0.00650761563233,13.698676869
30,0.06,0.01,0.03,0.04,0.12,0.06,0.02,0.02,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.04,0.01,0.18,0.01,0.01,0.09,0.04,0.07,0.03,0.05,0.133202748836,0.00592030955188,22.4992878614
31,0.04,0.03,0.1,0.06,0.04,0.02,0.02,0.02,0.07,0.01,0.02,0.01,0.04,0.07,0.02,0.01,0.02,0.02,0.04,0.01,0.07,0.11,0.09,0.04,0.02,0.126588015759,0.00564402966286,22.4286588342
32,0.12,0.1,0.01,0.04,0.13,0.03,0.07,0.01,0.02,0.05,0.06,0.04,0.02,0.05,0.02,0.02,0.01,0.01,0.04,0.02,0.01,0.03,0.05,0.02,0.02,0.188002143054,0.0062498849488,30.0808966235
33,0.05,0.02,0.02,0.02,0.01,0.01,0.07,0.03,0.13,0.05,0.05,0.02,0.02,0.03,0.1,0.03,0.02,0.01,0.02,0.03,0.05,0.02,0.02,0.14,0.03,0.104001204354,0.00616233083947,16.8769264525
34,0.05,0.01,0.04,0.02,0.09,0.05,0.01,0.03,0.14,0.02,0.07,0.03,0.02,0.08,0.05,0.02,0.06,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.09,0.112614516998,0.00624559822028,18.0310216933
35,0.01,0.15,0.02,0.06,0.03,0.09,0.01,0.01,0.01,0.01,0.03,0.02,0.06,0.08,0.03,0.01,0.05,0.07,0.02,0.04,0.02,0.02,0.04,0.06,0.05,0.133458296615,0.00591176387058,22.575038438
36,0.06,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.07,0.08,0.03,0.1,0.03,0.05,0.01,0.08,0.01,0.02,0.02,0.06,0.01,0.14,0.03,0.04,0.05,0.113646566702,0.00573973586741,19.7999645501
37,0.01,0.01,0.01,0.03,0.01,0.06,0.08,0.05,0.07,0.06,0.03,0.07,0.03,0.01,0.02,0.1,0.03,0.02,0.01,0.03,0.02,0.03,0.05,0.02,0.14,0.0809340849979,0.00571297598544,14.1667119211
38,0.04,0.05,0.04,0.01,0.09,0.02,0.03,0.01,0.03,0.01,0.02,0.05,0.01,0.03,0.04,0.06,0.03,0.02,0.03,0.05,0.02,0.05,0.01,0.17,0.08,0.0880328579512,0.006313163129,13.9443344251
39,0.04,0.02,0.02,0.01,0.02,0.06,0.08,0.03,0.07,0.06,0.02,0.01,0.04,0.07,0.04,0.01,0.04,0.03,0.02,0.01,0.07,0.02,0.03,0.04,0.14,0.123799417776,0.00551338610534,22.4543348518
40,0.01,0.01,0.03,0.02,0.02,0.08,0.02,0.1,0.02,0.04,0.01,0.05,0.01,0.08,0.05,0.02,0.08,0.01,0.02,0.1,0.06,0.1,0.03,0.01,0.02,0.0875706992136,0.00592355046312,14.7834815891
41,0.1,0.02,0.02,0.08,0.05,0.05,0.04,0.01,0.03,0.01,0.02,0.06,0.05,0.01,0.01,0.01,0.11,0.01,0.02,0.09,0.05,0.03,0.04,0.02,0.06,0.124972646374,0.00600848788398,20.7993506498
42,0.01,0.09,0.02,0.02,0.04,0.05,0.03,0.01,0.04,0.05,0.04,0.01,0.02,0.06,0.03,0.14,0.01,0.02,0.03,0.01,0.03,0.02,0.08,0.01,0.13,0.0992726404406,0.00639757742768,15.5172237558
43,0.02,0.02,0.06,0.04,0.01,0.03,0.03,0.08,0.03,0.07,0.04,0.04,0.13,0.02,0.01,0.04,0.04,0.02,0.06,0.05,0.03,0.02,0.06,0.03,0.02,0.120170294449,0.00620314295501,19.3724850968
44,0.02,0.05,0.17,0.04,0.03,0.03,0.02,0.03,0.01,0.04,0.03,0.01,0.02,0.12,0.03,0.01,0.02,0.08,0.02,0.02,0.03,0.07,0.01,0.04,0.05,0.139069246174,0.00585407874222,23.7559575636
45,0.07,0.01,0.14,0.03,0.04,0.01,0.01,0.02,0.02,0.04,0.01,0.02,0.04,0.09,0.02,0.1,0.05,0.03,0.05,0.01,0.04,0.02,0.04,0.02,0.07,0.149096165018,0.00626257305351,23.8074931412
46,0.03,0.02,0.02,0.03,0.15,0.05,0.06,0.01,0.03,0.04,0.04,0.02,0.04,0.05,0.02,0.08,0.01,0.01,0.05,0.01,0.04,0.01,0.06,0.04,0.08,0.109431876938,0.00642686429743,17.0272580646
47,0.03,0.01,0.05,0.03,0.03,0.04,0.03,0.07,0.04,0.15,0.03,0.03,0.02,0.03,0.01,0.01,0.02,0.01,0.02,0.08,0.05,0.09,0.09,0.02,0.01,0.104547469884,0.00583639667775,17.913016482
48,0.01,0.03,0.06,0.01,0.03,0.03,0.03,0.02,0.09,0.01,0.09,0.06,0.05,0.01,0.05,0.01,0.01,0.14,0.01,0.05,0.01,0.07,0.04,0.05,0.03,0.0863905627998,0.0056058604354,15.4107587578
49,0.05,0.3,0.04,0.02,0.01,0.06,0.02,0.1,0.02,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0.04,0.05,0.07,0.02,0.167854182249,0.00653086159498,25.7016903219
50,0.05,0.01,0.02,0.03,0.05,0.02,0.05,0.02,0.04,0.11,0.03,0.03,0.01,0.09,0.03,0.06,0.01,0.05,0.03,0.02,0.09,0.08,0.01,0.04,0.02,0.132793497801,0.0060160760295,22.0731083101
51,0.08,0.04,0.01,0.07,0.01,0.11,0.03,0.01,0.02,0.03,0.06,0.01,0.03,0.01,0.09,0.03,0.02,0.1,0.12,0.01,0.03,0.04,0.01,0.02,0.01,0.16903982742,0.00516838278132,32.7065224409
52,0.03,0.05,0.01,0.01,0.02,0.12,0.04,0.12,0.02,0.01,0.05,0.03,0.03,0.02,0.06,0.06,0.01,0.04,0.01,0.07,0.01,0.02,0.01,0.07,0.08,0.123271556794,0.00616268612698,20.0028939092
53,0.05,0.07,0.01,0.04,0.01,0.04,0.13,0.01,0.03,0.02,0.06,0.01,0.03,0.03,0.03,0.02,0.06,0.03,0.02,0.03,0.03,0.01,0.06,0.02,0.15,0.114639561925,0.00536038497659,21.3864419115
54,0.05,0.02,0.02,0.04,0.09,0.13,0.06,0.01,0.07,0.03,0.03,0.01,0.11,0.01,0.04,0.07,0.01,0.03,0.04,0.03,0.03,0.02,0.03,0.01,0.01,0.135976983767,0.00612838744552,22.1880527261
55,0.06,0.03,0.01,0.01,0.02,0.12,0.01,0.02,0.07,0.07,0.03,0.02,0.09,0.03,0.07,0.03,0.05,0.02,0.03,0.05,0.03,0.05,0.02,0.04,0.02,0.129741014151,0.0058416261614,22.2097427268
56,0.05,0.01,0.01,0.03,0.01,0.03,0.1,0.02,0.08,0.01,0.07,0.05,0.06,0.06,0.01,0.05,0.03,0.02,0.05,0.04,0.04,0.14,0.01,0.01,0.01,0.119588550874,0.00573867549539,20.8390509221
