,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_price,end_price,stdev,stdev_np,mean_np
0,agg,2017-03-01,2017-09-21,0.016510555298,0.00923972628224,0.0112271776026,108.040001,109.775002,0.00187416692179,0.00187416692179,6.60630158621e-05
1,shy,2017-03-01,2017-09-21,-0.000844588092632,-0.000474443935438,-0.00125843625802,84.400002,84.479897,0.000569682396285,0.000569682396285,-3.15742799624e-06
2,spy,2017-03-01,2017-09-21,0.099503810958,0.0547215416132,0.122389687478,239.779999,249.410004,0.00479025226967,0.00479025226967,0.000384041945808
