,agg,spy,shy
agg,3.12116174856e-06,-2.34522373425e-06,8.23787204661e-07
spy,-2.34522373425e-06,2.29534188636e-05,-6.74408657682e-07
shy,8.23787204661e-07,-6.74408657682e-07,3.24546453002e-07
