,Adj Close,Close,Date,Ticker
140,146.639999,146.639999,2017-10-05,AON
141,60.799999,60.799999,2017-10-05,AOS
142,45.82,45.82,2017-10-05,APA
143,49.049999,49.049999,2017-10-05,APC
144,152.360001,153.309998,2017-10-05,APD
145,86.300003,86.300003,2017-10-05,APH
146,120.379997,120.379997,2017-10-05,ARE
147,26.85,26.85,2017-10-05,ARNC
148,63.09,63.09,2017-10-05,ATVI
149,180.440002,180.440002,2017-10-05,AVB
150,243.669998,243.669998,2017-10-05,AVGO
151,99.889999,99.889999,2017-10-05,AVY
152,82.910004,82.910004,2017-10-05,AWK
153,91.160004,91.160004,2017-10-05,AXP
154,175.690002,175.690002,2017-10-05,AYI
155,599.830017,599.830017,2017-10-05,AZO
156,258.890015,258.890015,2017-10-05,BA
157,26.129999,26.129999,2017-10-05,BAC
158,62.709999,62.709999,2017-10-05,BAX
159,47.619999,47.619999,2017-10-05,BBT
160,57.490002,57.490002,2017-10-05,BBY
161,320.959991,320.959991,2017-10-05,BCR
162,197.25,197.25,2017-10-05,BDX
163,44.759998,44.759998,2017-10-05,BEN
164,60.57,60.57,2017-10-05,BHF
165,36.48,36.48,2017-10-05,BHGE
166,326.73999,326.73999,2017-10-05,BIIB
167,54.43,54.43,2017-10-05,BK
168,464.429993,464.429993,2017-10-05,BLK
169,42.029999,42.029999,2017-10-05,BLL
170,63.799999,63.799999,2017-10-05,BMY
171,29.43,29.43,2017-10-05,BSX
172,52.060001,52.060001,2017-10-05,BWA
173,125.059998,125.059998,2017-10-05,BXP
174,75.720001,75.720001,2017-10-05,C
175,33.939999,33.939999,2017-10-05,CA
176,34.099998,34.099998,2017-10-05,CAG
177,67.639999,67.639999,2017-10-05,CAH
178,126.400002,126.400002,2017-10-05,CAT
179,145.710007,145.710007,2017-10-05,CB
180,38.75,38.75,2017-10-05,CBG
181,108.43,108.43,2017-10-05,CBOE
182,58.900002,58.900002,2017-10-05,CBS
183,101.57,101.57,2017-10-05,CCI
184,65.910004,65.910004,2017-10-05,CCL
185,40.389999,40.389999,2017-10-05,CDNS
186,140.009995,140.009995,2017-10-05,CELG
187,71.559998,71.559998,2017-10-05,CERN
188,35.029999,35.029999,2017-10-05,CF
189,37.130001,37.130001,2017-10-05,CFG
190,47.93,47.93,2017-10-05,CHD
191,4.3,4.3,2017-10-05,CHK
192,76.050003,76.050003,2017-10-05,CHRW
193,111.269997,111.269997,2017-10-05,MAR
194,119.860001,119.860001,2017-10-05,MON
195,36.029999,36.029999,2017-10-05,NOV
196,65.830002,65.830002,2017-10-04,A
197,50.73,50.73,2017-10-04,AAL
198,94.93,94.93,2017-10-04,AAP
199,153.479996,153.479996,2017-10-04,AAPL
200,89.900002,89.900002,2017-10-04,ABBV
201,82.739998,82.739998,2017-10-04,ABC
202,54.34,54.34,2017-10-04,ABT
