,SPY,HSBC,GOOGL,INTC,LPX,RTN,LMT,MASI,THO,FB,AOS,T,BP,MRK,JNJ,EVR,CELG,MSFT,LRCX
SPY,2.26419392825e-05,2.0909390567e-05,2.76592336867e-05,2.21212578979e-05,2.95308893499e-05,1.55120185184e-05,1.53333436545e-05,3.50451306426e-05,3.78908974285e-05,2.91526917908e-05,2.90582892194e-05,1.58870790001e-05,1.42655860227e-05,1.1633171366e-05,1.29243789231e-05,3.83378989686e-05,2.87643376726e-05,2.77400228768e-05,4.51070631585e-05
HSBC,2.0909390567e-05,8.47348950185e-05,8.46681181739e-06,1.09826879074e-05,2.7723253356e-05,5.32379315502e-06,6.81523449733e-06,-9.47852865812e-06,4.11342050152e-05,1.23509360596e-05,2.60153871009e-05,1.47781483261e-05,2.14212353772e-05,-3.60031667807e-07,1.07431090629e-05,5.51416830671e-05,2.26999420929e-05,1.61150699401e-05,2.64275762583e-05
GOOGL,2.76592336867e-05,8.46681181739e-06,9.82621154773e-05,2.64428687977e-05,2.57691541052e-05,2.34095620909e-05,1.93899531998e-05,6.38322389118e-05,2.45881409574e-05,7.16674070077e-05,3.6991986186e-05,-2.88840864613e-07,2.84731616551e-06,8.50180174842e-06,1.62763271099e-05,1.66403607482e-05,4.82454437443e-05,5.66911477614e-05,9.39816063218e-05
INTC,2.21212578979e-05,1.09826879074e-05,2.64428687977e-05,8.13831262958e-05,1.89438274433e-05,2.43586559816e-05,2.19707968327e-05,5.1751487242e-05,2.5493151809e-05,3.9616579869e-05,3.07226599384e-05,1.76100539514e-05,2.14246626775e-05,1.3334730868e-05,9.14061250359e-06,2.21751651339e-05,2.48270356273e-05,3.50332065512e-05,5.44206461104e-05
LPX,2.95308893499e-05,2.7723253356e-05,2.57691541052e-05,1.89438274433e-05,0.000186106293644,8.88836661952e-06,1.23519781388e-05,3.9706699843e-05,7.30467026957e-05,3.26750293271e-05,3.8250289194e-05,1.05575269452e-05,1.22486972095e-05,1.73207329005e-05,1.78588976665e-05,7.70378653187e-05,6.74523793979e-05,3.12218869714e-05,8.1733599157e-05
RTN,1.55120185184e-05,5.32379315502e-06,2.34095620909e-05,2.43586559816e-05,8.88836661952e-06,5.60694314025e-05,3.87611365767e-05,2.58072985543e-05,3.54889535311e-06,1.95803382075e-05,2.96723243673e-05,8.77199741678e-06,4.74972471808e-06,7.64938576062e-06,1.26512792865e-05,1.7161425476e-05,1.73955349529e-05,1.98967153718e-05,2.72215766173e-05
LMT,1.53333436545e-05,6.81523449733e-06,1.93899531998e-05,2.19707968327e-05,1.23519781388e-05,3.87611365767e-05,4.76930137194e-05,2.79408091863e-05,3.03851674191e-06,1.55701804656e-05,2.52782448261e-05,9.78476507552e-06,3.47283371871e-06,4.54552324654e-06,1.12729459596e-05,1.90170834254e-05,1.99613996127e-05,1.9010145893e-05,2.87260636408e-05
MASI,3.50451306426e-05,-9.47852865812e-06,6.38322389118e-05,5.1751487242e-05,3.9706699843e-05,2.58072985543e-05,2.79408091863e-05,0.000392448352014,6.49136087297e-05,7.94011826201e-05,4.22316323959e-05,1.30460198105e-05,1.76068030648e-05,1.36122496476e-05,9.41766838521e-06,3.19622475185e-05,4.38752354177e-05,6.41366599203e-05,0.000112461883325
THO,3.78908974285e-05,4.11342050152e-05,2.45881409574e-05,2.5493151809e-05,7.30467026957e-05,3.54889535311e-06,3.03851674191e-06,6.49136087297e-05,0.000343045913374,4.14201954618e-05,3.78558225836e-05,2.94027003115e-05,3.20560828701e-05,2.58655633801e-05,1.09829321967e-05,9.73366200882e-05,5.58053134673e-05,5.5757541123e-05,9.91293837287e-05
FB,2.91526917908e-05,1.23509360596e-05,7.16674070077e-05,3.9616579869e-05,3.26750293271e-05,1.95803382075e-05,1.55701804656e-05,7.94011826201e-05,4.14201954618e-05,9.57181219473e-05,2.97463466951e-05,1.60942976803e-05,6.80354789919e-06,1.52148473093e-05,1.30929313175e-05,3.17669564662e-05,4.03835967717e-05,5.37300864774e-05,9.69678300606e-05
