,symbol,start_date,end_date,annualized_return,cumulative_return,random_return,start_price,end_price,stdev,stdev_np,mean_np
0,AAPL,2017-03-01,2017-09-29,0.240704590873,0.134125462449,0.392348483124,138.670807,154.119995,0.011169651859,0.011169651859,0.000907000694713
1,ACN,2017-03-01,2017-09-29,0.203310959686,0.114051557997,0.182979863717,121.618111,133.774353,0.0089192431611,0.0089192431611,0.00076495829927
2,AMGN,2017-03-01,2017-09-29,0.124737538534,0.0710048050636,0.118500661607,175.775223,186.449997,0.0111589890916,0.0111589890916,0.000522890391037
3,AMT,2017-03-01,2017-09-29,0.383550588542,0.208590096108,0.230130353125,112.15451,136.679993,0.00907964811782,0.00907964811782,0.001313198129
4,ANTM,2017-03-01,2017-09-29,0.298769779239,0.164803874098,0.304745174823,165.141006,189.880005,0.0102290990553,0.0102290990553,0.00107627803347
5,EBAY,2017-03-01,2017-09-29,0.241431513269,0.134513177905,0.159344798757,34.27,38.459999,0.0116883596935,0.0116883596935,0.000915414108522
6,EWO,2017-03-01,2017-09-29,0.706529633646,0.366004999975,1.11631682116,17.489756,23.42,0.00853203629486,0.00853203629486,0.00213131871266
7,EWT,2017-03-01,2017-09-29,0.204217940592,0.114541497825,0.257314605146,32.560001,36.099998,0.00787262731398,0.00787262731398,0.000758871453124
8,EZU,2017-03-01,2017-09-29,0.450695192209,0.242479834871,0.135208557663,35.397457,43.32,0.00790503380132,0.00790503380132,0.00148890946052
9,FXI,2017-03-01,2017-09-29,0.28571441312,0.157956762726,0.0485714502304,38.430752,44.040001,0.00881723103823,0.00881723103823,0.00102341263653
10,GOOGL,2017-03-01,2017-09-29,0.275210580963,0.152426803483,0.410063765635,856.75,973.719971,0.00994819844885,0.00994819844885,0.00100182433616
11,GRMN,2017-03-01,2017-09-29,0.154801993933,0.0876192237309,0.23065497096,50.324032,53.970001,0.0101089219171,0.0101089219171,0.000614468883671
12,IAI,2017-03-01,2017-09-29,0.194049620015,0.109039864259,0.25032400982,53.140827,57.16,0.00920691379075,0.00920691379075,0.000737067141334
13,ICLR,2017-03-01,2017-09-29,0.692492061772,0.359436565337,0.408570316446,84.139999,113.879997,0.0143853780531,0.0143853780531,0.00216407956991
14,INTC,2017-03-01,2017-09-29,0.118823443662,0.0677148478107,0.236458652887,35.398949,38.080002,0.00886884392484,0.00886884392484,0.000478989258871
15,IXG,2017-03-01,2017-09-29,0.203031063737,0.113900330631,0.349213429627,61.220146,66.720001,0.00729201036974,0.00729201036974,0.000750612781133
16,LPX,2017-03-01,2017-09-29,0.267642892104,0.148430873622,0.393435051393,23.940001,27.08,0.0143262089722,0.0143262089722,0.00103153929138
17,MSFT,2017-03-01,2017-09-29,0.322510800069,0.177182240948,0.538593036115,64.227699,74.489998,0.00856581256397,0.00856581256397,0.00113185779255
18,PCLN,2017-03-01,2017-09-29,0.108367362692,0.0618804502506,0.148463286888,1733.180054,1830.819946,0.011182818724,0.011182818724,0.000466117776454
19,PPA,2017-03-01,2017-09-29,0.305009372538,0.168066209152,0.469714433709,44.565258,51.290001,0.00609547712839,0.00609547712839,0.00106160866184
20,PYPL,2017-03-01,2017-09-29,1.05978811316,0.524523785714,0.77364532261,42.43,64.029999,0.0126906088053,0.0126906088053,0.00291343330482
21,RHHBY,2017-03-01,2017-09-29,0.152012252908,0.0860851818645,0.183934826019,29.589533,32.0,0.0102241611262,0.0102241611262,0.000606178954275
22,SAFM,2017-03-01,2017-09-29,1.49813899412,0.706212185553,1.91761791248,94.47506,160.199997,0.013933925833,0.013933925833,0.00368844196048
23,SH,2017-03-01,2017-09-29,-0.115123028459,-0.0688857038751,-0.0541078233758,34.060001,32.169998,0.00455681101359,0.00455681101359,-0.000468599542201
24,SONVY,2017-03-01,2017-09-29,0.598476843016,0.314845802752,0.694233137899,25.881931,33.939999,0.0103716792033,0.0103716792033,0.00189179354088
25,UL,2017-03-01,2017-09-29,0.443428347581,0.238844049901,0.57202256838,46.864384,57.959999,0.00736301356329,0.00736301356329,0.00146539755883
26,USD,2017-03-01,2017-09-29,0.767929466822,0.394474487622,1.50514175497,75.006546,101.589996,0.0223559866475,0.0223559866475,0.00248502223297
27,XLV,2017-03-01,2017-09-29,0.18148795142,0.10221628134,0.0290380722272,74.892212,81.730003,0.00539562852648,0.00539562852648,0.000667839055666
