,lsxma,chtr,lyb,sbac,adsk,cmcsa,avgo,dspg,px,pcln,low,goog,lbrdk,mar,mpc,mgm,fb,bud,unp,dltr,crc,wlk,aap,stz
lsxma,0.000202764934187,7.61223840373e-05,3.06935140594e-05,-7.82754403956e-06,6.04111577062e-05,3.47801989052e-05,3.91277526786e-05,3.85987341565e-05,1.51092824934e-05,4.87082980969e-05,1.30125986506e-05,2.89168271167e-05,6.32064354988e-05,4.85142398952e-05,4.47545423875e-05,3.39724014109e-05,5.8227686423e-05,4.34345057103e-05,1.93678705763e-05,2.45993005803e-05,0.000101653652598,3.82789254551e-05,3.77198281812e-05,1.03202047583e-05
chtr,7.61223840373e-05,0.000197959212226,4.96103576733e-05,7.12249316271e-06,3.2848335059e-05,9.34757639869e-05,3.65526733671e-05,2.56231742056e-05,1.62387015739e-05,1.50074559263e-05,3.4578632613e-05,1.46665945015e-05,0.000154635883942,3.87291805382e-05,1.42214414391e-05,4.2282041821e-05,4.00186376709e-05,3.16015546054e-05,2.26299710235e-05,1.90738633599e-05,7.36215907798e-05,4.28469369277e-05,2.58269694346e-05,9.68709849269e-06
lyb,3.06935140594e-05,4.96103576733e-05,0.000159412101607,7.84421086266e-06,5.58094572081e-05,3.65287568907e-05,4.55564406521e-05,6.13167555804e-05,6.6902676353e-05,1.87760063293e-05,5.03552440122e-05,2.879747167e-06,4.43996121032e-05,3.76565077628e-05,7.4412042207e-05,5.28769881722e-05,2.10186590269e-05,1.83628682296e-05,7.15422207143e-05,3.47395302845e-05,0.000267415540873,0.000142266793608,2.54619287597e-05,8.37804577862e-06
sbac,-7.82754403956e-06,7.12249316271e-06,7.84421086266e-06,8.45065359764e-05,2.27734151469e-05,3.69344230723e-06,-7.04691377077e-07,2.8182238575e-05,6.99772002343e-06,3.45452061076e-06,6.41817511509e-06,1.17837239792e-06,7.84105590733e-06,-4.20349085214e-06,8.40727729029e-06,-8.40802278805e-06,-2.77472291871e-06,8.63018929974e-06,3.76480384609e-06,1.42425319319e-05,1.80309679695e-05,9.35945437202e-06,2.07618020764e-05,1.72517926313e-05
adsk,6.04111577062e-05,3.2848335059e-05,5.58094572081e-05,2.27734151469e-05,0.000359674576223,4.78429802352e-05,0.000100052011438,5.64386623495e-05,4.22661885152e-05,6.87825881809e-05,5.34206978297e-05,7.88691788858e-05,3.83930598671e-05,9.01252334363e-05,5.982794431e-05,9.82003267602e-05,7.26613287899e-05,2.76121232527e-05,4.9437671536e-05,4.27644420085e-05,0.000151382639597,8.71807732778e-05,2.0998348931e-05,3.93893406323e-05
cmcsa,3.47801989052e-05,9.34757639869e-05,3.65287568907e-05,3.69344230723e-06,4.78429802352e-05,0.00012245503195,4.79254460272e-05,3.15626229605e-05,2.37453828282e-05,1.43090733626e-05,3.00677152914e-05,1.9907123655e-05,7.98436098986e-05,4.18341653562e-05,3.3436769556e-05,4.54062481856e-05,2.7987851793e-05,-1.28627172484e-06,3.3988187774e-05,2.01101547941e-05,0.000105787912568,4.60682231152e-05,3.63176504846e-05,1.0895717269e-05
avgo,3.91277526786e-05,3.65526733671e-05,4.55564406521e-05,-7.04691377077e-07,0.000100052011438,4.79254460272e-05,0.000246249323022,2.90300250034e-05,4.8480364761e-05,7.51473167039e-05,1.80790812037e-05,8.13025670748e-05,4.37111139753e-05,6.8235103887e-05,3.15408365054e-05,7.16108529184e-05,8.95158311175e-05,1.63535900869e-05,5.72593116965e-05,6.80543377736e-06,1.58559436565e-05,7.84580897749e-05,-3.27141946469e-05,1.17824190833e-05
dspg,3.85987341565e-05,2.56231742056e-05,6.13167555804e-05,2.8182238575e-05,5.64386623495e-05,3.15626229605e-05,2.90300250034e-05,0.00037331543409,4.13724727104e-05,3.51859494468e-05,7.20153163648e-05,2.84624436042e-05,2.70192122933e-05,4.16670855048e-05,5.69552349335e-05,4.82487646263e-05,3.40089518304e-05,3.56143183567e-05,4.48127203797e-05,5.00755079909e-05,0.000110239867969,8.95810231485e-05,0.000109181575184,4.03965755073e-06
px,1.51092824934e-05,1.62387015739e-05,6.6902676353e-05,6.99772002343e-06,4.22661885152e-05,2.37453828282e-05,4.8480364761e-05,4.13724727104e-05,8.21343655329e-05,2.2980944211e-05,3.64120501034e-05,2.17976582042e-05,1.81695016649e-05,3.02413560024e-05,5.08400828217e-05,4.47039681347e-05,1.82569668896e-05,1.99337845369e-05,4.84894632148e-05,2.64066586256e-05,0.000141846762391,7.16616146675e-05,1.50679565347e-05,7.01173895228e-06
pcln,4.87082980969e-05,1.50074559263e-05,1.87760063293e-05,3.45452061076e-06,6.87825881809e-05,1.43090733626e-05,7.51473167039e-05,3.51859494468e-05,2.2980944211e-05,0.000126962732809,7.08580293327e-06,5.89901156742e-05,2.08109333758e-05,5.01573722996e-05,3.56747518726e-05,6.23170149821e-05,5.83665052097e-05,3.61706066328e-05,2.46555635186e-05,2.72515340887e-05,-1.65143622162e-05,1.35273017459e-05,-1.49419310201e-05,1.83855791521e-05
