,THO,FB,ALGN,MRK,CELG,MSFT
THO,1.0,0.20744880583,0.0345152004645,0.173581570207,0.256998167595,0.336671170036
FB,0.20744880583,1.0,0.425584953433,0.178762141404,0.298089367756,0.650795406393
ALGN,0.0345152004645,0.425584953433,1.0,0.0584459875371,0.298076111518,0.319839379496
MRK,0.173581570207,0.178762141404,0.0584459875371,1.0,0.272523581675,0.107990669468
CELG,0.256998167595,0.298089367756,0.298076111518,0.272523581675,1.0,0.390534434231
MSFT,0.336671170036,0.650795406393,0.319839379496,0.107990669468,0.390534434231,1.0
