Date,AAL,ADM,AES,AGN,ALKS
2017-07-03,50.178123,40.812851,10.770129,242.257187,58.700001
2017-07-05,51.044468,41.147545,10.633179,242.564987,60.450001
2017-07-06,51.831146,40.458466,10.447319,239.84436,59.470001
2017-07-07,52.807022,40.596287,10.525576,238.990433,59.529999
2017-07-10,52.438583,40.172997,10.701653,239.467026,58.099998
2017-07-11,51.392998,39.661114,10.691872,240.410324,57.419998
2017-07-12,53.573788,40.261593,10.858169,243.85582,57.869999
2017-07-13,53.583748,40.7341,10.779911,242.406143,58.790001
2017-07-14,53.992023,40.832539,10.789692,244.113983,58.860001
2017-07-17,53.643494,40.950665,10.877731,245.78212,59.66
2017-07-18,52.926525,40.537224,10.995117,243.994827,58.009998
2017-07-19,52.38879,40.635662,11.073375,244.670029,57.619999
2017-07-20,52.119926,40.773476,11.122286,247.311249,57.529999
2017-07-21,51.691738,40.615971,11.171196,249.19783,57.73
2017-07-24,51.064384,40.7341,11.073375,251.729828,58.630001
2017-07-25,50.397202,41.305046,10.995117,252.822052,57.990002
2017-07-26,50.795517,41.058949,10.916861,254.341248,57.57
2017-07-27,49.789764,41.127857,10.858169,252.365311,54.900002
2017-07-28,50.277706,41.127857,10.740782,251.223419,55.220001
2017-07-31,50.227917,41.521614,10.936425,250.548218,54.41
2017-08-01,50.84531,42.624126,11.074861,250.419144,54.450001
2017-08-02,50.237873,41.826775,10.926537,248.413406,54.040001
2017-08-03,50.337452,41.954742,10.995754,248.592133,53.919998
2017-08-04,50.586403,41.925213,10.956201,240.936584,53.77
2017-08-07,50.367329,41.777554,10.975978,239.516678,54.130001
2017-08-08,49.789764,41.580677,11.25285,238.047134,53.02
2017-08-09,49.192291,41.826775,11.124302,236.289627,52.380001
2017-08-10,48.443928,41.462547,11.25285,230.560379,51.66
2017-08-11,48.244362,40.615971,10.975978,231.23558,51.91
2017-08-14,48.703362,41.295204,10.985866,230.997253,51.619999
2017-08-15,48.413994,41.711823,10.975978,229.507858,51.599998
2017-08-16,48.304234,41.811024,11.055084,227.067764,51.560001
2017-08-17,45.929432,41.334881,10.886984,223.860794,50.919998
2017-08-18,45.450481,40.938099,10.946313,223.083954,50.900002
2017-08-21,45.61013,41.225765,11.104525,222.068069,50.68
2017-08-22,45.310787,41.38448,11.223185,222.84491,50.049999
2017-08-23,43.873936,41.434078,11.223185,221.370911,50.209999
2017-08-24,42.826225,40.749626,11.272625,222.79512,50.490002
2017-08-25,45.151138,41.414238,11.302291,220.912766,50.419998
2017-08-28,44.851795,41.434078,11.064972,223.034149,50.119999
2017-08-29,44.462646,41.40432,11.045196,222.675598,49.16
2017-08-30,44.223167,41.523354,10.936425,222.954468,49.5
2017-08-31,44.642254,40.987694,10.916648,228.551727,50.779999
2017-09-01,45.211006,41.860619,10.995754,226.808807,49.720001
2017-09-05,43.824043,41.602707,10.966089,222.874786,49.540001
2017-09-06,44.213192,42.059013,10.985866,222.70549,49.810001
2017-09-07,43.744217,42.247482,11.025418,227.007996,50.360001
