Date,AAL,DAL,JBLU
2014-08-18,40.66,39.509998,12.28
2014-08-19,40.43,39.540001,12.33
2014-08-20,40.599998,40.52,12.73
2014-08-21,39.509998,39.91,12.47
2014-08-22,39.849998,40.41,12.6
2014-08-25,39.419998,40.52,12.61
2014-08-26,39.09,39.900002,12.44
2014-08-27,38.990002,40.16,12.38
2014-08-28,39.169998,39.889999,12.41
2014-08-29,38.880001,39.580002,12.23
2014-09-02,40.5,40.93,12.64
2014-09-03,39.139999,38.82,12.36
2014-09-04,38.470001,39.290001,12.53
2014-09-05,37.849998,39.220001,12.54
2014-09-08,38.23,39.040001,12.47
2014-09-09,37.959999,38.82,12.04
2014-09-10,38.580002,39.549999,12.29
2014-09-11,38.09,39.560001,12.24
2014-09-12,37.650002,39.689999,12.19
2014-09-15,37.07,39.200001,11.26
2014-09-16,37.98,39.52,11.42
2014-09-17,37.459999,38.939999,11.2
2014-09-18,38.049999,39.439999,11.33
2014-09-19,36.630001,38.639999,11.36
2014-09-22,35.580002,37.950001,10.9
2014-09-23,35.330002,37.700001,10.77
2014-09-24,36.119999,37.66,10.65
2014-09-25,35.209999,36.66,10.4
2014-09-26,35.93,36.52,10.58
2014-09-29,35.029999,36.0,10.53
2014-09-30,35.48,36.150002,10.62
2014-10-01,34.389999,34.900002,10.25
2014-10-02,33.93,35.279999,10.59
2014-10-03,36.23,36.950001,11.13
2014-10-06,34.93,36.110001,10.85
2014-10-07,34.09,35.27,10.65
2014-10-08,33.0,34.810001,10.82
2014-10-09,31.98,33.709999,10.68
2014-10-10,30.780001,32.91,10.06
2014-10-13,28.58,30.9,9.41
2014-10-14,31.51,32.790001,10.23
2014-10-15,31.690001,32.380001,10.3
2014-10-16,32.970001,33.32,11.22
2014-10-17,33.380001,34.389999,10.86
2014-10-20,35.220001,36.040001,11.23
2014-10-21,37.849998,37.48,11.56
2014-10-22,37.040001,37.299999,11.18
2014-10-23,38.48,37.919998,10.86
2014-10-24,39.82,39.439999,10.96
2014-10-27,39.91,39.75,11.08
2014-10-28,40.240002,39.84,11.38
2014-10-29,39.939999,39.580002,11.54
2014-10-30,40.299999,39.139999,11.18
2014-10-31,41.349998,40.23,11.54
2014-11-03,42.0,40.610001,11.74
2014-11-04,42.700001,42.32,12.14
2014-11-05,42.25,41.869999,12.13
2014-11-06,43.139999,42.900002,12.81
2014-11-07,43.200001,42.689999,12.56
2014-11-10,43.830002,43.369999,13.09
2014-11-11,43.439999,43.84,12.95
2014-11-12,43.43,43.400002,12.53
2014-11-13,44.119999,44.080002,12.59
2014-11-14,44.009998,43.75,12.6
2014-11-17,43.689999,43.43,12.38
2014-11-18,45.049999,44.790001,12.72
2014-11-19,44.099998,44.450001,13.25
2014-11-20,44.16,43.959999,13.44
2014-11-21,43.310001,43.09,13.25
2014-11-24,43.209999,43.509998,13.44
2014-11-25,44.150002,44.080002,13.65
2014-11-26,44.970001,44.240002,13.6
2014-11-28,48.529999,46.669998,14.63
2014-12-01,47.880001,45.619999,14.56
2014-12-02,47.860001,44.669998,14.9
2014-12-03,48.240002,44.75,14.82
2014-12-04,49.650002,46.419998,15.09
2014-12-05,51.009998,47.279999,15.19
2014-12-08,50.82,47.34,15.51
2014-12-09,48.310001,46.330002,15.05
2014-12-10,48.939999,46.220001,15.15
2014-12-11,50.529999,48.330002,15.29
2014-12-12,49.970001,47.68,14.81
2014-12-15,50.84,47.799999,14.94
2014-12-16,47.959999,45.380001,14.44
2014-12-17,48.799999,46.169998,15.13
2014-12-18,50.139999,46.77,15.37
2014-12-19,50.709999,47.380001,15.37
2014-12-22,50.84,47.41,15.4
2014-12-23,50.209999,47.130001,15.29
2014-12-24,51.43,48.049999,15.5
2014-12-26,51.959999,48.389999,15.68
2014-12-29,52.849998,48.779999,15.7
2014-12-30,53.419998,49.23,15.89
2014-12-31,53.630001,49.189999,15.86
2015-01-02,53.91,49.18,15.79
2015-01-05,53.880001,48.360001,15.22
2015-01-06,53.040001,47.220001,14.97
2015-01-07,53.009998,46.970001,15.1
2015-01-08,53.66,48.189999,14.88
2015-01-09,52.02,46.880001,14.38
2015-01-12,49.580002,46.060001,14.55
2015-01-13,50.400002,46.610001,14.81
2015-01-14,49.41,45.310001,14.67
2015-01-15,49.41,45.049999,14.75
2015-01-16,49.810001,45.84,14.85
2015-01-20,52.75,49.169998,15.22
2015-01-21,53.669998,49.18,15.28
2015-01-22,55.59,50.700001,16.48
2015-01-23,55.689999,50.560001,16.549999
2015-01-26,55.450001,50.150002,16.4
2015-01-27,52.700001,49.18,16.25
2015-01-28,50.619999,48.459999,15.77
2015-01-29,52.240002,50.209999,17.16
2015-01-30,49.080002,47.310001,16.790001
2015-02-02,48.720001,46.509998,16.639999
2015-02-03,47.5,46.009998,16.18
2015-02-04,49.459999,46.959999,16.73
2015-02-05,48.810001,46.139999,16.879999
2015-02-06,48.150002,45.509998,17.0
2015-02-09,46.529999,44.450001,16.379999
2015-02-10,48.049999,45.32,16.719999
2015-02-11,47.59,44.98,16.559999
2015-02-12,47.880001,44.810001,16.74
2015-02-13,48.389999,44.5,16.83
2015-02-17,48.009998,44.759998,16.82
2015-02-18,49.310001,45.27,16.83
2015-02-19,49.779999,45.919998,17.02
2015-02-20,51.02,47.439999,17.49
2015-02-23,51.310001,47.189999,17.780001
2015-02-24,51.52,48.029999,18.07
2015-02-25,49.73,46.84,17.530001
2015-02-26,49.349998,45.919998,17.35
2015-02-27,47.900002,44.52,17.190001
2015-03-02,48.310001,45.389999,17.57
2015-03-03,48.77,45.779999,17.879999
2015-03-04,48.950001,45.150002,17.940001
2015-03-05,48.400002,44.389999,17.48
2015-03-06,48.0,43.779999,17.18
2015-03-09,47.919998,44.57,17.190001
2015-03-10,46.740002,43.419998,16.98
2015-03-11,47.389999,44.02,17.139999
2015-03-12,48.68,45.330002,18.1
2015-03-13,49.220001,45.5,18.120001
2015-03-16,50.220001,46.16,18.700001
2015-03-17,53.689999,46.650002,19.16
2015-03-18,54.130001,45.810001,19.24
2015-03-19,55.189999,47.259998,19.370001
2015-03-20,55.759998,47.419998,19.48
2015-03-23,54.400002,46.580002,19.440001
2015-03-24,53.93,46.029999,19.58
2015-03-25,52.009998,44.52,18.780001
2015-03-26,51.27,44.09,18.52
2015-03-27,52.66,44.880001,19.280001
2015-03-30,53.639999,45.560001,19.360001
2015-03-31,52.779999,44.959999,19.25
2015-04-01,50.439999,43.259998,18.84
2015-04-02,49.18,42.25,18.91
2015-04-06,48.080002,41.759998,18.559999
2015-04-07,47.5,41.639999,18.58
2015-04-08,48.740002,43.290001,19.290001
2015-04-09,47.84,43.139999,19.129999
2015-04-10,47.73,43.23,19.049999
2015-04-13,47.790001,43.07,19.85
2015-04-14,47.419998,43.080002,19.700001
2015-04-15,47.75,44.200001,19.43
