,THO,FB,ALGN,MRK,CELG,MSFT
THO,0.000339955278759,4.0207086017e-05,1.22161590734e-05,2.31760952563e-05,5.59911967195e-05,5.28017872233e-05
FB,4.0207086017e-05,0.000110499809805,8.58777020458e-05,1.36076168915e-05,3.70259388607e-05,5.8191163917e-05
ALGN,1.22161590734e-05,8.58777020458e-05,0.000368490901548,8.12444766843e-06,6.76113153708e-05,5.22248400542e-05
MRK,2.31760952563e-05,1.36076168915e-05,8.12444766843e-06,5.24386520977e-05,2.33189331033e-05,6.65187061565e-06
CELG,5.59911967195e-05,3.70259388607e-05,6.76113153708e-05,2.33189331033e-05,0.000139623222415,3.92527384813e-05
MSFT,5.28017872233e-05,5.8191163917e-05,5.22248400542e-05,6.65187061565e-06,3.92527384813e-05,7.23541756036e-05
